clinical_status	dose	hour	module	timing	n_complete	n_partial	delta_complete_minus_partial	hedges_g	welch_p
stable	8MU	4	ifn_apc	baseline	12	14	0.08436218095867781	0.22389253272042797	0.5569199645156748
stable	8MU	4	ifn_apc	delta	12	14	-0.1441058057979726	-0.2256301843973584	0.5575671086268104
stable	8MU	4	hla_ii_without_cd74	baseline	12	14	0.5199166077835313	0.7897776887824393	0.04839969609472349
stable	8MU	4	hla_ii_without_cd74	delta	12	14	-0.004065423957367226	-0.008793235883822666	0.982584673429895
stable	8MU	4	receptor_only_cd74_cd44_cxcr4	baseline	12	14	-0.04657558052223604	-0.06908451838151788	0.8564738488505312
stable	8MU	4	receptor_only_cd74_cd44_cxcr4	delta	12	14	0.5194150043705472	0.9074205554322506	0.02318126613654729
stable	8MU	4	cd74_alone	baseline	12	14	0.17545960266075272	0.2750817572003261	0.48231197821311084
stable	8MU	4	cd74_alone	delta	12	14	0.0429666367263447	0.09858324455475083	0.8042709717353218
stable	8MU	24	ifn_apc	baseline	12	14	0.08436218095867781	0.22389253272042797	0.5569199645156748
stable	8MU	24	ifn_apc	delta	12	14	-0.0723847209575515	-0.19662990422892734	0.6065390372573822
stable	8MU	24	hla_ii_without_cd74	baseline	12	14	0.5199166077835313	0.7897776887824393	0.04839969609472349
stable	8MU	24	hla_ii_without_cd74	delta	12	14	-0.04806565809608076	-0.10792652922980617	0.7765726242153037
stable	8MU	24	receptor_only_cd74_cd44_cxcr4	baseline	12	14	-0.04657558052223604	-0.06908451838151788	0.8564738488505312
stable	8MU	24	receptor_only_cd74_cd44_cxcr4	delta	12	14	0.3078286583727116	0.44254069283263414	0.24662243595674535
stable	8MU	24	cd74_alone	baseline	12	14	0.17545960266075272	0.2750817572003261	0.48231197821311084
stable	8MU	24	cd74_alone	delta	12	14	0.019300386444752543	0.04499656655619244	0.9048794694943069
stable	16MU	4	ifn_apc	baseline	12	14	0.10947935365466976	0.2683049965028213	0.4724077959711979
stable	16MU	4	ifn_apc	delta	12	14	0.07814693591751753	0.12553402492886664	0.7435240892807902
stable	16MU	4	hla_ii_without_cd74	baseline	12	14	0.3716593664179035	0.48478396710744115	0.19999441570216073
stable	16MU	4	hla_ii_without_cd74	delta	12	14	0.09374963854470686	0.18195550905827845	0.6258692574506496
stable	16MU	4	receptor_only_cd74_cd44_cxcr4	baseline	12	14	-0.09937743768858412	-0.23073476415713962	0.564762739607633
stable	16MU	4	receptor_only_cd74_cd44_cxcr4	delta	12	14	0.11956038353813003	0.24538898607012488	0.5434621122244859
stable	16MU	4	cd74_alone	baseline	12	14	0.14019428283280086	0.18159959428922148	0.6224653524449689
stable	16MU	4	cd74_alone	delta	12	14	0.19418842508654888	0.4583548784618967	0.2230798531752566
stable	16MU	24	ifn_apc	baseline	12	13	0.05514288009730878	0.1427344576590782	0.7113321675149967
