context	cell_state	disease_filter	gene	ensembl_id	token_id	n_nonremission_cells	n_remission_cells	random_mean_shift_to_remission_cosine	random_sd_shift_to_remission_cosine	random_mean_projection_to_remission	n_nonremission_cells_with_token	mean_shift_to_remission_cosine	mean_projection_to_remission	mean_embedding_delta_norm	cosine_shift_z_vs_random	projection_minus_random	interpretation	support_flag	strong_support_flag	opposing_flag	strong_opposing_flag
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	LILRB1	ENSG00000104972	2995	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	1	0.00019472837448120117	0.06016206741333008	0.3012109398841858	0.36678844500594765	0.05765749713108461	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	LILRB2	ENSG00000131042	6299	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	2	7.715821266174316e-05	0.0225501898676157	0.38073983788490295	0.13532424948179722	0.020045619585370232	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	LILRB3	ENSG00000204577	17190	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	2	-9.626150131225586e-05	-0.019786734133958817	0.29534727334976196	-0.20609277301630957	-0.022291304416204284	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	LILRB4	ENSG00000186818	15576	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	2	0.0008698403835296631	0.061169158667325974	0.532890260219574	1.6959033806735218	0.058664588385080506	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	LAIR1	ENSG00000167613	11926	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	2	-9.468197822570801e-05	0.03541204333305359	0.28764116764068604	-0.2029831146227025	0.03290747305080812	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	SIGLEC10	ENSG00000142512	8126	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	1	-0.000602424144744873	0.036063943058252335	0.5066828727722168	-1.2025916061676836	0.03355937277600687	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	CD300A	ENSG00000167851	12003	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	2	7.420778274536133e-06	0.03796777501702309	0.362432062625885	-0.0019701022359498175	0.03546320473477762	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	CD300LF	ENSG00000186074	15420	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	2	-0.000455319881439209	0.007871851325035095	0.37231677770614624	-0.9129826659630687	0.005367281042789627	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	INPP5D	ENSG00000168918	12248	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	0						token_not_detected_in_selected_nonremission_cells	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	PTPN6	ENSG00000111679	3897	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	2	-1.8149614334106445e-05	0.028523623943328857	0.40576159954071045	-0.05231136453245706	0.02601905366108339	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	PTPN11	ENSG00000179295	14197	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	3	-6.119409954408184e-05	0.0010067721595987678	0.298053503036499	-0.13705444038343553	-0.0014977981226467008	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	True	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	SH2D1B	ENSG00000198574	16784	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	0						token_not_detected_in_selected_nonremission_cells	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	MERTK	ENSG00000153208	9495	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	0						token_not_detected_in_selected_nonremission_cells	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	AXL	ENSG00000167601	11922	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	1	0.00026220083236694336	0.006233811378479004	0.3697455823421478	0.4996236639328618	0.0037292410962335354	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	TYRO3	ENSG00000092445	1965	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	0						token_not_detected_in_selected_nonremission_cells	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	GAS6	ENSG00000183087	14794	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	2	-0.0002529323101043701	-0.012458966113626957	0.24946942925453186	-0.5145356819822053	-0.014963536395872425	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	PROS1	ENSG00000184500	15083	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	0						token_not_detected_in_selected_nonremission_cells	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	FCGR2A	ENSG00000143226	8233	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	1	0.00012135505676269531	0.036713194102048874	0.27630415558815	0.22233601170291636	0.034208623819803406	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
GSE282122_DC_post_nonremission_to_remission	DC	CD_UC	FCGR2B	ENSG00000072694	1197	36	36	8.421474032931858e-06	0.0005079410297269541	0.0025045702822454686	4	9.825825691223145e-05	-0.03201323002576828	0.524415135383606	0.1768645917963976	-0.03451780030801375	positive_shift_means_deleted_embedding_moved_toward_remission_centroid	False	False	False	False
