gene	contexts_tested	contexts_with_token_ge_3_cells	support_contexts	strong_support_contexts	opposing_contexts	strong_opposing_contexts	best_context	best_n_nonremission_cells_with_token	best_cosine_shift_z_vs_random	best_projection_minus_random	most_negative_context	most_negative_n_nonremission_cells_with_token	most_negative_cosine_shift_z_vs_random	most_negative_projection_minus_random	supporting_contexts	strong_supporting_contexts	opposing_context_names	strong_opposing_context_names	geneformer_direction_priority_score
NCF1	6	5	3	2	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	3	1.002620289791899	0.015480957578660713	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	5	0.07299860760750916	0.005954261734667751	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_DC_post_nonremission_to_remission_UC_only			17.25
FCGR2A	6	4	3	2	0	0	GSE282122_DC_post_nonremission_to_remission_UC_only	3	1.1593024364332198	0.04219295422339605	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	9	0.048516949854515254	-0.008916215345379896	GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission			17.0
LYN	6	6	3	1	1	0	GSE282122_DC_post_nonremission_to_remission	3	0.8605005174901813	0.0270023738376848	GSE282122_Mono_macro_post_nonremission_to_remission	8	-0.051434238330807264	-0.008984489099303675	GSE282122_DC_post_nonremission_to_remission;GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_DC_post_nonremission_to_remission	GSE282122_Mono_macro_post_nonremission_to_remission		14.0
IL7R	6	4	3	1	1	0	GSE282122_DC_post_nonremission_to_remission	3	1.0477840374075034	0.11075691332743089	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	3	-0.2379929294042332	-0.012184921786603001	GSE282122_DC_post_nonremission_to_remission;GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		13.5
CYBB	6	2	2	1	0	0	GSE282122_DC_post_nonremission_to_remission_CD_only	3	0.9258530646550637	0.027101793583844687	GSE282122_Mono_macro_post_nonremission_to_remission	2	0.2272684928611305	0.03468650699295621	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_DC_post_nonremission_to_remission_CD_only			9.5
SIGLEC10	6	2	2	1	0	0	GSE282122_Mono_macro_post_nonremission_to_remission	3	0.658338315034107	0.04265084610023122	GSE282122_DC_post_nonremission_to_remission	1	-1.2025916061676836	0.03355937277600687	GSE282122_Mono_macro_post_nonremission_to_remission;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_Mono_macro_post_nonremission_to_remission			9.5
CYBA	6	6	1	0	1	1	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	25	0.042696110138363365	0.1591827790834941	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	20	-0.6046278318241839	-0.014010984585103062	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	9.0
LILRB3	6	4	2	0	2	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	3	0.3852185140533372	0.02125746157253161	GSE282122_DC_post_nonremission_to_remission_UC_only	3	-0.22256533018645613	-0.007145375825671686	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_DC_post_nonremission_to_remission_UC_only		8.0
LILRB1	6	2	1	1	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	4	0.6653870531582302	0.024949449638370425	GSE282122_Mono_macro_post_nonremission_to_remission	2	-0.5801941724415989	-0.024043231004098845	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only			7.5
NCF2	6	5	3	0	0	0	GSE282122_Mono_macro_post_nonremission_to_remission_UC_only	4	0.4974282908348678	0.01518393267178908	GSE282122_DC_post_nonremission_to_remission	5	-0.11695705830443973	0.018805939831589867	GSE282122_DC_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_CD_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only				7.25
LILRB2	6	4	2	0	1	0	GSE282122_DC_post_nonremission_to_remission_UC_only	4	0.3225362855265282	0.049858953457118736	GSE282122_Mono_macro_post_nonremission_to_remission_CD_only	5	-0.3260078175458227	-0.03204106366675761	GSE282122_DC_post_nonremission_to_remission_UC_only;GSE282122_Mono_macro_post_nonremission_to_remission_UC_only		GSE282122_Mono_macro_post_nonremission_to_remission_CD_only		6.5
