report	safe_class	check	status	detail
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	safe_class_cited	PASS	safe class literal found
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	required_boundary:locked rule is unchanged	PASS	found
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	required_boundary:no post-hoc	PASS	found
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\bAUC\b	PASS	absent
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\bHedges\b	PASS	absent
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\beffect[- ]size\b	PASS	absent
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\bp[- ]?value\b	PASS	absent
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\bpermutation\b	PASS	absent
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\bconfidence interval\b	PASS	absent
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\blocked_rule_metrics\.tsv\b	PASS	absent
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\b(?:pass|fail|passed|failed) validation\b	PASS	absent
analysis/v46_returned_package_regression_suite/safe_class_report_template_readiness/fixtures/context_only_or_labels_needed.md	CONTEXT_ONLY_OR_LABELS_NEEDED	forbidden_score_language:\bclean pre-registered pass\b	PASS	absent
