analysis	disease_name	compartment	role	gene	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ACSL1	mean_z_vs_controls	6	6	0.12345221852684307	-0.004842967197406807	0.1282951857242499	1.345462732291551	2.524610629687693	0.03235670406977895	0.3504439803686542
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	ACSL1	detection_fraction	6	6	0.04038162309943594	0.020598571667960263	0.019783051431475674	0.9426423913855633	1.7687632248520242	0.11293017965105093	0.5188125591320519
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	APOE	mean_z_vs_controls	6	6	0.1110731218521868	0.06691843907050773	0.04415468278167907	0.22128337631057665	0.4152135548603273	0.6881022877169187	0.8673124095765573
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	APOE	detection_fraction	6	6	0.006000935913945393	0.0037386068235252534	0.0022623290904201397	0.32179856383853733	0.6038190842352971	0.5618074823075979	0.8007437442217422
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QA	mean_z_vs_controls	6	6	0.0	0.0	0.0				1.0
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QA	detection_fraction	6	6	0.0	0.0	0.0				1.0
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QB	mean_z_vs_controls	6	6	-0.010286051286094026	-0.013525290135603295	0.0032392388495092687	0.06267765750545565	0.11760762790708747	0.9087531854339463	0.9769302103104502
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QB	detection_fraction	6	6	0.005801793972177391	0.00487379302610597	0.0009280009460714209	0.17759029355453013	0.333228362314811	0.7464053359138422	0.9000742663977577
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QC	mean_z_vs_controls	6	6	0.03544320723718749	-0.010131043995326194	0.045574251232513685	0.70209111764145	1.3173956112392933	0.22884813976346147	0.6265117753541829
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1QC	detection_fraction	6	6	0.0032380633936272044	0.0021807681212207505	0.001057295272406454	0.4576367191561559	0.8587042197365572	0.4124270578157885	0.710343544093172
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1R	mean_z_vs_controls	6	6	-0.0066481752082400885	-0.006393496212977527	-0.0002546789952625611	-0.006540307282547837	-0.012272156553026055	0.9904563544155854	1.0
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1R	detection_fraction	6	6	0.004260312378432423	0.0031059039806690483	0.0011544083977633748	0.4028694098728437	0.7559394772746441	0.4700038908751513	0.7487725094250631
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1S	mean_z_vs_controls	6	6	-0.03372714370251476	0.0172265322648734	-0.05095367596738816	-1.1009914762413504	-2.065887606846138	0.08136063463573345	0.46003713562439436
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C1S	detection_fraction	6	6	0.0016888875917104697	0.003537528426874832	-0.0018486408351643625	-0.7684537438220526	-1.4419176715301725	0.18052417842597615	0.6021531536168442
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C2	mean_z_vs_controls	6	6	0.6920548476158822	-0.017323655213287506	0.7093785028291697	1.7163104577975847	3.2204649906728173	0.02211859867906855	0.3182864349346536
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C2	detection_fraction	6	6	0.08228132225414574	0.005629036909665517	0.07665228534448022	1.5766892920669906	2.958481458410651	0.030655209384533578	0.344518378271369
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C3	mean_z_vs_controls	6	6	0.03357427982720217	0.0029492620200851165	0.030625017807117058	0.8472739016182922	1.5898148993241628	0.16410231304084394	0.5869225204097295
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C3	detection_fraction	6	6	0.002890262450718651	0.0022189118025651997	0.0006713506481534513	0.45130090496444386	0.846815771641916	0.41938546711310887	0.7165835653090398
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C3AR1	mean_z_vs_controls	6	6	0.03736045589363364	-0.0005735192440468554	0.037933975137680494	0.531161787199345	0.99666580267405	0.35875169723592043	0.6931850158993778
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C3AR1	detection_fraction	6	6	0.0015280571806872624	0.00029877321984672596	0.0012292839608405365	0.5776000969262381	1.0838021071940322	0.32532347941191947	0.6879479165261195
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	C5AR1	mean_z_vs_controls	6	6	0.05926790360358969	0.0020881259597824325	0.05717977764380726	0.678010422948468	1.2722108756586776	0.23980448802812995	0.6282433689306616
