disease_name	axis	n_positive_modules_nominal	positive_modules	n_positive_genes_nominal	positive_genes	n_residual_retained_nominal_tests	residual_retained_features
Crohn disease	osm_osmr	2	ibd_crohn_epithelial:osmr_signal_response;ibd_crohn_epithelial:osmr_receptor_core	4	ibd_crohn_epithelial:IL6ST;ibd_crohn_myeloid:SOCS3;ibd_crohn_stromal:OSMR;ibd_crohn_myeloid:OSM	8	ibd_crohn_stromal:OSMR|lysosomal_apc;ibd_crohn_myeloid:OSM|hla_ii_apc;ibd_crohn_epithelial:IL6ST|lysosomal_apc;ibd_crohn_myeloid:SOCS3|hla_ii_apc;ibd_crohn_epithelial:osmr_signal_response|lysosomal_apc;ibd_crohn_stromal:OSMR|inflammatory_nfkb;ibd_crohn_myeloid:SOCS3|lipid_loader_repair;ibd_crohn_stromal:OSMR|hif_nampt_metabolic
Crohn disease	complement_c1q	2	ibd_crohn_epithelial:complement_effector;ibd_crohn_epithelial:c1q_phagocytic_myeloid	0		3	ibd_crohn_epithelial:complement_effector|lysosomal_apc;ibd_crohn_epithelial:c1q_phagocytic_myeloid|lysosomal_apc;ibd_crohn_epithelial:complement_effector|hla_ii_apc
Sjogren syndrome	osm_osmr	0		0		0	
Sjogren syndrome	complement_c1q	0		2	sjogren_gland_epithelial:C1QB;sjogren_gland_stromal:C1QA	8	sjogren_gland_epithelial:C1QB|inflammatory_nfkb;sjogren_gland_epithelial:C1QB|lipid_loader_repair;sjogren_gland_epithelial:C1QB|hif_nampt_metabolic;sjogren_gland_epithelial:C1QB|lysosomal_apc;sjogren_gland_stromal:C1QA|inflammatory_nfkb;sjogren_gland_stromal:C1QA|hla_ii_apc;sjogren_gland_stromal:C1QA|ifn_apc;sjogren_gland_stromal:C1QA|hif_nampt_metabolic
psoriasis	osm_osmr	0		1	psoriasis_keratinocyte:OSMR	0	
psoriasis	complement_c1q	1	psoriasis_keratinocyte:complement_effector	0		1	psoriasis_keratinocyte:complement_effector|inflammatory_nfkb
rheumatoid arthritis	osm_osmr	0		0		0	
rheumatoid arthritis	complement_c1q	0		0		0	
type 1 diabetes mellitus	osm_osmr	4	t1d_acinar_cell:osm_ligand_inflammatory_myeloid;t1d_ductal_cell:osm_ligand_inflammatory_myeloid;t1d_ductal_cell:osmr_signal_response;t1d_endothelial_cell:osmr_signal_response	0		10	t1d_acinar_cell:osm_ligand_inflammatory_myeloid|hif_nampt_metabolic;t1d_acinar_cell:osm_ligand_inflammatory_myeloid|lysosomal_apc;t1d_ductal_cell:osm_ligand_inflammatory_myeloid|hif_nampt_metabolic;t1d_acinar_cell:osm_ligand_inflammatory_myeloid|ifn_apc;t1d_acinar_cell:osm_ligand_inflammatory_myeloid|hla_ii_apc;t1d_ductal_cell:osm_ligand_inflammatory_myeloid|lysosomal_apc;t1d_endothelial_cell:osmr_signal_response|lysosomal_apc;t1d_ductal_cell:osm_ligand_inflammatory_myeloid|lipid_loader_repair;t1d_acinar_cell:osm_ligand_inflammatory_myeloid|inflammatory_nfkb;t1d_ductal_cell:osm_ligand_inflammatory_myeloid|ifn_apc
type 1 diabetes mellitus	complement_c1q	4	t1d_endothelial_cell:complement_effector;t1d_acinar_cell:complement_effector;t1d_acinar_cell:c1q_phagocytic_myeloid;t1d_ductal_cell:complement_effector	0		10	t1d_acinar_cell:complement_effector|hla_ii_apc;t1d_acinar_cell:complement_effector|ifn_apc;t1d_endothelial_cell:complement_effector|lysosomal_apc;t1d_endothelial_cell:complement_effector|hla_ii_apc;t1d_acinar_cell:complement_effector|lysosomal_apc;t1d_endothelial_cell:complement_effector|ifn_apc;t1d_endothelial_cell:complement_effector|hif_nampt_metabolic;t1d_ductal_cell:complement_effector|lipid_loader_repair;t1d_ductal_cell:complement_effector|hif_nampt_metabolic;t1d_acinar_cell:complement_effector|lipid_loader_repair
ulcerative colitis	osm_osmr	4	ibd_uc_epithelial:osm_ligand_inflammatory_myeloid;ibd_uc_myeloid:osm_ligand_inflammatory_myeloid;ibd_uc_epithelial:osmr_signal_response;ibd_uc_myeloid:osmr_signal_response	2	ibd_uc_myeloid:SOCS3;ibd_uc_myeloid:OSM	12	ibd_uc_epithelial:osm_ligand_inflammatory_myeloid|lysosomal_apc;ibd_uc_epithelial:osm_ligand_inflammatory_myeloid|lipid_loader_repair;ibd_uc_epithelial:osmr_signal_response|lysosomal_apc;ibd_uc_myeloid:osm_ligand_inflammatory_myeloid|hla_ii_apc;ibd_uc_epithelial:osmr_signal_response|lipid_loader_repair;ibd_uc_epithelial:osm_ligand_inflammatory_myeloid|inflammatory_nfkb;ibd_uc_myeloid:osm_ligand_inflammatory_myeloid|lipid_loader_repair;ibd_uc_epithelial:osm_ligand_inflammatory_myeloid|hla_ii_apc;ibd_uc_myeloid:SOCS3|hla_ii_apc;ibd_uc_epithelial:osm_ligand_inflammatory_myeloid|ifn_apc;ibd_uc_myeloid:OSM|hla_ii_apc;ibd_uc_myeloid:osmr_signal_response|hla_ii_apc
ulcerative colitis	complement_c1q	3	ibd_uc_epithelial:c1q_phagocytic_myeloid;ibd_uc_myeloid:complement_effector;ibd_uc_epithelial:complement_effector	1	ibd_uc_myeloid:C5AR1	5	ibd_uc_myeloid:C5AR1|lipid_loader_repair;ibd_uc_myeloid:C5AR1|hla_ii_apc;ibd_uc_epithelial:c1q_phagocytic_myeloid|lysosomal_apc;ibd_uc_epithelial:complement_effector|lysosomal_apc;ibd_uc_epithelial:c1q_phagocytic_myeloid|lipid_loader_repair
