analysis	disease_name	compartment	role	module	module_class	n_genes_present	genes_present
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	osm_ligand_inflammatory_myeloid	target	9	OSM,IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,TREM1,NFKBIA
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	osmr_receptor_core	target	4	OSMR,IL6ST,LIFR,IL31RA
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	osmr_signal_response	target	15	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CEBPB,CXCL1,CXCL2,CXCL8,CCL2,C3,SERPINE1,SAA1,SAA2
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	c1q_phagocytic_myeloid	target	12	C1QA,C1QB,C1QC,TYROBP,TREM2,APOE,GPNMB,LPL,CD68,MERTK,MSR1,LRP1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	complement_effector	target	12	C1R,C1S,C2,C3,CFB,CFD,SERPING1,C3AR1,C5AR1,CD93,CALR,LRP1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	ifn_apc	covariate	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	hla_ii_apc	covariate	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	lysosomal_apc	covariate	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	lipid_loader_repair	covariate	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	hif_nampt_metabolic	covariate	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_crohn_myeloid	Crohn disease	colon myeloid	myeloid_apc	inflammatory_nfkb	covariate	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	osm_ligand_inflammatory_myeloid	target	9	OSM,IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,TREM1,NFKBIA
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	osmr_receptor_core	target	4	OSMR,IL6ST,LIFR,IL31RA
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	osmr_signal_response	target	15	OSMR,IL6ST,STAT3,SOCS3,JUNB,FOS,CEBPB,CXCL1,CXCL2,CXCL8,CCL2,C3,SERPINE1,SAA1,SAA2
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	c1q_phagocytic_myeloid	target	12	C1QA,C1QB,C1QC,TYROBP,TREM2,APOE,GPNMB,LPL,CD68,MERTK,MSR1,LRP1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	complement_effector	target	12	C1R,C1S,C2,C3,CFB,CFD,SERPING1,C3AR1,C5AR1,CD93,CALR,LRP1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	ifn_apc	covariate	8	STAT1,IRF1,CXCL10,GBP1,CD74,IFI30,HLA-DRA,HLA-DRB1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	hla_ii_apc	covariate	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CIITA,RFX5
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	lysosomal_apc	covariate	7	IFI30,CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	lipid_loader_repair	covariate	12	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK,SPP1
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	hif_nampt_metabolic	covariate	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3
ibd_uc_myeloid	ulcerative colitis	colon myeloid	myeloid_apc	inflammatory_nfkb	covariate	9	IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,NFKBIA,TREM1,OSM
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	osm_ligand_inflammatory_myeloid	target	9	OSM,IL1B,TNF,CXCL8,CCL2,CCL3,CCL4,TREM1,NFKBIA
ibd_crohn_epithelial	Crohn disease	colon epithelial	tissue_resident	osmr_receptor_core	target	4	OSMR,IL6ST,LIFR,IL31RA
