dataset	contrast	contrast_type	case_group	control_group	module	delta_case_minus_control	hedges_g	p	n_case	n_control	statistical_status	note	fdr
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	resolution_efferocytosis	0.02450770880814459	0.0656797565386103	0.9043916842771913	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure	0.93011766053675
GSE169160_human_MF_efferocytosis	MF_AC_vs_MF	group	MF_AC	MF	stress_cytotoxicity	0.20212886659511334	0.784883352404651	0.17327588633321134	6.0	6.0	welch_t	human macrophage apoptotic-cell exposure	0.3392168329685485
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	fibrosis_profibrotic	-0.13162240215362614	-0.26123923314663894	0.6858706947622497	4.0	4.0	welch_t	mouse efferocytosis time course	0.8099037907120437
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	generic_ifn	0.015212242409111676	0.12240747170122358	0.8490883755772921	4.0	4.0	welch_t	mouse efferocytosis time course	0.9122172381301737
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	lipid_lysosomal_apc	0.11135909260310685	0.6164925636120053	0.35978713313799854	4.0	4.0	welch_t	mouse efferocytosis time course	0.5207445348049978
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	resolution_efferocytosis	-0.12358330664394304	-0.4694952087892446	0.4801059460095776	4.0	4.0	welch_t	mouse efferocytosis time course	0.636284988687392
GSE253577_mouse_efferocytosis_timecourse	AC_45min_vs_Alone	group	AC_45min	Alone	stress_cytotoxicity	0.11849961189268984	0.5896934197302863	0.3925922998360931	4.0	4.0	welch_t	mouse efferocytosis time course	0.5466475061008892
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	fibrosis_profibrotic	-0.33856614469003543	-0.737088330148794	0.2800329505918629	4.0	4.0	welch_t	mouse efferocytosis time course	0.46248183315835867
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	generic_ifn	-0.1362905849647335	-1.553282297209008	0.057464860121560817	4.0	4.0	welch_t	mouse efferocytosis time course	0.14700313054352765
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	lipid_lysosomal_apc	-0.18382977139193726	-1.176103390858372	0.10554295365530138	4.0	4.0	welch_t	mouse efferocytosis time course	0.23219449804166303
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	resolution_efferocytosis	0.04824203639526661	0.19778526422229353	0.7601388477757738	4.0	4.0	welch_t	mouse efferocytosis time course	0.860419087518881
GSE253577_mouse_efferocytosis_timecourse	AC_90min_vs_Alone	group	AC_90min	Alone	stress_cytotoxicity	-0.13874757486848294	-0.5391914252505662	0.4358566182188878	4.0	4.0	welch_t	mouse efferocytosis time course	0.5993028500509707
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	fibrosis_profibrotic	0.4241981249051062	0.722844291394263	0.28589786049789445	4.0	4.0	welch_t	mouse efferocytosis time course	0.46248183315835867
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	generic_ifn	-2.006017173572605	-21.249588947820026	1.71944186550945e-07	4.0	4.0	welch_t	mouse efferocytosis time course	1.8913860520603948e-05
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	lipid_lysosomal_apc	0.5428144617036591	4.3834610204006035	0.0006178083911772541	4.0	4.0	welch_t	mouse efferocytosis time course	0.005663243585791496
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	resolution_efferocytosis	0.5634090231236193	3.411089194455758	0.0021187787089240553	4.0	4.0	welch_t	mouse efferocytosis time course	0.01553771053210974
GSE253577_mouse_efferocytosis_timecourse	AC_180min_vs_Alone	group	AC_180min	Alone	stress_cytotoxicity	0.21024216543345758	1.020072850071123	0.17445642176309167	4.0	4.0	welch_t	mouse efferocytosis time course	0.3392168329685485
GSE325329_ifng_il10_phagocytic_macrophages	IFNg_Tconv_phago_vs_IFNg_nonphago	group	IFNg_Tconv_phago	IFNg_nonphago	fibrosis_profibrotic	-0.08468794440685223	-0.7536856538261455	0.2782219990362225	4.0	4.0	welch_t	IFNg-polarized phagocytic vs non-phagocytic macrophages	0.46248183315835867
