scenario	seed	method	balanced_columns	n_patients	n_responders	pair_split_rate	baseline_early_count_difference_max	response_imbalance	design_imbalance_max	technical_null_raw_auc_ge_0_70_rate	technical_null_auc_median	technical_null_auc_q95	synthetic_only
independent	5701	capacity_random	capacity_only	60	28	0.0	0	0.5345224838248489	0.5773502691896258	0.003	0.5011160714285714	0.625	True
independent	5701	outcome_blind_constrained	site,sex,age_stratum	60	28	0.0	0	0.7349684152591671	0.3464101615137755	0.0095	0.5	0.6462053571428571	True
independent	5701	outcome_aware_constrained	site,sex,age_stratum,response	60	28	0.0	0	0.3340765523905305	0.3464101615137755	0.00125	0.5	0.6138392857142857	True
independent	5702	capacity_random	capacity_only	60	28	0.0	0	0.46770717334674267	0.5773502691896258	0.0023	0.5	0.6205357142857143	True
independent	5702	outcome_blind_constrained	site,sex,age_stratum	60	28	0.0	0	0.8685990362153793	0.3713906763541038	0.009	0.5	0.6428571428571429	True
independent	5702	outcome_aware_constrained	site,sex,age_stratum,response	60	28	0.0	0	0.3340765523905305	0.3713906763541038	0.0015	0.5	0.6127232142857143	True
independent	5703	capacity_random	capacity_only	60	29	0.0	0	0.5669817440703095	0.7035264706814485	0.00385	0.5005561735261401	0.6273637374860956	True
independent	5703	outcome_blind_constrained	site,sex,age_stratum	60	29	0.0	0	0.8337966824563378	0.3464101615137755	0.01075	0.4994438264738598	0.6473859844271412	True
independent	5703	outcome_aware_constrained	site,sex,age_stratum,response	60	29	0.0	0	0.3668705402807886	0.3464101615137755	0.00205	0.5005561735261401	0.6162402669632926	True
site_response_coupled	5701	capacity_random	capacity_only	60	32	0.0	0	0.3340765523905305	0.7349684152591671	0.0014	0.49888392857142855	0.6138392857142857	True
site_response_coupled	5701	outcome_blind_constrained	site,sex,age_stratum	60	32	0.0	0	0.26726124191242434	0.3464101615137755	0.00165	0.49888392857142855	0.609375	True
site_response_coupled	5701	outcome_aware_constrained	site,sex,age_stratum,response	60	32	0.0	0	0.26726124191242434	0.3464101615137755	0.00185	0.5	0.6082589285714286	True
site_response_coupled	5702	capacity_random	capacity_only	60	29	0.0	0	0.43357427487729566	0.8825960238069807	0.0022	0.5005561735261401	0.6151279199110122	True
site_response_coupled	5702	outcome_blind_constrained	site,sex,age_stratum	60	29	0.0	0	0.5669817440703095	0.3464101615137755	0.00435	0.5016685205784205	0.6295884315906563	True
site_response_coupled	5702	outcome_aware_constrained	site,sex,age_stratum,response	60	29	0.0	0	0.2334630710877746	0.36342189215581555	0.0011	0.4994438264738598	0.610678531701891	True
site_response_coupled	5703	capacity_random	capacity_only	60	26	0.0	0	0.6726727939963125	0.5773502691896258	0.00615	0.501131221719457	0.6368778280542986	True
site_response_coupled	5703	outcome_blind_constrained	site,sex,age_stratum	60	26	0.0	0	0.33633639699815615	0.3464101615137755	0.00215	0.501131221719457	0.6176470588235294	True
site_response_coupled	5703	outcome_aware_constrained	site,sex,age_stratum,response	60	26	0.0	0	0.26906911759852503	0.3464101615137755	0.00135	0.5	0.6131221719457014	True
rare_site	5701	capacity_random	capacity_only	60	29	0.0	0	0.43357427487729566	0.6882472016116854	0.00345	0.5005561735261401	0.628476084538376	True
rare_site	5701	outcome_blind_constrained	site,sex,age_stratum	60	29	0.0	0	0.2334630710877746	0.3340765523905305	0.00085	0.5005561735261401	0.6084538375973304	True
rare_site	5701	outcome_aware_constrained	site,sex,age_stratum,response	60	29	0.0	0	0.2334630710877746	0.4	0.001	0.4994438264738598	0.6084538375973304	True
rare_site	5702	capacity_random	capacity_only	60	27	0.0	0	0.502518907629606	0.43357427487729566	0.0031	0.4994388327721661	0.6206509539842873	True
rare_site	5702	outcome_blind_constrained	site,sex,age_stratum	60	27	0.0	0	0.5025189076296062	0.37186787208054733	0.0037	0.500561167227834	0.6262626262626263	True
rare_site	5702	outcome_aware_constrained	site,sex,age_stratum,response	60	27	0.0	0	0.3015113445777637	0.42211588240886916	0.0021	0.4994388327721661	0.6150392817059483	True
rare_site	5703	capacity_random	capacity_only	60	25	0.0	0	0.7775419143502353	0.8	0.0072	0.5005714285714286	0.6365714285714286	True
rare_site	5703	outcome_blind_constrained	site,sex,age_stratum	60	25	0.0	0	0.37186787208054733	0.3999999999999999	0.00205	0.49942857142857144	0.6182857142857143	True
rare_site	5703	outcome_aware_constrained	site,sex,age_stratum,response	60	25	0.0	0	0.37186787208054733	0.40824829046386296	0.00155	0.49942857142857144	0.6148571428571429	True
