context	response_mode	ephx2_axis_effect	ephx2_axis_p	generic_lipid_effect	inflammatory_effect	lysosomal_apc_effect	specificity_margin	specificity_pass
broad_h5ad|ibd_crohn_epithelial|Crohn disease|colon epithelial|tissue_resident	False	-0.07587328262519401	0.4638942998373802	0.7452267061104367	0.7781903299965292	0.8687770708012587	-0.9446503534264526	False
broad_h5ad|ibd_crohn_myeloid|Crohn disease|colon myeloid|myeloid_apc	False	-0.3484857747343452	0.41772405883309105	0.08529574350389031	1.695446920518662	-0.14122141502889196	-2.043932695253007	False
broad_h5ad|ibd_crohn_stromal|Crohn disease|colon stromal|tissue_resident	False	-0.3212489229228307	0.09497852903188565	0.018176126191876606	1.012161886514287	0.20351046512939852	-1.3334108094371175	False
broad_h5ad|ibd_uc_epithelial|ulcerative colitis|colon epithelial|tissue_resident	False	-0.37659477586381707	0.016322920504634533	0.3242149090381057	0.82327831441444	0.761466216840083	-1.199873090278257	False
broad_h5ad|ibd_uc_myeloid|ulcerative colitis|colon myeloid|myeloid_apc	False	-0.9748279710983057	0.011942982760352041	-0.3761121231311	1.5218333414725802	-0.04504420834556656	-2.496661312570886	False
broad_h5ad|ibd_uc_stromal|ulcerative colitis|colon stromal|tissue_resident	False	0.042995287187680864	0.11985641878588872	-0.5791481078316667	0.7687907081294589	-0.19448413147335988	-0.7257954209417781	False
broad_h5ad|psoriasis_keratinocyte|psoriasis|skin keratinocyte|tissue_resident	False	-0.09077945948126087	0.22434766797368566	0.6588283809154923	0.08424902334329715	0.8561480613052891	-0.94692752078655	False
broad_h5ad|psoriasis_skin_apc|psoriasis|skin APC|myeloid_apc	False	0.18852551881747778	0.3921573562011048	-0.45968542039342486	-0.27401516894713224	0.0245167219348468	0.16400879688263098	False
broad_h5ad|psoriasis_skin_stromal|psoriasis|skin stromal|tissue_resident	False	0.030993029183828597	0.2820434732468565	0.09390440317228468	0.180411799598442	0.19740739217216785	-0.16641436298833925	False
broad_h5ad|sjogren_gland_apc|Sjogren syndrome|salivary gland APC|myeloid_apc	False	-0.5039912339930963	0.07470576357026706	-0.1825769665060278	0.3926194988955657	0.052665584688143884	-0.896610732888662	False
broad_h5ad|sjogren_gland_epithelial|Sjogren syndrome|salivary gland epithelial|tissue_resident	False	-0.04918540363491663	0.49284270508235417	-0.04936708802955372	0.19517447727876477	0.41053171192470117	-0.4597171155596178	False
broad_h5ad|sjogren_gland_stromal|Sjogren syndrome|salivary gland stromal/endothelial|tissue_resident	False	-0.15256605494862216	0.2717006055453951	-0.12719432185172316	0.2239090398646971	0.003953070333233466	-0.37647509481331926	False
broad_h5ad|t1d_acinar_cell|type 1 diabetes mellitus|pancreatic acinar cell|tissue_resident	False	0.01851346133642573	0.38057639901792895	0.42257838527617847	1.3782933965104458	0.7043662911895336	-1.35977993517402	False
broad_h5ad|t1d_beta_cell|type 1 diabetes mellitus|pancreatic beta cell|tissue_resident	False	0.25747951064321584	0.5362476162064462	0.2657150221458953	1.3701958697703813	1.1821549849933812	-1.1127163591271656	False
broad_h5ad|t1d_ductal_cell|type 1 diabetes mellitus|pancreatic ductal cell|tissue_resident	False	0.757858352195102	0.0024621671977672873	0.24126477953127506	1.272288048722874	0.5899866188518691	-0.514429696527772	False
broad_h5ad|t1d_endothelial_cell|type 1 diabetes mellitus|pancreatic endothelial cell|tissue_resident	False	0.6139332695089481	0.1831073916214535	0.09809347646969603	1.2601076046498303	0.5993486527083839	-0.6461743351408822	False
broad_h5ad|t1d_stellate_cell|type 1 diabetes mellitus|pancreatic stellate cell|tissue_resident	False	0.2434895582714538	0.7609821588314225	-0.07651523133024495	1.3516063060732944	0.6200575232640595	-1.1081167478018406	False
GSE111972_MS_white_matter|MS_case_minus_control	False	0.1951260267248538	0.6210451934657115	0.36821157698900164	0.19873257216957416	0.24249862200951403	-0.17308555026414785	False
GSE282122_IBD_antiTNF|paired_post_minus_pre_all|DC	True	0.1351955720850482	0.036872037471950614	-0.08682132279259883	-0.21189723992251364	0.01898866473782367	-0.3470928120075618	False
GSE282122_IBD_antiTNF|paired_post_minus_pre_all|Mono_macro	True	0.1554327688448199	0.01608151107643492	-0.11282328827334558	0.1126488112108844	0.06667686650807893	-0.26825605711816547	False
GSE282122_IBD_antiTNF|remission_delta_minus_nonremission_delta|DC	True	0.042500891347213084	0.7312279288141001	-0.6529068857948515	-0.4489268128185425	-0.3247927973775549	-0.6954077771420646	False
GSE282122_IBD_antiTNF|remission_delta_minus_nonremission_delta|Mono_macro	True	-0.11802086112031958	0.08191138211377504	-0.32612188602829645	-0.7657644559210937	-0.03323425822146913	-0.647743594800774	False
GSE198520_RA_synovium_antiTNF	True	0.008803677690047432	0.9107793349545915	0.015171263059661598	-0.1539954107887478	-0.4434268379190338	-0.45223051560908123	False
