module	n_genes_defined	genes
ephx2_epoxide_hydrolase_axis	8	EPHX2;EPHX1;CYP2J2;CYP2C8;CYP2C9;CYP2C19;CYP2S1;PLA2G4A
oxylipin_enzyme_adjacent	10	ALOX5;ALOX5AP;ALOX12;ALOX15;PTGS1;PTGS2;HPGDS;LTA4H;LTC4S;PTGES
generic_lipid_handling	10	ACSL1;APOE;CD36;FABP4;LIPA;LPL;MSR1;PLIN2;SOAT1;SCD
inflammatory_nfkb_tnf	10	TNF;IL1B;IL6;CXCL8;NFKBIA;TNFAIP3;CCL2;CCL3;CXCL10;STAT1
lysosomal_apc	11	CTSB;CTSD;CTSS;CTSL;LAMP1;LAMP2;TPP1;CD74;HLA-DRA;HLA-DRB1;IFI30
