source	evidence_type	metric	effect	p	fdr	support	blocker	details
broad_h5ad_gene_summary	cross_disease_cell_state_expression	positive/negative_disease_count				False	positive_diseases=; negative_diseases=psoriasis;ulcerative colitis	"{""positive_disease_count"": 0, ""negative_disease_count"": 2, ""best_negative_p"": 0.0108995575964497, ""min_negative_delta_log2_cpm"": -0.9460518979115752}"
broad_h5ad_gene_rank	integrated_existing_rank	discovery_priority_score	-7.915842031345719	0.3207974938864871	0.9120391943246274	False	rank is not supportive	"{""ms_wm_delta_log2"": 0.7623702959601806, ""ms_wm_p"": 0.3207974938864871, ""discovery_priority_score"": -7.915842031345719}"
GSE111972_MS_white_matter	MS_case_minus_control_expression	delta_log2	0.7623702959601806	0.3207974938864871	0.9120391943246274	False	nominal MS WM EPHX2 expression support absent	"{""gene"": ""EPHX2"", ""mean_case"": 6.388297865298806, ""mean_control"": 5.625927569338625, ""delta_log2"": 0.7623702959601806, ""hedges_g"": 0.4186329408544872, ""welch_t"": 1.024779789065431, ""p"": 0.3207974938864871, ""fdr"": 0.9120391943246274}"
wave62_opentargets_target_resolution	target_level_genetics	wave62_score				False	EPHX2 absent from Wave62 target-resolution summary	"{""wave62_call"": null, ""strong_l2g_disease_count"": null, ""strong_qtl_coloc_disease_count"": null, ""max_qtl_h4"": null}"
GSE282122_raw_remission_response	IBD_antiTNF_response	raw_delta_remission_minus_non	-0.5966159655304609	0.1201218220122457	1.0	False	no nominal responder-normalizing EPHX2 signal	"{""cell_state"": ""Mono_macro"", ""gene"": ""EPHX2"", ""n_patient_units"": ""29"", ""n_remission"": ""13"", ""n_non_remission"": ""16"", ""mean_delta_remission"": -0.1516732423845412, ""mean_delta_non_remission"": 0.4449427231459197, ""raw_delta_remission_minus_non"": -0.5966159655304609, ""raw_t"": -1.6090886561093278, ""raw_p"": 0.1201218220122457, ""raw_fdr"": 1.0}"
GSE282122_paired_post_pre	IBD_antiTNF_response	mean_delta	0.1873034198536875	0.2619943988350041	1.0	False	no nominal responder-normalizing EPHX2 signal	"{""cell_state"": ""Mono_macro"", ""gene"": ""EPHX2"", ""n_pairs"": ""43"", ""n_patients"": ""29"", ""mean_delta"": 0.1873034198536875, ""sd_delta"": 1.0802624541430672, ""t"": 1.13697431246594, ""paired_p"": 0.2619943988350041, ""paired_fdr"": 1.0}"
GSE282122_integrated_rank	IBD_antiTNF_response	raw_delta_remission_minus_non	-0.5966159655304609	0.1201218220122457	1.0	False	no nominal responder-normalizing EPHX2 signal	"{""cell_state"": ""Mono_macro"", ""gene"": ""EPHX2"", ""n_patient_units"": ""29"", ""n_remission"": ""13"", ""n_non_remission"": ""16"", ""mean_delta_remission"": -0.1516732423845412, ""mean_delta_non_remission"": 0.4449427231459197, ""raw_delta_remission_minus_non"": -0.5966159655304609, ""raw_t"": -1.6090886561093278, ""raw_p"": 0.1201218220122457, ""raw_fdr"": 1.0, ""mean_delta"": 0.1873034198536875, ""paired_p"": 0.2619943988350041, ""paired_fdr"": 1.0, ""n"": NaN, ""remission_adjusted_delta"": NaN, ""remission_adjusted_p"": NaN, ""formula"": NaN, ""remission_adjusted_fdr"": NaN, ""approved_name"": NaN, ""wave62_score"": 0.0, ""wave62_call"": NaN, ""manual_blocker"": NaN, ""prior_context_blocker"": NaN, ""max_l2g_score"": NaN, ""best_l2g_disease"": NaN, ""strong_l2g_disease_count"": 0.0, ""strong_l2g_diseases"": NaN, ""ms_max_l2g_score"": NaN, ""strong_qtl_coloc_disease_count"": 0.0, ""strong_qtl_coloc_diseases"": NaN, ""myeloid_qtl_coloc_disease_count"": 0.0, ""max_qtl_h4"": NaN, ""ms_max_relevant_qtl_h4"": NaN, ""gwas_catalog_trait_count"": NaN, ""chembl_target_id"": NaN, ""druggable_activity_count"": 0.0, ""wave55_score"": 0.0, ""wave55_genetic_diseases_ge_0_25"": NaN, ""has_cross_autoimmune_genetics"": ""False"", ""has_any_druggability_flag"": ""False"", ""manual_or_prior_blocked"": ""False"", ""wave68_posthoc_blocker"": NaN, ""perturbation_strength"": 1.5020860823690692, ""integrated_score"": 1.5020860823690692, ""wave68_call"": ""DESCRIPTIVE_GENE_SIGNAL"", ""wave68_call_priority"": ""2""}"
wave57_geneformer_intervention	foundation_model_perturbation	wave57_model_priority_score				False	EPHX2 absent or below token/support threshold	"{""support_contexts"": null, ""strong_support_contexts"": null, ""best_context"": null, ""wave57_model_priority_score"": null}"
wave69d_geneformer_remission_centroid	foundation_model_perturbation	geneformer_remission_priority_score				False	EPHX2 absent or below token/support threshold	"{""support_contexts"": null, ""strong_support_contexts"": null, ""best_context"": null, ""geneformer_remission_priority_score"": null}"
GSE198520_RA_synovium_antiTNF	RA_antiTNF_response	good_vs_other_delta	0.2371687066622362	0.35342325461420776	0.35342325461420776	False	no nominal responder-normalizing RA EPHX2 signal	"{""dataset"": ""GSE198520_RA_synovium_antiTNF"", ""gene"": ""EPHX2"", ""n_patients"": 46, ""mean_post_minus_pre"": -0.01902601367524056, ""paired_t"": -0.15840101874941873, ""paired_p"": 0.8748495352477017, ""good_responder_mean_delta"": 0.12018170545259373, ""other_mean_delta"": -0.11698700120964246, ""good_vs_other_delta"": 0.2371687066622362, ""good_vs_other_p"": 0.35342325461420776, ""normalization_support"": false, ""paired_fdr"": 0.8748495352477017, ""good_vs_other_fdr"": 0.35342325461420776}"
