analysis	module	n_genes_present	genes_present
ibd_crohn_myeloid	hla_ii_apc	2	CIITA,RFX5
ibd_crohn_myeloid	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
ibd_crohn_myeloid	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_crohn_myeloid	mif_cd74_receptor_state	2	CD44,CXCR4
ibd_uc_myeloid	hla_ii_apc	2	CIITA,RFX5
ibd_uc_myeloid	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
ibd_uc_myeloid	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_uc_myeloid	mif_cd74_receptor_state	2	CD44,CXCR4
ibd_crohn_epithelial	hla_ii_apc	2	CIITA,RFX5
ibd_crohn_epithelial	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
ibd_crohn_epithelial	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_crohn_epithelial	mif_cd74_receptor_state	2	CD44,CXCR4
ibd_uc_epithelial	hla_ii_apc	2	CIITA,RFX5
ibd_uc_epithelial	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
ibd_uc_epithelial	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ibd_uc_epithelial	mif_cd74_receptor_state	2	CD44,CXCR4
psoriasis_skin_apc	hla_ii_apc	2	CIITA,RFX5
psoriasis_skin_apc	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
psoriasis_skin_apc	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
psoriasis_skin_apc	mif_cd74_receptor_state	2	CD44,CXCR4
psoriasis_keratinocyte	hla_ii_apc	2	CIITA,RFX5
psoriasis_keratinocyte	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
psoriasis_keratinocyte	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
psoriasis_keratinocyte	mif_cd74_receptor_state	2	CD44,CXCR4
sjogren_gland_apc	hla_ii_apc	2	CIITA,RFX5
sjogren_gland_apc	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
sjogren_gland_apc	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
sjogren_gland_apc	mif_cd74_receptor_state	2	CD44,CXCR4
sjogren_gland_epithelial	hla_ii_apc	2	CIITA,RFX5
sjogren_gland_epithelial	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
sjogren_gland_epithelial	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
sjogren_gland_epithelial	mif_cd74_receptor_state	2	CD44,CXCR4
ra_blood_myeloid	hla_ii_apc	2	CIITA,RFX5
ra_blood_myeloid	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
ra_blood_myeloid	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
ra_blood_myeloid	mif_cd74_receptor_state	2	CD44,CXCR4
t1d_beta_cell	hla_ii_apc	2	CIITA,RFX5
t1d_beta_cell	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
t1d_beta_cell	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
t1d_beta_cell	mif_cd74_receptor_state	2	CD44,CXCR4
t1d_ductal_cell	hla_ii_apc	2	CIITA,RFX5
t1d_ductal_cell	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
t1d_ductal_cell	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
t1d_ductal_cell	mif_cd74_receptor_state	2	CD44,CXCR4
t1d_acinar_cell	hla_ii_apc	2	CIITA,RFX5
t1d_acinar_cell	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
t1d_acinar_cell	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
t1d_acinar_cell	mif_cd74_receptor_state	2	CD44,CXCR4
