analysis	dataset_path	disease_name	compartment	donor_id	disease	group	module	n_cells	mean_score	high_fraction	cell_types
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	hla_ii_apc	81	0.34009493376229794	0.37037037037037035	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	ifn_apc	81	1.4918065466945247	0.654320987654321	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	lysosomal_apc	81	0.12295489079989733	0.2222222222222222	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_1	Crohn disease	case	mif_cd74_receptor_state	81	0.6372807420614216	0.654320987654321	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	hla_ii_apc	38	0.29331809871801223	0.42105263157894735	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	ifn_apc	38	1.0552023138624187	0.7894736842105263	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	lysosomal_apc	38	0.20751597871320304	0.3157894736842105	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_2	Crohn disease	case	mif_cd74_receptor_state	38	0.6752326126185154	0.6578947368421053	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	hla_ii_apc	406	0.07765865096301201	0.21182266009852216	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	ifn_apc	406	1.3996786694503554	0.7733990147783252	myeloid cell
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	CD_3	Crohn disease	case	lysosomal_apc	406	0.2132169734763393	0.3374384236453202	myeloid cell
