	hla_ii_apc	ifn_apc	lysosomal_apc	mif_cd74_receptor_state
ibd_crohn_epithelial|Crohn disease|colon epithelial	0.13594882566068886	0.22790342615686007	0.04837393667399717	0.23395464925101428
ibd_crohn_myeloid|Crohn disease|colon myeloid	0.052385011756256414	1.0197816171805907	0.11204273040929795	0.33131402544081917
ibd_uc_epithelial|ulcerative colitis|colon epithelial	0.0876229217641838	0.14135754683975596	0.02087950422186382	0.291402679512847
ibd_uc_myeloid|ulcerative colitis|colon myeloid	0.07169652083960625	0.6188458652033126	0.161790905321234	0.5808716304346352
psoriasis_keratinocyte|psoriasis|skin keratinocyte	0.19220908868176229	0.495933039864014	0.22738721766475786	0.22200095887215376
psoriasis_skin_apc|psoriasis|skin APC	0.2385929516909291	0.554701123577801	0.10015918962095963	-0.032618331258732085
ra_blood_myeloid|rheumatoid arthritis|blood myeloid/APC	-0.01998719932142654	-0.03751327371561638	-0.01504611953573436	0.05954246695426671
sjogren_gland_apc|Sjogren syndrome|salivary gland APC	-0.13159596944316124	0.0852176818846366	-0.06132030955550778	0.030876857776674052
sjogren_gland_epithelial|Sjogren syndrome|salivary gland epithelial	-0.04897203180800623	-0.011422777476093895	-0.058344658100339675	-0.03749501175060693
t1d_acinar_cell|type 1 diabetes mellitus|pancreatic acinar cell	0.09588231649746067	0.14849984462570864	0.1363526368034754	0.05840214848651776
t1d_beta_cell|type 1 diabetes mellitus|pancreatic beta cell	-0.009038688518549245	0.5128288355949939	0.11288874403556196	0.17496041237219664
t1d_ductal_cell|type 1 diabetes mellitus|pancreatic ductal cell	0.3023087030772177	0.1109916882532775	0.22288426512734955	0.12209021043707616
