modality	rank	entity	support_z	n_rows	min_p
cell_state_h5ad	1	apc_axis	2.6970107222673985	25	0.0069965017491254
cell_state_h5ad	2	coupled_apc_axis	2.6970107222673985	7	0.0069965017491254
cell_state_h5ad	3	mif_cd74_receptor_state	2.6970107222673985	7	0.0069965017491254
cell_state_h5ad	4	ifn_apc__mixscale_validated_ifng_readout	2.6970107222673985	1	0.0069965017491254
cell_state_h5ad	5	ifn_apc	2.6970107222673985	7	0.0069965017491254
cross_disease_summary	1	apc_axis	2.3912393044596754	20	0.016791604197901
cross_disease_summary	2	apc_hla_ifn_monitoring	2.3912393044596754	11	0.016791604197901
cross_disease_summary	3	ifn_apc__mixscale_validated_ifng_readout	2.3912393044596754	1	0.016791604197901
cross_disease_summary	4	ifn_apc	2.3912393044596754	6	0.016791604197901
cross_disease_summary	5	mixscale_validated_ifng_readout	2.3912393044596754	6	0.016791604197901
deep_structure	1	apc_axis	2.576002149423304	10	0.0099950024987506
deep_structure	2	apc_hla_ifn_monitoring	2.576002149423304	10	0.0099950024987506
deep_structure	3	complement_lipid_axis	2.576002149423304	6	0.0099950024987506
deep_structure	4	complement_phagocytosis	2.576002149423304	3	0.0099950024987506
deep_structure	5	coupled_apc_axis	2.576002149423304	10	0.0099950024987506
exploratory	1	apc_hla_ifn_monitoring	2.6547590333403277	13	0.0079365079365079
exploratory	2	tb_readable_compartment	2.6547590333403277	5	0.0079365079365079
exploratory	3	metabolic_sterol	2.512318809772744	8	0.0119940679158683
failure_structure	1	apc_axis	0.0	5	0.01
failure_structure	2	lysosomal_apc	0.0	2	0.01
failure_structure	3	zfp36l1	0.0	2	0.1
failure_structure	4	tb_readable_compartment	0.0	1	0.01
failure_structure	5	rel_pus10_usp34	0.0	2	0.01
genetics	1	genetic_backdrop_ms_uc	7.535167067614062	7	4.8771e-14
genetics	2	ms_uc_genetic_backdrop	7.535167067614062	2	4.8771e-14
genetics	3	chr1_kif21b_gpr25	1.126331304077035	3	0.2600253122089619
genetics	4	zfp36l1	1.126331304077035	1	0.2600253122089619
genetics	5	rel_pus10_usp34	0.6495497196310024	1	0.5159831203968521
network_topology	1	apc_axis	1.8592359539791856	6	0.062993700629937
network_topology	2	mixscale_validated_ifng_readout	1.8592359539791856	1	0.062993700629937
network_topology	3	apc_hla_ifn_monitoring	0.0	2	0.2711728827117288
network_topology	4	complement_lipid_axis	0.0	2	1.0
network_topology	5	complement_phagocytosis	0.0	1	1.0
perturbation	1	apc_axis	3.1748285874492073	6	0.0014992503748125
perturbation	2	apc_hla_ifn_monitoring	3.1748285874492073	5	0.0014992503748125
perturbation	3	coupled_apc_axis	3.1748285874492073	3	0.0014992503748125
perturbation	4	hla_ii_apc	3.1748285874492073	3	0.0014992503748125
perturbation	5	mif_cd74_receptor_state	3.1748285874492073	3	0.0014992503748125
perturbation_mixscale	1	apc_axis	3.1748285874492073	6	0.0014992503748125
perturbation_mixscale	2	apc_hla_ifn_monitoring	3.1748285874492073	5	0.0014992503748125
perturbation_mixscale	3	coupled_apc_axis	3.1748285874492073	3	0.0014992503748125
perturbation_mixscale	4	hla_ii_apc	3.1748285874492073	3	0.0014992503748125
perturbation_mixscale	5	hla_ii_apc__mif_cd74_receptor_state	3.1748285874492073	1	0.0014992503748125
treatment_pharmacodynamic	1	apc_axis	3.0903807621810726	25	0.0019990004997501
treatment_pharmacodynamic	2	coupled_apc_axis	3.0903807621810726	7	0.0019990004997501
treatment_pharmacodynamic	3	mif_cd74_receptor_state	3.0903807621810726	7	0.0019990004997501
treatment_pharmacodynamic	4	ifn_apc__mixscale_validated_ifng_readout	3.0903807621810726	1	0.0019990004997501
treatment_pharmacodynamic	5	ifn_apc	3.0903807621810726	7	0.0019990004997501
treatment_response_tests	1	apc_axis	3.0234926937176767	10	0.0024987506246876
treatment_response_tests	2	hla_ii_apc__mif_cd74_receptor_state	3.0234926937176767	1	0.0024987506246876
treatment_response_tests	3	lysosomal_apc	3.0234926937176767	4	0.0024987506246876
treatment_response_tests	4	ifn_apc__lysosomal_apc	3.0234926937176767	1	0.0024987506246876
treatment_response_tests	5	apc_hla_ifn_monitoring	3.0234926937176767	7	0.0024987506246876
