source	gene	contexts_with_token	disease_cells_with_token	mean_cosine_shift	mean_projection_shift	mean_cosine_z_vs_random	support_contexts	strong_support_contexts	positive_projection_contexts	negative_projection_contexts	best_context	best_context_cells_with_token	best_context_cosine_z	best_context_projection_minus_random	best_context_support	best_context_strong_support	source_rank
broad_residual_delete	SEC61B	12	77	0.0003080049185275917	-0.003400613873964184	0.4989779545182109	5	5	7	5	t1d_stellate	3	1.9466551477889356	0.0752456766475612	True	True	1
broad_residual_delete	MTHFD2	9	40	0.000154050883035458	0.0036003625007449674	0.26798450384386435	3	3	5	4	sjogren_APC	3	0.8337601547880462	0.0404594157201547	True	True	2
broad_residual_delete	HIF1A	13	67	-2.428912781537103e-05	-0.006825213078767656	0.09264835815627737	5	2	7	6	t1d_ductal	6	1.3007536389385863	0.0502493332489391	True	True	3
broad_residual_delete	SEC61A1	12	49	-9.84932814844674e-05	0.001331426591301959	-0.02682966487798502	4	2	6	6	t1d_stellate	10	0.5681001248654841	0.0332845077772314	True	True	4
broad_residual_delete	TMSB10	12	76	0.00026737001856719873	-0.029129597047964723	0.5735651911117147	4	2	5	7	IBD_stromal	9	1.0902452359573904	0.052645933756139	True	True	5
candidate_delete	IFITM3	8	45	0.00018867070230044455	0.02392956963740286	0.4339603168392537	3	2	7	1	IBD_epithelial	3	1.8893004121354364	0.0616092733107506	True	True	6
broad_residual_delete	RPL17	8	39	0.0007182155859481884	0.006029057782143339	1.2297099803540263	3	2	6	2	t1d_stellate	3	0.9734422345484012	0.0287629646171504	True	True	7
candidate_delete	LIPA	2	6	0.00076300901127975	-0.0045194975100458	1.2860612190027743	2	2	2	0	sjogren_APC	3	1.3404439778691708	0.0012299867424492	True	True	8
wave15_loader_dependency_delete	LGALS3	9	37	-0.00012093953167398106	-0.02854308475636772	-0.03373468313174313	2	2	2	7	IBD_myeloid	6	0.7065284342456292	0.06823460478659	True	True	9
broad_residual_delete	TPM4	11	69	0.00010363186017705587	0.01986132977022363	0.3240390872913523	5	1	9	2	IBD_epithelial	5	1.180128863300692	0.009220145761113	True	True	10
pivot_panel_delete	CTSB	11	105	0.0001058204172956971	0.054401591928167785	0.17490140829304565	4	1	10	1	IBD_myeloid	25	0.6199037821273444	0.057262560428353	True	True	11
broad_residual_delete	DAP	10	47	-1.3323542953007632e-05	0.003414915432222201	0.09552275227020014	4	1	6	4	IBD_epithelial	3	0.7799098035364798	0.0583467521956967	True	True	12
unrestricted_survivor_delete	SNX10	7	25	-2.2794801874899992e-05	0.005847341996351529	-0.031965438409850666	4	1	5	2	t1d_acinar	3	0.5311026291562267	0.0131121930317022	True	True	13
unrestricted_survivor_delete	SDC4	11	46	-3.1386797755502226e-06	0.019426978973735246	0.0788483055859638	3	1	8	3	psoriasis_keratinocyte	4	0.6981428302282626	0.0215138252455895	True	True	14
unrestricted_survivor_delete	MMADHC	10	43	6.370984192479668e-06	0.00914256311953066	0.20665682069576308	3	1	7	3	t1d_endothelial	4	0.6336317866543429	0.0524425800986741	True	True	15
unrestricted_survivor_delete	DAP	10	55	-0.00026734560524344504	0.00913953238632529	-0.21882403108416354	3	1	6	4	t1d_endothelial	3	0.805471850924442	0.0357341697536563	True	True	16
