report	check	status	detail	field	score_values_read
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	required_field:cohort_token	FAIL	synthetic_late_metadata	cohort_token	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	required_field:route_class	FAIL	SCORED_AGGREGATE_CANONICAL_PATH	route_class	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	required_field:terms_class	FAIL	AGGREGATE_ONLY_LOCAL_PREFLIGHT	terms_class	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	required_field:safe_class	FAIL	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	safe_class	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	required_field:locked_rule_path	FAIL	docs/locked_rules/LOCKED_RULE_V22.md	locked_rule_path	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	required_field:locked_rule_sha256	FAIL	6373857789e3a538481cebe313ef041792740e4779c7bc705d86494c830e152a	locked_rule_sha256	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	cohort_token_format	PASS	synthetic_late_metadata	cohort_token	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	route_class_known	PASS	SCORED_AGGREGATE_CANONICAL_PATH	route_class	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	terms_class_known	PASS	AGGREGATE_ONLY_LOCAL_PREFLIGHT	terms_class	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	safe_class_known	PASS	ELIGIBLE_FOR_PREREGISTERED_INTERPRETATION	safe_class	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	locked_rule_path_exact	PASS	docs/locked_rules/LOCKED_RULE_V22.md	locked_rule_path	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	locked_rule_hash_matches_v45_baseline	PASS	6373857789e3a538481cebe313ef041792740e4779c7bc705d86494c830e152a	locked_rule_sha256	false
analysis/v46_report_header_metadata_linter/fixtures/metadata_after_result.md	metadata_before_result_text	FAIL	first_result_line=5	all_required_fields	false
