mode	expected_gates	observed_gates	n_expected	n_observed	status
primary	data_use_terms;checksum_manifest;intake_preflight;module_coverage_precheck;subject_map_sanity;preregistration_or_addendum;frozen_harness_handoff	data_use_terms;checksum_manifest;intake_preflight;module_coverage_precheck;subject_map_sanity;preregistration_or_addendum;frozen_harness_handoff	7	7	PASS
pharmacodynamic	data_use_terms;checksum_manifest;response_column_audit;intake_preflight;module_coverage_precheck;subject_map_sanity;preregistration_or_addendum;frozen_harness_handoff	data_use_terms;checksum_manifest;response_column_audit;intake_preflight;module_coverage_precheck;subject_map_sanity;preregistration_or_addendum;frozen_harness_handoff	8	8	PASS
postpartum	data_use_terms;checksum_manifest;intake_preflight;preregistration_or_addendum;frozen_harness_handoff	data_use_terms;checksum_manifest;intake_preflight;preregistration_or_addendum;frozen_harness_handoff	5	5	PASS
tb	data_use_terms;checksum_manifest;intake_preflight;preregistration_or_addendum;frozen_harness_handoff	data_use_terms;checksum_manifest;intake_preflight;preregistration_or_addendum;frozen_harness_handoff	5	5	PASS
