check	status	detail	score_values_read
card_exists	PASS	analysis/v46_returned_package_operator_pocket_card/RETURNED_PACKAGE_OPERATOR_POCKET_CARD.md	false
boundary_text_present	PASS	boundary_text_present	false
all_selected_commands_present	PASS	all_selected_commands_present	false
first30_scenarios_present	PASS	first30_scenarios_present	false
safe_classes_present	PASS	safe_classes_present	false
score_values_read_false	PASS	score_values_read_false	false
no_forbidden_result_language	PASS	no_forbidden_result_language	false
