seed	mode	effect	arrival	n_responders	n_nonresponders	mean_p	minimum_p	maximum_mean_e_factor
57121	exact_discrete	0.0	1	4	5	0.534057380952381	0.007936507936507936	0.9630403644622891
57121	exact_discrete	0.0	2	5	5	0.5291556746031746	0.003968253968253968	0.9695147659329894
57121	exact_discrete	0.0	3	6	6	0.5209844805194805	0.0010822510822510823	0.9778595269435636
57121	exact_discrete	0.0	4	7	7	0.5180388490675991	0.0002913752913752914	0.9824428910223253
57121	exact_discrete	0.0	5	8	8	0.5127559207459206	7.77000777000777e-05	0.9866017074816288
57121	exact_discrete	0.0	6	10	10	0.5106652639156509	1.082508822446903e-05	0.9900243010462472
57121	exact_discrete	0.0	7	4	5	0.5338503968253969	0.007936507936507936	0.9650429272735387
57121	exact_discrete	0.0	8	5	5	0.5285544444444443	0.003968253968253968	0.969452337419508
57121	exact_discrete	0.0	9	6	6	0.5228026515151516	0.0010822510822510823	0.97797111920934
57121	exact_discrete	0.0	10	7	7	0.5192245775058275	0.0002913752913752914	0.9823898056735513
57121	exact_discrete	0.0	11	8	8	0.515595484071484	7.77000777000777e-05	0.9859916780108011
57121	exact_discrete	0.0	12	10	10	0.5102892630821192	5.412544112234515e-06	0.9893110869613655
57121	exact_discrete	0.5	1	4	5	0.3414915873015873	0.007936507936507936	1.3453506958418613
57121	exact_discrete	0.5	2	5	5	0.32575126984126973	0.003968253968253968	1.55996176487067
57121	exact_discrete	0.5	3	6	6	0.3014261255411255	0.0010822510822510823	2.01791338184413
57121	exact_discrete	0.5	4	7	7	0.28131237470862475	0.0002913752913752914	2.5900845062988673
57121	exact_discrete	0.5	5	8	8	0.26333665578865567	7.77000777000777e-05	3.319504023689079
57121	exact_discrete	0.5	6	10	10	0.23296578097599	5.412544112234515e-06	5.103374807748412
57121	exact_discrete	0.5	7	4	5	0.34319317460317456	0.007936507936507936	1.3377836265307583
57121	exact_discrete	0.5	8	5	5	0.32563249999999994	0.003968253968253968	1.5577446351700686
57121	exact_discrete	0.5	9	6	6	0.3017411904761905	0.0010822510822510823	2.032868221472306
57121	exact_discrete	0.5	10	7	7	0.28131454836829833	0.0002913752913752914	2.644972188130524
57121	exact_discrete	0.5	11	8	8	0.2625112463092462	7.77000777000777e-05	3.3642266593613197
57121	exact_discrete	0.5	12	10	10	0.23230594676221616	5.412544112234515e-06	5.12069352182965
57121	exact_discrete	0.9	1	4	5	0.2164415873015873	0.007936507936507936	2.2020136859628554
57121	exact_discrete	0.9	2	5	5	0.19480388888888892	0.003968253968253968	2.8431393318810705
57121	exact_discrete	0.9	3	6	6	0.1656546212121212	0.0010822510822510823	4.418562434365647
57121	exact_discrete	0.9	4	7	7	0.1413723484848485	0.0002913752913752914	6.693405234367053
57121	exact_discrete	0.9	5	8	8	0.12198194949494948	7.77000777000777e-05	10.141200510577743
57121	exact_discrete	0.9	6	10	10	0.09339328573902878	5.412544112234515e-06	22.982752868226147
57121	exact_discrete	0.9	7	4	5	0.2165279365079365	0.007936507936507936	2.207151278851582
57121	exact_discrete	0.9	8	5	5	0.1949890873015873	0.003968253968253968	2.811181893631425
57121	exact_discrete	0.9	9	6	6	0.16392218614718618	0.0010822510822510823	4.44266800202702
57121	exact_discrete	0.9	10	7	7	0.1416219055944056	0.0002913752913752914	6.783501919599413
57121	exact_discrete	0.9	11	8	8	0.12280688655788653	7.77000777000777e-05	10.18313634437853
57121	exact_discrete	0.9	12	10	10	0.09300542650847607	5.412544112234515e-06	22.09408204898381
57121	v42_plus_one_mc	0.0	1	4	5	0.5337160233976603	0.005099490050994901	0.9639063684095224
57121	v42_plus_one_mc	0.0	2	5	5	0.5279546275372462	0.0022997700229977	0.9698025238491761
57121	v42_plus_one_mc	0.0	3	6	6	0.5216768353164684	0.00039996000399960006	0.9773347988380979
57121	v42_plus_one_mc	0.0	4	7	7	0.5175388121187882	9.999000099990002e-05	0.9822449639811026
57121	v42_plus_one_mc	0.0	5	8	8	0.5138717298270173	9.999000099990002e-05	0.9864928586896538
57121	v42_plus_one_mc	0.0	6	10	10	0.5117162873712628	9.999000099990002e-05	0.9875807203877665
57121	v42_plus_one_mc	0.0	7	4	5	0.5338430286971304	0.005599440055994401	0.9637065631573518
57121	v42_plus_one_mc	0.0	8	5	5	0.5279470432956704	0.0022997700229977	0.9710966153940686
