seed	mode	effect	n_sequences	crossing_by_6	crossing_by_12	median_first_crossing_when_crossed	final_e_q50	final_e_q90	maximum_e_q95
57121	exact_discrete	0.0	100000	0.00206	0.00325	5.0	0.17834456588881792	0.7086524825072319	3.8906815217528883
57121	exact_discrete	0.5	100000	0.14105	0.38308	8.0	7.841464167178457	198.7134784707183	798.4502326746452
57121	exact_discrete	0.9	100000	0.67788	0.96995	6.0	4467.466673625624	980536.9324532502	5620831.58018343
57121	v42_plus_one_mc	0.0	100000	0.00214	0.00349	6.0	0.17840231206225965	0.7091944250441886	3.840107447059497
57121	v42_plus_one_mc	0.5	100000	0.14086	0.3807	8.0	7.788682478884942	186.59644377915595	728.7655868553385
57121	v42_plus_one_mc	0.9	100000	0.67538	0.96944	6.0	4181.457551649137	830445.2820542686	4579123.536811315
57122	exact_discrete	0.0	100000	0.00191	0.00325	6.0	0.1781178283106722	0.6943205586214085	3.835896566029112
57122	exact_discrete	0.5	100000	0.1423	0.38441	8.0	7.922934746750102	200.35705369103488	791.7402066501788
57122	exact_discrete	0.9	100000	0.6768	0.96917	6.0	4458.126099011743	969758.9406640771	5628988.688086551
57122	v42_plus_one_mc	0.0	100000	0.00223	0.00336	5.0	0.17801592420327084	0.7004316626890311	3.753526546063825
57122	v42_plus_one_mc	0.5	100000	0.1399	0.38096	8.0	7.788879267488415	189.18142235965888	737.7163294533001
57122	v42_plus_one_mc	0.9	100000	0.67436	0.96992	6.0	4123.245031221901	781689.6733938798	4356554.246667694
57123	exact_discrete	0.0	100000	0.00235	0.00358	5.0	0.17868422323781374	0.7074714120751489	3.8906815217528883
57123	exact_discrete	0.5	100000	0.14184	0.38309	8.0	7.833088921169878	196.08292046510877	806.2339833867185
57123	exact_discrete	0.9	100000	0.67525	0.97043	6.0	4377.979881657808	969619.1902540614	5606995.150419254
57123	v42_plus_one_mc	0.0	100000	0.00249	0.00394	5.0	0.17817504692607722	0.7042495887561249	3.823380712178599
57123	v42_plus_one_mc	0.5	100000	0.14142	0.38309	8.0	7.800962229531864	192.4024779111592	769.8386552983428
57123	v42_plus_one_mc	0.9	100000	0.67426	0.96901	6.0	4217.870715999647	829663.4974015186	4545340.877074927
