feature_type	feature	n_genes_present	genes_present	contrast	n_case	n_control	mean_case	mean_control	delta_log2	hedges_g	welch_t	p	ols_beta_disease_ms	ols_p_disease_ms	ols_note	fdr
module	lipid_loader_repair	11	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK	MS_GM_vs_CON_GM	5	5	-0.3831872219108722	-0.7591172682064404	0.3759300462955682	0.8340180464321196	1.4599874237267243	0.1904112571405432	0.5241373828511021	0.001169874987034	HC3 robust SE; covariates disease, region, age, sex	0.6664393999919012
module	interferon_apc	11	STAT1,IRF1,IRF7,CXCL10,IFI30,HLA-DRA,HLA-DRB1,CD74,GBP1,ISG15,IFI44L	MS_GM_vs_CON_GM	5	5	0.0049456010652876	-0.4388022060340931	0.4437478070993808	0.6608073202126948	1.156773982462758	0.2961981251598952	0.2315705215554539	0.3000150142349508	HC3 robust SE; covariates disease, region, age, sex	0.6911289587064221
module	lysosome_antigen_processing	13	IFI30,CTSD,CTSB,CTSS,CTSL,LAMP1,LAMP2,TPP1,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74	MS_GM_vs_CON_GM	5	5	-0.3301723499840605	-0.6195979169030976	0.2894255669190371	0.3947565036890066	0.6910396403121354	0.513449306915403	0.4377934727530037	0.1098097269310172	HC3 robust SE; covariates disease, region, age, sex	0.7188290296815643
module	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	MS_GM_vs_CON_GM	5	5	-0.7799776517367943	-0.801435590320627	0.0214579385838326	0.0378772768234785	0.0663059367166765	0.9491175646375798	-0.0003218324835211	0.9988931662554624	HC3 robust SE; covariates disease, region, age, sex	0.9491175646375798
module	lipid_loader_repair	11	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK	MS_WM_vs_CON_WM	10	11	0.5225706826164437	0.0441650567656486	0.478405625850795	1.3791020820262916	3.2304509721974455	0.0052818131834522	0.5241373828511021	0.001169874987034	HC3 robust SE; covariates disease, region, age, sex	0.0191569670425492
module	lysosome_antigen_processing	13	IFI30,CTSD,CTSB,CTSS,CTSL,LAMP1,LAMP2,TPP1,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74	MS_WM_vs_CON_WM	10	11	0.4949005392550313	-0.0181958234649522	0.5130963627199836	0.9469772236498316	2.219121467324624	0.0413364743420609	0.4377934727530037	0.1098097269310172	HC3 robust SE; covariates disease, region, age, sex	0.0964517734648089
module	interferon_apc	11	STAT1,IRF1,IRF7,CXCL10,IFI30,HLA-DRA,HLA-DRB1,CD74,GBP1,ISG15,IFI44L	MS_WM_vs_CON_WM	10	11	0.2179875808269185	-0.0009629803113754	0.218950561138294	0.4583133288952779	1.097668157712212	0.2860670692208646	0.2315705215554539	0.3000150142349508	HC3 robust SE; covariates disease, region, age, sex	0.4679881110726095
module	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	MS_WM_vs_CON_WM	10	11	0.2692310482998664	0.474068702480763	-0.2048376541808966	-0.3654967365055319	-0.861052292585545	0.4011326666336653	-0.0003218324835211	0.9988931662554624	HC3 robust SE; covariates disease, region, age, sex	0.4679881110726095
module	lipid_loader_repair	11	ACSL1,APOE,GPNMB,LPL,PLIN2,CD36,LIPA,FABP5,TREM2,MSR1,MERTK	MS_all_vs_CON_all	15	16	0.2206513811073383	-0.2068606697881291	0.4275120508954675	0.7742701823580154	2.1940793706143373	0.0371968745337307	0.5241373828511021	0.001169874987034	HC3 robust SE; covariates disease, region, age, sex	0.1301890608680577
module	lysosome_antigen_processing	13	IFI30,CTSD,CTSB,CTSS,CTSL,LAMP1,LAMP2,TPP1,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,CD74	MS_all_vs_CON_all	15	16	0.2198762428420007	-0.2061339776643727	0.4260102205063734	0.6406901887015329	1.8074839819322308	0.0830843263100065	0.4377934727530037	0.1098097269310172	HC3 robust SE; covariates disease, region, age, sex	0.1938634280566818
module	interferon_apc	11	STAT1,IRF1,IRF7,CXCL10,IFI30,HLA-DRA,HLA-DRB1,CD74,GBP1,ISG15,IFI44L	MS_all_vs_CON_all	15	16	0.1469735875730416	-0.1377877383497247	0.2847613259227662	0.5364845306256226	1.52455991022576	0.1387494766374215	0.2315705215554539	0.3000150142349508	HC3 robust SE; covariates disease, region, age, sex	0.2428115841154877
module	hif_nampt_metabolic	8	HIF1A,NAMPT,LDHA,SLC2A1,NFKBIA,IL1B,HK2,PFKFB3	MS_all_vs_CON_all	15	16	-0.0805051850456871	0.0754736109803286	-0.1559787960260159	-0.1992518785831047	-0.5684899325668551	0.574128436700443	-0.0003218324835211	0.9988931662554624	HC3 robust SE; covariates disease, region, age, sex	0.6486575784540181
