seed	n_requested	effect_pattern	method	method_alpha	empirical_p_threshold	n_simulated_cohorts	n_valid_fits	valid_fit_rate	detection_count	detection_probability	detection_probability_ci_low	detection_probability_ci_high	positive_call_probability	negative_call_probability	median_events
54121	180	null	primary_linear	0.05	0.04902015633005547	3000	3000	1.0	141	0.047	0.03998876360822058	0.055169873336924746	0.02666666666666667	0.02033333333333333	49.0
54121	180	null	threshold_diagnostic	0.016666666666666666	0.015589887786997162	3000	3000	1.0	47	0.015666666666666666	0.011802189856305195	0.020769921608960556			49.0
54121	180	null	saturation_diagnostic	0.016666666666666666	0.017068759903292974	3000	3000	1.0	44	0.014666666666666666	0.010943766686006835	0.019630902476709566			49.0
54121	180	null	linear_quadratic_diagnostic	0.016666666666666666	0.010885085111793601	3000	3000	1.0	38	0.012666666666666666	0.00924242683594685	0.01733735772167086			49.0
54121	180	null	diagnostic_any	0.05	0.019397857422447904	3000	3000	1.0	118	0.03933333333333333	0.03294607272180487	0.04689883990379545			49.0
54121	180	linear	primary_linear	0.05	0.04902015633005547	3000	3000	1.0	2287	0.7623333333333333	0.7467723462282613	0.7772233511405177	0.7623333333333333	0.0	48.0
54121	180	linear	threshold_diagnostic	0.016666666666666666	0.015589887786997162	3000	3000	1.0	1221	0.407	0.38955005238236134	0.42468781348054924			48.0
54121	180	linear	saturation_diagnostic	0.016666666666666666	0.017068759903292974	3000	3000	1.0	1653	0.551	0.5331474194502683	0.5687221379797485			48.0
54121	180	linear	linear_quadratic_diagnostic	0.016666666666666666	0.010885085111793601	3000	3000	1.0	1403	0.4676666666666667	0.4498648962635153	0.4855511359540558			48.0
54121	180	linear	diagnostic_any	0.05	0.019397857422447904	3000	3000	1.0	1989	0.663	0.6458865808749804	0.6796965144405634			48.0
54121	180	high_threshold	primary_linear	0.05	0.04902015633005547	3000	3000	1.0	943	0.31433333333333335	0.29796704009411973	0.3311745057325513	0.31433333333333335	0.0	48.5
54121	180	high_threshold	threshold_diagnostic	0.016666666666666666	0.015589887786997162	3000	3000	1.0	580	0.19333333333333333	0.17959762031963797	0.20785340689856194			48.5
54121	180	high_threshold	saturation_diagnostic	0.016666666666666666	0.017068759903292974	3000	3000	1.0	523	0.17433333333333334	0.16117584758214723	0.1883237758876151			48.5
54121	180	high_threshold	linear_quadratic_diagnostic	0.016666666666666666	0.010885085111793601	3000	3000	1.0	499	0.16633333333333333	0.15343654341403168	0.18008354163533585			48.5
54121	180	high_threshold	diagnostic_any	0.05	0.019397857422447904	3000	3000	1.0	977	0.32566666666666666	0.3091296909788403	0.34264953427672334			48.5
54121	180	monotone_saturation	primary_linear	0.05	0.04902015633005547	3000	3000	1.0	2071	0.6903333333333334	0.6735538180287348	0.7066260335564911	0.6903333333333334	0.0	49.0
54121	180	monotone_saturation	threshold_diagnostic	0.016666666666666666	0.015589887786997162	3000	3000	1.0	1077	0.359	0.3420245634086391	0.3763360719319027			49.0
54121	180	monotone_saturation	saturation_diagnostic	0.016666666666666666	0.017068759903292974	3000	3000	1.0	1615	0.5383333333333333	0.520456372404711	0.556112249193014			49.0
54121	180	monotone_saturation	linear_quadratic_diagnostic	0.016666666666666666	0.010885085111793601	3000	3000	1.0	1104	0.368	0.35092183678189764	0.3854157792815884			49.0
54121	180	monotone_saturation	diagnostic_any	0.05	0.019397857422447904	3000	3000	1.0	1872	0.624	0.6065187858319867	0.6411640596841324			49.0
