method	method_alpha	n_null_cells	median_null_probability	maximum_null_probability	maximum_count	maximum_total	family_probability_maximum_at_least_observed	strict_cell_flag	strict_cell_flag_but_family_compatible	invalid_by_frozen_rule
diagnostic_any	0.05	2	0.04533333333333334	0.04588888888888889	413	9000	0.9988746935299314	False	False	False
linear_quadratic_diagnostic	0.016666666666666666	2	0.0155	0.01611111111111111	145	9000	0.8916608645106553	False	False	False
primary_linear	0.05	2	0.04677777777777778	0.048666666666666664	438	9000	0.9247764623836423	False	False	False
saturation_diagnostic	0.016666666666666666	2	0.013944444444444445	0.014222222222222223	128	9000	0.9991274918271963	False	False	False
threshold_diagnostic	0.016666666666666666	2	0.01633333333333333	0.017	153	9000	0.6560287347909833	False	False	False
