n_requested	method	nominal_alpha	n_independent_null_pvalues	empirical_p_threshold	calibration_seeds
180	diagnostic_any	0.05	9000	0.019397857422447904	64121;64133;64139
180	linear_quadratic_diagnostic	0.016666666666666666	9000	0.010885085111793601	64121;64133;64139
180	primary_linear	0.05	9000	0.04902015633005547	64121;64133;64139
180	saturation_diagnostic	0.016666666666666666	9000	0.017068759903292974	64121;64133;64139
180	threshold_diagnostic	0.016666666666666666	9000	0.015589887786997162	64121;64133;64139
320	diagnostic_any	0.05	9000	0.020709513406383884	64121;64133;64139
320	linear_quadratic_diagnostic	0.016666666666666666	9000	0.013926230472763578	64121;64133;64139
320	primary_linear	0.05	9000	0.047191082045312485	64121;64133;64139
320	saturation_diagnostic	0.016666666666666666	9000	0.015980847408615502	64121;64133;64139
320	threshold_diagnostic	0.016666666666666666	9000	0.01868941059722215	64121;64133;64139
