n_requested	effect_pattern	method	method_alpha	empirical_p_threshold	n_simulated_cohorts	n_valid_fits	valid_fit_rate	detection_count	detection_probability	detection_probability_ci_low	detection_probability_ci_high	minimum_seed_probability	maximum_seed_probability	median_events_across_seeds
180	high_threshold	diagnostic_any	0.05	0.019397857422447904	9000	9000	1.0	2934	0.326	0.31639177710899263	0.3357566959261798	0.32033333333333336	0.332	48.0
180	high_threshold	linear_quadratic_diagnostic	0.016666666666666666	0.010885085111793601	9000	9000	1.0	1463	0.16255555555555556	0.15507714567545108	0.17032190452111237	0.15566666666666668	0.16633333333333333	48.0
180	high_threshold	primary_linear	0.05	0.04902015633005547	9000	9000	1.0	2860	0.31777777777777777	0.3082377818147821	0.32747326274312516	0.31433333333333335	0.32066666666666666	48.0
180	high_threshold	saturation_diagnostic	0.016666666666666666	0.017068759903292974	9000	9000	1.0	1599	0.17766666666666667	0.16990782855976663	0.18570054964906793	0.17433333333333334	0.18133333333333335	48.0
180	high_threshold	threshold_diagnostic	0.016666666666666666	0.015589887786997162	9000	9000	1.0	1746	0.194	0.1859617582771393	0.20229934947437067	0.18433333333333332	0.20433333333333334	48.0
180	inverted_u	diagnostic_any	0.05	0.019397857422447904	9000	9000	1.0	876	0.09733333333333333	0.09138022161409227	0.10363003782362455	0.09633333333333334	0.099	49.0
180	inverted_u	linear_quadratic_diagnostic	0.016666666666666666	0.010885085111793601	9000	9000	1.0	285	0.03166666666666667	0.028243970615702763	0.035488988415747685	0.031	0.03233333333333333	49.0
180	inverted_u	primary_linear	0.05	0.04902015633005547	9000	9000	1.0	230	0.025555555555555557	0.022492163537460478	0.02902378784196855	0.023666666666666666	0.028333333333333332	49.0
180	inverted_u	saturation_diagnostic	0.016666666666666666	0.017068759903292974	9000	9000	1.0	126	0.014	0.01177169337398224	0.01664300717253358	0.011666666666666667	0.015333333333333332	49.0
180	inverted_u	threshold_diagnostic	0.016666666666666666	0.015589887786997162	9000	9000	1.0	282	0.03133333333333333	0.027929211315979474	0.035137365479906146	0.029666666666666668	0.03266666666666666	49.0
180	linear	diagnostic_any	0.05	0.019397857422447904	9000	9000	1.0	6100	0.6777777777777778	0.6680487810319221	0.6873550779359735	0.663	0.6906666666666667	48.0
180	linear	linear_quadratic_diagnostic	0.016666666666666666	0.010885085111793601	9000	9000	1.0	4305	0.47833333333333333	0.4680245609771598	0.4886605937111281	0.4676666666666667	0.48433333333333334	48.0
180	linear	primary_linear	0.05	0.04902015633005547	9000	9000	1.0	6989	0.7765555555555556	0.767832659650632	0.7850424684563004	0.7623333333333333	0.784	48.0
180	linear	saturation_diagnostic	0.016666666666666666	0.017068759903292974	9000	9000	1.0	5095	0.5661111111111111	0.5558458291156931	0.5763199809379931	0.551	0.576	48.0
180	linear	threshold_diagnostic	0.016666666666666666	0.015589887786997162	9000	9000	1.0	3790	0.4211111111111111	0.4109463581785818	0.4313431794044147	0.407	0.42833333333333334	48.0
180	monotone_saturation	diagnostic_any	0.05	0.019397857422447904	9000	9000	1.0	5665	0.6294444444444445	0.6194134527806803	0.6393649820303187	0.624	0.635	49.0
180	monotone_saturation	linear_quadratic_diagnostic	0.016666666666666666	0.010885085111793601	9000	9000	1.0	3274	0.36377777777777776	0.3538986949646132	0.373773098101237	0.3496666666666667	0.37366666666666665	49.0
180	monotone_saturation	primary_linear	0.05	0.04902015633005547	9000	9000	1.0	6184	0.6871111111111111	0.677453656103862	0.6966089054598481	0.6783333333333333	0.6926666666666667	49.0
