study_id	disease	contrast	contrast_type	feature_id	feature_label	metabolite_class	n_case	n_control	hedges_g_case_minus_control	p	fdr_within_study_contrast	ephx2_role	ephx2_family	site
ST000422	T1D	T1D_vs_control	disease_control	ME146649	12-oxo-14,18-dihydroxy-9Z,13E,15Z-octadecatrienoic acid	unclassified	70	67	0.1356585497320184	0.4270671011788153	0.6589388869200841	diol	other_pufa_epoxide_diol	14,18
ST000422	T1D	T1D_vs_control	disease_control	ME142590	5,6-DiHETrE	unclassified	30	30	0.5586822561243632	0.0325086700509367	0.5005864047698594	diol	arachidonate_eet_dhet	5,6
ST000422	T1D	T1D_vs_control	disease_control	ME142743	5,6-DiHETrE	unclassified	30	30	0.3796194152434435	0.1417475426015923	0.6589388869200841	diol	arachidonate_eet_dhet	5,6
ST000422	T1D	T1D_vs_control	disease_control	ME142553	9,13-DiHOME(11)	unclassified	30	30	0.0951149027141356	0.7103423064759057	0.7752837191891626	diol	linoleate_epome_dihome	9,13
ST000422	T1D	T1D_vs_control	disease_control	ME147411	9,13-DiHOME(11)	unclassified	75	75	0.1140138227865651	0.4839418117851016	0.6589388869200841	diol	linoleate_epome_dihome	9,13
ST000422	T1D	T1D_vs_control	disease_control	ME147097	14,15-EpETrE	unclassified	69	66	0.148538710199887	0.3880781925028735	0.6589388869200841	epoxide	arachidonate_eet_dhet	14,15
ST000422	T1D	T1D_vs_control	disease_control	ME147200	14,15-EpETrE	unclassified	66	63	0.159460414160964	0.3651108890335088	0.6589388869200841	epoxide	arachidonate_eet_dhet	14,15
ST000422	T1D	T1D_vs_control	disease_control	ME148480	15,16-EpODE	unclassified	90	89	0.2194594756747665	0.1424783138666323	0.6589388869200841	epoxide	other_pufa_epoxide_diol	15,16
ST000422	T1D	T1D_vs_control	disease_control	ME147381	11Z-Eicosaenoyl-EA	eicosanoid_oxylipin	71	66	0.1492024089531713	0.3835691998431325	0.6589388869200841	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME142562	13S-hydroxy-9E,11Z-octadecadienoic acid	unclassified	30	30	0.8780460814217742	0.0013241182011224	0.0803928907824345	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME144467	13S-hydroxy-9E,11Z-octadecadienoic acid	unclassified	60	60	0.1609027964158311	0.3769162856230365	0.6589388869200841	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME147595	20-Oxoheneicosanoic acid	eicosanoid_oxylipin	64	62	0.1643694225586059	0.3557486697456659	0.6589388869200841	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME147625	20-Oxoheneicosanoic acid	eicosanoid_oxylipin	68	67	0.1584573312071265	0.3564682104036742	0.6589388869200841	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME146922	8-Hydroxy-9,11-octadecadiynoic acid	unclassified	70	67	0.1394767506657644	0.4142189451453019	0.6589388869200841	other_oxylipin		9,11
ST000422	T1D	T1D_vs_control	disease_control	ME146970	8-Hydroxy-9,11-octadecadiynoic acid	unclassified	73	72	0.1333527359060698	0.4211867949254548	0.6589388869200841	other_oxylipin		9,11
ST000422	T1D	T1D_vs_control	disease_control	ME142719	8-Methoxy-13-hydroxy-9,11-octadecadienoic acid	unclassified	30	30	0.1853290793109745	0.4700172998038329	0.6589388869200841	other_oxylipin		9,11
ST000422	T1D	T1D_vs_control	disease_control	ME148529	9R-HOME(12E)	unclassified	90	89	0.2951112996407045	0.0492229673185654	0.6011425606433999	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME148542	9R-HOME(12E)	unclassified	90	89	0.3006078763665917	0.0452141133337049	0.5766038641058641	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME148563	9R-HOME(12E)	unclassified	90	89	0.1325619549083846	0.374553678744475	0.6589388869200841	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME148566	9R-HOME(12E)	unclassified	90	89	0.1726505114794549	0.2479226838541951	0.6589388869200841	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME148568	9R-HOME(12E)	unclassified	90	89	0.117551156330983	0.4308829506603273	0.6589388869200841	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME148570	9R-HOME(12E)	unclassified	90	89	0.1594992430227193	0.2856719150249486	0.6589388869200841	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME147269	Eicosanoyl-EA	eicosanoid_oxylipin	75	75	0.1182442857454993	0.4678982829081441	0.6589388869200841	other_oxylipin		
ST000422	T1D	T1D_vs_control	disease_control	ME147179	N-Ethyl N-(2-hydroxy-ethyl) arachidonoyl amine	unclassified	67	63	0.1552564587119432	0.37657185795222	0.6589388869200841	other_oxylipin		
