route	gene	wave81_call	ms_delta_log2	ms_p	wave71_call	wave37_screen_call	wave37_contrast_fdr
FPR2_ANXA1_BIASED_RESOLUTION	FPR2					UNRESOLVED	0.920009505703422
FPR2_ANXA1_BIASED_RESOLUTION	ANXA1					UNRESOLVED	0.920009505703422
CD300_RECEPTOR_SPECIFIC_TUNING	CD300A	NO_GO_NO_PERTURBATION_SUPPORT	-0.3453443248914674	0.0766109345414007	NO_REOPEN_INSUFFICIENT_CONVERGENCE	UNRESOLVED	0.920009505703422
CD300_RECEPTOR_SPECIFIC_TUNING	CD300C						
CD300_RECEPTOR_SPECIFIC_TUNING	CD300E					UNRESOLVED	0.9971256078463696
CD300_RECEPTOR_SPECIFIC_TUNING	CD300LF	NO_GO_NO_PERTURBATION_SUPPORT	-0.0991212524448474	0.7089814372180329	NO_REOPEN_INSUFFICIENT_CONVERGENCE	UNRESOLVED	0.9971256078463696
CD300_RECEPTOR_SPECIFIC_TUNING	CD300LG					UNRESOLVED	0.9971256078463696
