module	timepoint	score
host_ebv_up_top100	D0	-2.0132741923196265
host_ebv_up_top100	D3	1.1759212121665805
host_ebv_up_top100	D7	0.680592020951215
host_ebv_up_top100	D14	3.7744862052838926
host_ebv_up_top100	D21	3.841296397709941
host_ebv_up_top100	LCL	3.803346966335782
host_ebv_down_top100	D0	6.70257075947628
host_ebv_down_top100	D3	3.7126491384176528
host_ebv_down_top100	D7	2.555993511049962
host_ebv_down_top100	D14	-2.1725850239843254
host_ebv_down_top100	D21	-2.3000479417645026
host_ebv_down_top100	LCL	-2.468223812339709
ifn_apc_fixed	D0	7.3387504467248625
ifn_apc_fixed	D3	7.16316951873986
ifn_apc_fixed	D7	7.08773104509348
ifn_apc_fixed	D14	6.091150491054878
ifn_apc_fixed	D21	5.965181438294233
ifn_apc_fixed	LCL	6.300866159392608
