sample	module	module_score	n_present	present_genes	donor	sirna	time	stimulation	plate
S1	epithelial_chemokine_entry	0.832132564684601	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	Ctrl	0	None	2
S2	epithelial_chemokine_entry	0.9009932965443002	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	Ctrl	0	None	2
S3	epithelial_chemokine_entry	4.55755669962252	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	Ctrl	1	TNF (1)	2
S4	epithelial_chemokine_entry	4.7130418340318885	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	Ctrl	1	TNF (1) + IL17 (1)	2
S5	epithelial_chemokine_entry	3.793142019639518	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	Ctrl	6	TNF (1)	2
S6	epithelial_chemokine_entry	4.824351892498853	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	Ctrl	6	TNF (1) + IL17 (1)	2
S7	epithelial_chemokine_entry	3.4047209976049486	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	Ctrl	16	TNF (1)	2
S8	epithelial_chemokine_entry	2.109434077469055	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	Ctrl	16	TNF (1) + IL17 (1)	2
S9	epithelial_chemokine_entry	0.7162776129416681	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	CUX1	0	None	2
S10	epithelial_chemokine_entry	0.590215533294951	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	CUX1	0	None	2
S11	epithelial_chemokine_entry	4.016918928595387	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	CUX1	1	TNF (1)	2
S12	epithelial_chemokine_entry	4.150100466040371	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	CUX1	1	TNF (1) + IL17 (1)	2
S13	epithelial_chemokine_entry	3.1284768559185805	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	CUX1	6	TNF (1)	2
S14	epithelial_chemokine_entry	3.7725943276530343	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	CUX1	6	TNF (1) + IL17 (1)	2
S15	epithelial_chemokine_entry	3.1176275371717614	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	CUX1	16	TNF (1)	2
S16	epithelial_chemokine_entry	4.503648058245349	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	CUX1	16	TNF (1) + IL17 (1)	2
S17	epithelial_chemokine_entry	0.6483982840342792	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	LIFR	0	None	2
S18	epithelial_chemokine_entry	0.5282151884874866	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	LIFR	0	None	2
S19	epithelial_chemokine_entry	4.052762726606398	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	LIFR	1	TNF (1)	2
S20	epithelial_chemokine_entry	4.310939999205635	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	LIFR	1	TNF (1) + IL17 (1)	2
S21	epithelial_chemokine_entry	3.508109696887044	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	LIFR	6	TNF (1)	2
S22	epithelial_chemokine_entry	4.397541413060344	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	LIFR	6	TNF (1) + IL17 (1)	2
S23	epithelial_chemokine_entry	3.498393424675065	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	LIFR	16	TNF (1)	2
S24	epithelial_chemokine_entry	4.213270151823635	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	LIFR	16	TNF (1) + IL17 (1)	2
S25	epithelial_chemokine_entry	0.5958554660050049	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	ELF3	0	None	2
S26	epithelial_chemokine_entry	0.9452972419606303	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	ELF3	0	None	2
S27	epithelial_chemokine_entry	4.446383182477094	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	ELF3	1	TNF (1)	2
S28	epithelial_chemokine_entry	4.291994959221936	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	ELF3	1	TNF (1) + IL17 (1)	2
S29	epithelial_chemokine_entry	4.074967511149756	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	ELF3	6	TNF (1)	2
S30	epithelial_chemokine_entry	4.47143083312818	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	ELF3	6	TNF (1) + IL17 (1)	2
S31	epithelial_chemokine_entry	3.4737017399945613	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	ELF3	16	TNF (1)	2
S32	epithelial_chemokine_entry	5.186632455527993	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	ELF3	16	TNF (1) + IL17 (1)	2
S33	epithelial_chemokine_entry	0.4109774628592012	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT3	0	None	2
S34	epithelial_chemokine_entry	0.4671440629138073	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT3	0	None	2
S35	epithelial_chemokine_entry	3.853237809522618	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT3	1	TNF (1)	2
S36	epithelial_chemokine_entry	3.89586181068422	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT3	1	TNF (1) + IL17 (1)	2
S37	epithelial_chemokine_entry	3.7077757772403666	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT3	6	TNF (1)	2
S38	epithelial_chemokine_entry	4.400571590433461	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT3	6	TNF (1) + IL17 (1)	2
S39	epithelial_chemokine_entry	3.451351574151972	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT3	16	TNF (1)	2
S40	epithelial_chemokine_entry	4.775332835702974	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT3	16	TNF (1) + IL17 (1)	2
S41	epithelial_chemokine_entry	0.7355032164921058	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT4	0	None	2
S42	epithelial_chemokine_entry	0.5584483337444885	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT4	0	None	2
S43	epithelial_chemokine_entry	3.982066646871999	10	CXCL1;CXCL2;CXCL3;CXCL5;CXCL8;CCL20;ICAM1;SELE;SAA1;SAA2	RA5	STAT4	1	TNF (1)	2
