gene	modules	call	biomarker_candidate	target_nomination_allowed	target_closed_or_prior	cross_system	ibd_fdr_contexts_ge2	ra_fdr10	predictive_auc_ge_0_75	effect_abs_g_ge_1	ms_context_trend	weighted_mean_hedges_g_responder_minus_non	median_auc_high_score_nonresponse	fdr10_nonresponse_contexts	fdr_ra	ra_replication_call	cross_system_call	ms_delta_log2	ms_p	wave122_call
IL1B	inflammatory_nfkb	BIOMARKER_STRATIFICATION_CANDIDATE_NOT_TARGET	True	False	True	True	True	True	True	True	False	-1.6949960469299326	0.8973958333333334	3	0.0994664460131101	RA_BASELINE_DIRECTIONAL_REPLICATION	PARK_CROSS_SYSTEM_ANTITNF_RESISTANCE_GENE			
LAMP3	lysosomal_apc	BIOMARKER_STRATIFICATION_CANDIDATE_NOT_TARGET	True	False	True	True	True	True	True	True	False	-1.0965849531171696	0.7588541666666666	2	0.0261359588811498	RA_BASELINE_DIRECTIONAL_REPLICATION	PARK_CROSS_SYSTEM_ANTITNF_RESISTANCE_GENE			
TREM1	inflammatory_nfkb	NO_STRATIFICATION_SALVAGE	False	False	True	False	True	True	True	True	False	-1.6287105832711166	0.8826264880952381	3	0.0994664460131101	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.1491506549885279	0.7752316091249384	NO_GO_FRESH_SCAN
LAMP2	lysosomal_apc	NO_STRATIFICATION_SALVAGE	False	False	False	False	True	True	True	True	False	-1.0678931204417523	0.8350074404761905	3	0.0263830925992527	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.1348382785283046	0.2874373653306042	NO_GO_FRESH_SCAN
CD44	mif_cd74_receptor_state	NO_STRATIFICATION_SALVAGE	False	False	True	False	True	True	True	True	False	-1.3047727761355623	0.7994791666666667	3	0.0261359588811498	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE			
CCL2	inflammatory_nfkb	NO_STRATIFICATION_SALVAGE	False	False	True	False	True	True	True	True	False	-1.4102593044201093	0.825	2	0.0417457927972421	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.0490525604706171	0.90646856397048	NO_GO_FRESH_SCAN
NFKBIA	inflammatory_nfkb	NO_STRATIFICATION_SALVAGE	False	False	False	False	False	True	False	False	False	-0.6614932551524805	0.66875	1	0.0263830925992527	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.2903271300158536	0.3094393661733699	NO_GO_FRESH_SCAN
CTSB	lysosomal_apc	NO_STRATIFICATION_SALVAGE	False	False	True	False	False	True	False	False	False	-0.7231919653792506	0.6583333333333333	1	0.0994664460131101	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	-0.0599954640789519	0.8140537383462653	NO_GO_FRESH_SCAN
STAT1	ifn_apc	NO_STRATIFICATION_SALVAGE	False	False	False	False	False	True	False	False	False	-0.6551686375677531	0.64453125	1	0.0417457927972421	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	0.5378996098681981	0.1363451431707629	NO_GO_FRESH_SCAN
CXCL8	inflammatory_nfkb	NO_STRATIFICATION_SALVAGE	False	False	False	False	True	False	True	True	False	-1.7015926386898363	0.8848958333333333	3	0.602993554573609	RA_BASELINE_SAME_DIRECTION_WEAK	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	-0.0879956974423397	0.8090528791592078	NO_GO_FRESH_SCAN
CCL4	inflammatory_nfkb	NO_STRATIFICATION_SALVAGE	False	False	False	False	True	False	True	True	False	-1.533330874218231	0.8694010416666667	3		NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE	-0.0981219137349036	0.8114413599753555	NO_GO_FRESH_SCAN
