J10135	J10137	J10138	J10139	J10140	J10141	J10143	J10147	J10148	J10150	J10152	J10155	J10156	J10159	J10162	J10164	J10165	J10166	J10167	J10168	J10171	J10172	J10173	J10174	J10175	J10180	J10181	J10183	J10184	J10185	J10187	J10193	J10194	J10196	J10197	J10200	J10203	J10204	J10208	J10209	J10213	J10214	J10215	J10217	J10218	J10219	J10220	J10224	J10226	J10228	J10232	J10234	J10235	J10238	I02255	I02256	I02258	I02260	I02263	I02269	I02272	I02275	I02276	I02277	I02278	I02279	I02280	I02283	I02284	I02286	I02287	I02288	I02290	I02291	I02292	I02293	I02294	I02296	I02297	I02298	I02300	I02301	I02302	I02303	J03062	J03063	J03065	J03066	J03067	J03069	J03070	J03071	J03072	J03073	J03075	J03077	J03078	J03079	J03080	J03081	J03083	J03084	J03087	J03089	J03090	J03091	J03092	J03093	J03094	J03095	J03097	J03099	J03100	J03102	J03103	J03106	J03107	J03108	J03110	J03112	J03113	J03114	J03115	J03117	J03118	J03121	I06617	I06618	I06619	I06620	I17272	I17275	I17276	I17277	I17280	I17281	I17282	I17285	I17286	I17288	I17289	I21313	J06237	J06238	J06239	J10262	J10263	J10264	J10265	feature_id
185	200	5	0	734	99	0	21	367	24	1010	364	37	887	62	902	28	0	128	689	881	49	106	901	558	712	146	821	74	0	165	369	13	431	98	898	127	424	135	9	0	904	91	0	24	767	510	272	217	308	6	1087	1407	119	0	257	51	651	90	0	737	545	0	0	0	331	757	604	601	0	0	127	8	1692	0	0	623	1260	0	376	1056	594	0	7	1540	0	10	0	33	2129	0	1407	8	1348	0	0	161	749	645	1287	696	1625	0	0	1181	0	25	18	0	1240	0	1796	359	13	0	1866	1795	65	1375	3127	0	0	258	0	1713	0	0	0	2639	1333	0	305	655	901	0	0	0	0	2193	0	507	978	21	1282	0	0	700	0	0	ASV2
32	0	127	0	376	109	750	64	960	47	0	632	155	42	0	546	937	0	537	292	303	346	174	0	45	0	509	0	69	0	3817	487	0	991	967	1785	144	246	1188	0	1165	1230	307	0	329	124	42	224	324	1866	151	231	62	409	260	695	383	1709	0	527	205	117	228	44	9	209	752	128	849	1185	575	251	0	646	1895	0	702	1621	1994	128	810	143	1962	714	1212	292	499	0	294	2122	0	2075	281	1910	0	0	0	621	655	93	419	82	0	0	78	855	53	248	153	1330	0	973	1577	354	2886	2533	955	1823	189	0	395	1108	0	0	2081	302	1303	145	2151	4667	1202	50	452	523	0	254	0	0	2508	696	210	1944	505	1251	0	1124	154	0	400	ASV3
116	291	0	863	377	21	8	140	31	46	246	349	291	47	369	192	9	0	139	91	844	74	1253	145	40	417	24	385	0	190	224	96	1486	300	73	0	255	208	667	18	1215	0	296	54	112	0	688	196	206	661	28	1530	727	184	0	473	0	93	642	0	540	195	102	0	0	0	0	19	42	640	0	0	7	566	0	0	562	887	0	77	852	0	0	0	1591	393	0	0	225	336	5885	1033	0	527	1788	1671	210	843	1246	1245	422	934	3193	302	454	0	844	123	180	1182	3393	2002	39	0	0	1836	1360	5142	617	3542	942	0	1398	3273	607	0	608	302	551	733	403	396	512	0	0	233	948	0	769	48	569	1789	323	195	0	597	798	2222	0	ASV4
0	1093	15	119	72	155	324	181	1143	84	823	33	177	0	0	0	1681	694	65	0	244	407	37	0	6	0	0	0	175	0	782	54	0	49	142	1668	0	54	9	1038	0	1019	125	0	370	1707	0	0	540	0	663	48	155	1031	1184	0	2157	437	7	1679	0	11	434	209	0	0	162	106	1027	555	3668	0	0	0	3745	0	0	6	1726	146	1820	108	1648	856	0	0	2765	985	730	697	0	0	2574	1113	0	0	0	420	4107	0	467	0	0	0	1869	156	90	1008	1616	2012	0	504	1733	1098	5423	0	0	691	0	3880	332	712	510	0	1667	680	779	61	2570	536	736	0	149	58	1262	1206	0	1132	1050	137	0	0	851	270	2405	0	0	0	99	ASV6
91	0	0	864	112	0	401	103	1101	0	1834	0	0	850	362	0	0	0	0	0	0	117	115	210	0	0	0	0	0	0	0	53	0	493	0	0	0	0	266	11	0	0	54	0	0	0	624	202	0	0	767	381	144	0	439	257	0	0	13	0	72	0	630	0	0	63	0	42	0	0	0	81	0	116	0	0	0	0	0	0	0	0	0	561	0	0	0	0	0	0	0	0	0	0	1079	0	22	620	0	0	522	75	0	810	37	0	1100	0	433	0	0	0	0	0	0	1184	265	0	90	43	86	0	12	0	0	0	0	0	0	0	0	0	0	0	0	644	0	0	0	0	0	0	0	0	0	0	91	0	0	ASV8
0	4648	176	1591	206	0	0	333	0	373	17	20	8	525	0	152	201	0	1615	0	0	0	120	979	545	0	0	0	0	0	0	0	0	0	0	0	142	337	735	0	105	0	0	217	0	0	0	0	0	1268	0	379	7	0	31	56	5	30	0	0	19	0	0	0	0	0	0	0	31	0	34	0	285	0	477	2487	912	1099	79	0	0	0	377	88	0	0	0	1703	0	205	68	0	0	0	0	423	0	585	518	277	701	57	0	0	0	57	0	16	0	0	720	0	0	0	89	444	0	70	0	0	0	42	0	0	0	0	0	0	0	88	0	20	0	0	370	0	0	530	235	71	0	0	44	0	772	0	13	203	0	ASV10
0	18	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	116	0	0	0	0	0	0	0	9	0	ASV11
14	70	3484	0	94	715	193	358	0	196	0	613	325	26	0	0	0	0	710	0	88	0	161	0	24	0	407	0	12	0	0	288	625	0	198	0	0	0	107	0	0	0	0	565	42	0	266	667	1052	0	348	0	72	0	0	0	9	27	0	0	28	0	0	0	0	270	0	0	590	0	2089	162	873	0	0	0	0	0	8	0	284	0	0	0	38	38	214	0	1294	524	75	0	109	230	86	958	0	60	1893	27	0	0	0	66	101	9	0	628	22	78	280	314	1263	0	6	55	0	0	339	6593	0	0	223	0	51	0	0	0	0	0	0	0	0	29	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	ASV12
0	8	0	0	515	0	264	0	0	34	0	0	0	0	0	0	0	0	0	0	519	103	353	50	7	0	71	367	0	35	28	0	0	125	0	971	0	0	986	0	2665	0	96	0	0	0	0	27	0	0	0	47	146	0	0	0	0	0	138	0	0	15	0	0	0	0	726	0	0	468	0	0	436	561	0	655	334	540	0	0	0	411	0	0	744	0	2616	5243	732	0	0	345	1696	9	549	0	0	41	913	325	76	501	1874	697	0	264	359	2175	0	309	0	1686	0	1248	0	0	448	0	0	0	0	619	561	689	0	573	433	0	0	0	167	113	314	358	1994	0	581	2752	0	178	297	1307	650	3752	4373	0	132	0	69	ASV13
0	0	46	0	124	314	489	479	0	98	0	995	406	30	0	0	32	0	2229	0	24	0	0	0	0	0	1366	0	0	0	159	107	2173	0	60	0	0	0	542	112	0	0	0	2190	176	0	66	0	32	0	442	0	193	20	0	0	31	0	21	529	47	0	0	0	0	780	0	0	0	20	18	421	902	0	0	0	0	0	27	0	0	124	0	0	0	70	164	0	5595	241	401	0	304	49	0	4850	0	0	730	0	0	5	0	0	81	0	179	2137	17	251	1797	543	20	0	0	0	0	0	0	6407	0	0	5611	0	66	0	32	0	0	0	75	13	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	1352	0	ASV15
