I02255	I02256	I02258	I02260	I02263	I02269	I02272	I02275	I02276	I02277	I02278	I02279	I02280	I02283	I02284	I02286	I02287	I02288	I02290	I02291	I02292	I02293	I02294	I02296	I02297	I02298	I02300	I02301	I02302	I02303	J03062	J03063	J03065	J03066	J03067	J03069	J03070	J03071	J03072	J03073	J03075	J03077	J03078	J03079	J03080	J03081	J03083	J03084	J03087	J03089	J03090	J03091	J03092	J03093	J03094	J03095	J03097	J03099	J03100	J03102	J03103	J03106	J03107	J03108	J03110	J03112	J03113	J03114	J03115	J03117	J03118	J03121	I06617	I06618	I06619	I06620	I17272	I17275	I17276	I17277	I17280	I17281	I17282	I17285	I17286	I17288	I17289	I21313	J06237	J06238	J06239	J10262	J10263	J10264	J10265	feature_id
1184	0	2157	437	7	1679	0	11	434	209	0	0	162	106	1027	555	3668	0	0	0	3745	0	0	6	1726	146	1820	108	1648	856	0	0	2765	985	730	697	0	0	2574	1113	0	0	0	420	4107	0	467	0	0	0	1869	156	90	1008	1616	2012	0	504	1733	1098	5423	0	0	691	0	3880	332	712	510	0	1667	680	779	61	2570	536	736	0	149	58	1262	1206	0	1132	1050	137	0	0	851	270	2405	0	0	0	99	ASV4
0	473	0	93	642	0	540	195	102	0	0	0	0	19	42	640	0	0	7	566	0	0	562	887	0	77	852	0	0	0	1591	393	0	0	225	336	5885	1033	0	527	1788	1671	210	843	1246	1245	422	934	3193	302	454	0	844	123	180	1182	3393	2002	39	0	0	1836	1360	5142	617	3542	942	0	1398	3273	607	0	608	302	551	733	403	396	512	0	0	233	948	0	769	48	569	1789	323	195	0	597	798	2222	0	ASV5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	320	0	0	0	0	24	0	0	271	0	10	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	15	ASV6
260	695	383	1709	0	527	205	117	228	44	9	209	752	128	849	1185	575	251	0	646	1895	0	702	1621	1994	128	810	143	1962	714	1212	292	499	0	294	2122	0	2075	281	1910	0	0	0	621	655	93	419	82	0	0	78	855	53	248	153	1330	0	973	1577	354	2886	2533	955	1823	189	0	395	1108	0	0	2081	302	1303	145	2151	4667	1202	50	452	523	0	254	0	0	2508	696	210	1944	505	1251	0	1124	154	0	400	ASV7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	11	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	116	0	0	0	0	0	0	0	9	0	ASV8
0	0	0	0	138	0	0	15	0	0	0	0	726	0	0	468	0	0	436	561	0	655	334	540	0	0	0	411	0	0	744	0	2616	5243	732	0	0	345	1696	9	549	0	0	41	913	325	76	501	1874	697	0	264	359	2175	0	309	0	1686	0	1248	0	0	448	0	0	0	0	619	561	689	0	573	433	0	0	0	167	113	314	358	1994	0	581	2752	0	178	297	1307	650	3752	4373	0	132	0	69	ASV9
0	257	51	651	90	0	737	545	0	0	0	331	757	604	601	0	0	127	8	1692	0	0	623	1260	0	376	1056	594	0	7	1540	0	10	0	33	2129	0	1407	8	1348	0	0	161	749	645	1287	696	1625	0	0	1181	0	25	18	0	1240	0	1796	359	13	0	1866	1795	65	1375	3127	0	0	258	0	1713	0	0	0	2639	1333	0	305	655	901	0	0	0	0	2193	0	507	978	21	1282	0	0	700	0	0	ASV11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	0	0	0	0	0	0	0	0	16	0	36	0	0	14	0	47	0	0	62	0	0	0	0	0	9	0	545	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	ASV12
0	0	31	0	21	529	47	0	0	0	0	780	0	0	0	20	18	421	902	0	0	0	0	0	27	0	0	124	0	0	0	70	164	0	5595	241	401	0	304	49	0	4850	0	0	730	0	0	5	0	0	81	0	179	2137	17	251	1797	543	20	0	0	0	0	0	0	6407	0	0	5611	0	66	0	32	0	0	0	75	13	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	1352	0	ASV14
386	32	0	0	0	151	19	0	323	287	481	48	0	209	0	682	635	34	0	3	398	0	0	5	367	78	0	0	860	0	0	1716	163	187	1297	0	63	2256	661	48	1847	796	20	169	0	0	85	0	444	2421	0	675	5648	1968	1284	0	1413	0	0	649	609	495	17	0	18	0	663	726	16	340	0	383	772	230	0	0	460	0	0	0	76	101	144	12	0	0	0	0	663	0	101	599	0	1403	321	ASV16
