subset	feature	n	responders	nonresponders	oriented_auc	exact_p
all_patients	locked_signed_score	9	5	4	0.95	0.031746031746031744
all_patients	delta_IFN_APC	9	5	4	0.95	0.031746031746031744
all_patients	delta_STAT1	9	5	4	1.0	0.015873015873015872
all_patients	delta_IRF1	9	5	4	0.9	0.06349206349206349
all_patients	delta_GBP1	9	5	4	0.85	0.1111111111111111
all_patients	delta_ISG15	9	5	4	0.85	0.1111111111111111
w8_only	locked_signed_score	8	4	4	0.9375	0.05714285714285714
w8_only	delta_IFN_APC	8	4	4	0.9375	0.05714285714285714
w8_only	delta_STAT1	8	4	4	1.0	0.02857142857142857
w8_only	delta_IRF1	8	4	4	0.875	0.11428571428571428
w8_only	delta_GBP1	8	4	4	0.8125	0.2
w8_only	delta_ISG15	8	4	4	0.8125	0.2
exclude_tof_009_w48	locked_signed_score	8	4	4	0.9375	0.05714285714285714
exclude_tof_009_w48	delta_IFN_APC	8	4	4	0.9375	0.05714285714285714
exclude_tof_009_w48	delta_STAT1	8	4	4	1.0	0.02857142857142857
exclude_tof_009_w48	delta_IRF1	8	4	4	0.875	0.11428571428571428
exclude_tof_009_w48	delta_GBP1	8	4	4	0.8125	0.2
exclude_tof_009_w48	delta_ISG15	8	4	4	0.8125	0.2
exclude_TOF_005	locked_signed_score	8	5	3	0.9333333333333333	0.07142857142857142
exclude_TOF_005	delta_IFN_APC	8	5	3	0.9333333333333333	0.07142857142857142
exclude_TOF_005	delta_STAT1	8	5	3	1.0	0.03571428571428571
exclude_TOF_009	locked_signed_score	8	4	4	0.9375	0.05714285714285714
exclude_TOF_009	delta_IFN_APC	8	4	4	0.9375	0.05714285714285714
exclude_TOF_009	delta_STAT1	8	4	4	1.0	0.02857142857142857
exclude_TOF_011	locked_signed_score	8	4	4	0.9375	0.05714285714285714
exclude_TOF_011	delta_IFN_APC	8	4	4	0.9375	0.05714285714285714
exclude_TOF_011	delta_STAT1	8	4	4	1.0	0.02857142857142857
exclude_TOF_012	locked_signed_score	8	4	4	0.9375	0.05714285714285714
exclude_TOF_012	delta_IFN_APC	8	4	4	0.9375	0.05714285714285714
exclude_TOF_012	delta_STAT1	8	4	4	1.0	0.02857142857142857
exclude_TOF_013	locked_signed_score	8	5	3	0.9333333333333333	0.07142857142857142
exclude_TOF_013	delta_IFN_APC	8	5	3	0.9333333333333333	0.07142857142857142
exclude_TOF_013	delta_STAT1	8	5	3	1.0	0.03571428571428571
exclude_TOF_015	locked_signed_score	8	4	4	1.0	0.02857142857142857
exclude_TOF_015	delta_IFN_APC	8	4	4	1.0	0.02857142857142857
exclude_TOF_015	delta_STAT1	8	4	4	1.0	0.02857142857142857
exclude_TOF_016	locked_signed_score	8	5	3	0.9333333333333333	0.07142857142857142
exclude_TOF_016	delta_IFN_APC	8	5	3	0.9333333333333333	0.07142857142857142
exclude_TOF_016	delta_STAT1	8	5	3	1.0	0.03571428571428571
exclude_TOF_019	locked_signed_score	8	5	3	1.0	0.03571428571428571
exclude_TOF_019	delta_IFN_APC	8	5	3	1.0	0.03571428571428571
exclude_TOF_019	delta_STAT1	8	5	3	1.0	0.03571428571428571
exclude_TOF_023	locked_signed_score	8	4	4	0.9375	0.05714285714285714
exclude_TOF_023	delta_IFN_APC	8	4	4	0.9375	0.05714285714285714
exclude_TOF_023	delta_STAT1	8	4	4	1.0	0.02857142857142857
