source	target	relation	evidence
doc:docs/validation/ANALYZABLE_PAIR_CONFIDENCE_ENVELOPE_V46.md	handoff_artifact:analyzable_pair_confidence_envelope	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/COLD_START_OPERATOR_SEQUENCE_V45.md	handoff_artifact:cold_start_operator_sequence	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/CURRENT_ACTION_CARD_V45.md	handoff_artifact:current_action_card	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/FIRST30_REPAIR_TEMPLATE_COVERAGE_LINTER_V46.md	handoff_artifact:first30_repair_template_coverage	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/FIRST30_RETURNED_PACKAGE_DECISION_TABLE_V46.md	handoff_artifact:first30_decision_table	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/FIRST30_RETURNED_PACKAGE_STATUS_BOARD_DRYRUN_V46.md	handoff_artifact:first30_status_board	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/PACKAGE_MANIFEST_SHAPE_CLASSIFIER_V46.md	handoff_artifact:package_manifest_shape_classifier	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/PARTIAL_LABEL_REPAIR_PRIORITIZATION_V46.md	handoff_artifact:partial_label_repair_prioritization	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RECEIPT_MANIFEST_SCHEMA_LINTER_V46.md	handoff_artifact:receipt_manifest_schema_linter	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RESULT_REPORT_SAFE_CLASS_LINTER_V46.md	handoff_artifact:result_report_safe_class_linter	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RETURNED_PACKAGE_COMMAND_ORDER_PLANNER_V46.md	handoff_artifact:command_order_planner	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RETURNED_PACKAGE_DEPENDENCY_GRAPH_V46.md	handoff_artifact:returned_package_dependency_graph	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RETURNED_PACKAGE_DOC_CROSSLINK_LINTER_V46.md	handoff_artifact:returned_package_doc_crosslink_linter	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RETURNED_PACKAGE_PREFLIGHT_DRYRUN_V46.md	handoff_artifact:returned_package_preflight_dryrun	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RETURNED_PACKAGE_SAFE_INTERPRETATION_V46.md	handoff_artifact:safe_interpretation_classifier	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RETURNED_PACKAGE_STATE_TRANSITION_VALIDATOR_V46.md	handoff_artifact:state_transition_validator	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RETURNED_PACKAGE_STATUS_BOARD_SCHEMA_LINTER_V46.md	handoff_artifact:status_board_schema_linter	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/RETURN_REPAIR_REQUEST_TEMPLATES_V46.md	handoff_artifact:repair_request_templates	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
doc:docs/validation/SMALL_N_CONCLUSION_LANGUAGE_V46.md	handoff_artifact:small_n_language	documented_by	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:analyzable_pair_confidence_envelope	handoff_artifact:repair_request_templates	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:analyzable_pair_confidence_envelope	output:analysis/v46_analyzable_pair_confidence_envelope/analyzable_pair_confidence_envelope_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:cold_start_operator_sequence	handoff_artifact:receipt_manifest_schema_linter	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:cold_start_operator_sequence	output:analysis/v45_cold_start_operator_sequence/cold_start_operator_sequence_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:command_order_planner	handoff_artifact:state_transition_validator	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:command_order_planner	output:analysis/v46_returned_package_command_order_planner/returned_package_command_order_synthetic_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:current_action_card	handoff_artifact:cold_start_operator_sequence	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:current_action_card	output:analysis/v45_current_action_card/current_action_card_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:first30_decision_table	handoff_artifact:first30_status_board	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:first30_decision_table	output:analysis/v46_first30_returned_package_decision_table/first30_returned_package_decision_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:first30_repair_template_coverage	handoff_artifact:result_report_safe_class_linter	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:first30_repair_template_coverage	output:analysis/v46_first30_repair_template_coverage_linter/first30_repair_template_coverage_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:first30_status_board	handoff_artifact:status_board_schema_linter	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:first30_status_board	output:analysis/v46_first30_returned_package_status_board_dryrun/first30_status_board_dryrun_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:package_manifest_shape_classifier	handoff_artifact:first30_decision_table	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:package_manifest_shape_classifier	output:analysis/v46_package_manifest_shape_classifier/package_manifest_shape_synthetic_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:partial_label_repair_prioritization	handoff_artifact:first30_repair_template_coverage	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:partial_label_repair_prioritization	output:analysis/v46_partial_label_repair_prioritization/partial_label_repair_prioritization_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:receipt_manifest_schema_linter	handoff_artifact:package_manifest_shape_classifier	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:receipt_manifest_schema_linter	output:analysis/v46_receipt_manifest_schema_linter/receipt_manifest_schema_synthetic_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:repair_request_templates	handoff_artifact:partial_label_repair_prioritization	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:repair_request_templates	output:analysis/v46_return_repair_request_templates/return_repair_request_templates_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:result_report_safe_class_linter	handoff_artifact:returned_package_doc_crosslink_linter	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:result_report_safe_class_linter	output:analysis/v46_result_report_safe_class_linter/result_report_safe_class_synthetic_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:returned_package_dependency_graph	output:analysis/v46_returned_package_dependency_graph/returned_package_dependency_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:returned_package_doc_crosslink_linter	handoff_artifact:returned_package_dependency_graph	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:returned_package_doc_crosslink_linter	output:analysis/v46_returned_package_doc_crosslink_linter/returned_package_doc_crosslink_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:returned_package_preflight_dryrun	handoff_artifact:command_order_planner	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:returned_package_preflight_dryrun	output:analysis/v46_returned_package_preflight_dryrun/returned_package_preflight_dryrun_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:safe_interpretation_classifier	handoff_artifact:small_n_language	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:safe_interpretation_classifier	output:analysis/v46_returned_package_safe_interpretation/safe_interpretation_synthetic_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:small_n_language	handoff_artifact:analyzable_pair_confidence_envelope	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:small_n_language	output:analysis/v46_small_n_conclusion_language/small_n_conclusion_language_summary.json	emits	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
handoff_artifact:state_transition_validator	handoff_artifact:safe_interpretation_classifier	operator_sequence_next	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv
