analysis	gene	group	n_cells	mean_log_norm	detection_fraction
ibd_crohn_epithelial	TAP2	control	6713	0.09146859328449429	0.09638015790257709
ibd_crohn_epithelial	TNF	case	4701	0.009069051980920024	0.006381620931716656
ibd_crohn_epithelial	TNF	control	6713	0.008046420327580515	0.004468940861015939
ibd_crohn_epithelial	TREM1	case	4701	0.002034279091668562	0.0010636034886194426
ibd_crohn_epithelial	TREM1	control	6713	0.0	0.0
ibd_crohn_epithelial	TREM2	case	4701	0.0	0.0
ibd_crohn_epithelial	TREM2	control	6713	0.0	0.0
ibd_uc_epithelial	ACSL1	case	933	0.0214291427771165	0.021436227224008574
ibd_uc_epithelial	ACSL1	control	6713	0.01698137791948034	0.02145091613287651
ibd_uc_epithelial	APOE	case	933	0.006901152412260897	0.004287245444801715
ibd_uc_epithelial	APOE	control	6713	0.0019739539959371904	0.0013406822583047818
ibd_uc_epithelial	B2M	case	933	2.9495776318386646	0.8788853161843515
ibd_uc_epithelial	B2M	control	6713	2.767191588413641	0.8614628333085059
ibd_uc_epithelial	C1QA	case	933	0.0	0.0
ibd_uc_epithelial	C1QA	control	6713	0.0	0.0
ibd_uc_epithelial	C1QB	case	933	0.009639178816079499	0.00857449088960343
ibd_uc_epithelial	C1QB	control	6713	0.007797360041386028	0.005958587814687919
ibd_uc_epithelial	C1QC	case	933	0.0029380890226869973	0.0021436227224008574
ibd_uc_epithelial	C1QC	control	6713	0.0032782712000751445	0.0028303292119767616
