n_per_arm	module_correlation	max_t_critical	null_fwer_mean	null_fwer_min	null_fwer_max
8	0.0	3.601905083519502	0.0496	0.0493	0.05
8	0.5	3.514404826404406	0.049683333333333336	0.0494	0.05
8	0.8	3.3228582654448977	0.0516	0.0508	0.053
10	0.0	3.4403782693351164	0.050749999999999997	0.0497	0.0527
10	0.5	3.3737190218633586	0.0466	0.0463	0.04675
10	0.8	3.1501988380330035	0.050783333333333326	0.0505	0.0513
15	0.0	3.2733755075028683	0.050383333333333336	0.04915	0.052
15	0.5	3.1754768115844874	0.04811666666666667	0.04685	0.04885
15	0.8	2.9581068061732325	0.05073333333333333	0.04955	0.05235
20	0.0	3.188530700499483	0.050016666666666675	0.04995	0.05005
20	0.5	3.0871406697937416	0.04981666666666667	0.0482	0.0511
20	0.8	2.882984152449349	0.04986666666666667	0.04905	0.05035
30	0.0	3.1076347682714984	0.05071666666666667	0.04825	0.05335
30	0.5	3.0129233660136934	0.048683333333333335	0.04775	0.05035
30	0.8	2.790837807420565	0.049016666666666674	0.0476	0.05035
40	0.0	3.0851137568977367	0.049999999999999996	0.0477	0.05385
40	0.5	2.9762529977209233	0.050133333333333335	0.04785	0.05245
40	0.8	2.747512126581935	0.05011666666666667	0.0494	0.05145
