n_participants	module_correlation	max_t_critical	null_fwer_mean	null_fwer_min	null_fwer_max
8	0.0	4.49583323063345	0.04998333333333333	0.0494	0.05045
8	0.5	4.405339440913916	0.050550000000000005	0.04885	0.0522
8	0.8	4.270306426394137	0.049716666666666666	0.04775	0.0519
10	0.0	4.057481286097267	0.0491	0.0468	0.05025
10	0.5	3.9900141121376915	0.04903333333333334	0.0477	0.0497
10	0.8	3.807213731985914	0.051133333333333336	0.05025	0.05175
15	0.0	3.6076003154871175	0.05096666666666667	0.0506	0.0516
15	0.5	3.5165700998360125	0.05341666666666667	0.0524	0.0554
15	0.8	3.3418568448121495	0.05053333333333334	0.04845	0.0528
20	0.0	3.4117452384889777	0.05101666666666666	0.0472	0.05325
20	0.5	3.339145659286383	0.0491	0.04835	0.0499
20	0.8	3.1279160508566908	0.05068333333333333	0.0489	0.05225
30	0.0	3.2579795877071236	0.049350000000000005	0.04795	0.0505
30	0.5	3.1614294259465936	0.05216666666666667	0.05175	0.05275
30	0.8	2.9630334054650933	0.0477	0.0473	0.04805
40	0.0	3.1909892027344564	0.049633333333333335	0.049	0.0503
40	0.5	3.091075306659003	0.049933333333333337	0.04935	0.05045
40	0.8	2.8731673983152493	0.047683333333333335	0.04715	0.048
