query	europepmc_hit_count
"""complement factor B"" AND (""multiple sclerosis"" OR ""rheumatoid arthritis"" OR ""lupus"" OR ""inflammatory bowel"" OR psoriasis)"	1148
"""factor B inhibitor"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR ""inflammatory bowel"")"	190
"iptacopan AND (autoimmune OR ""multiple sclerosis"" OR lupus OR ""inflammatory bowel"" OR psoriasis)"	300
"""CFB"" AND (""biomarker"" OR ""stratification"") AND autoimmune"	662
