dataset	gene	sgRNA	gate	low_vs_high_log2
GSE162463	Stat1	Stat1_sg2	MHCII	0.855250514749462
GSE162463	Stat1	Stat1_sg2	CD40	-0.9731620386391885
GSE162463	Stat1	Stat1_sg2	PDL1	3.98446566861042
GSE162463	Lrrc73	Lrrc73_sg3	MHCII	-0.24162404338933266
GSE162463	Lrrc73	Lrrc73_sg3	CD40	-0.5375867818865727
GSE162463	Lrrc73	Lrrc73_sg3	PDL1	0.3670125194449983
GSE162463	Opa3	Opa3_sg4	MHCII	0.5690120858482154
GSE162463	Opa3	Opa3_sg4	CD40	-0.5650658273246905
GSE162463	Opa3	Opa3_sg4	PDL1	-3.5654260207633057
GSE162463	Sqle	Sqle_sg3	MHCII	0.9686052521823212
GSE162463	Sqle	Sqle_sg3	CD40	0.3754723192720677
GSE162463	Sqle	Sqle_sg3	PDL1	-0.0339526835035524
GSE162463	Tmed4	Tmed4_sg1	MHCII	-0.32596082952881933
GSE162463	Tmed4	Tmed4_sg1	CD40	-0.15314860642858488
GSE162463	Tmed4	Tmed4_sg1	PDL1	1.5505059602105478
GSE162463	Pcyt2	Pcyt2_sg1	MHCII	0.9010718266710072
GSE162463	Pcyt2	Pcyt2_sg1	CD40	0.8340658092685221
GSE162463	Pcyt2	Pcyt2_sg1	PDL1	-1.475215983890156
GSE162463	Gpr135	Gpr135_sg2	MHCII	2.720504070221979
GSE162463	Gpr135	Gpr135_sg2	CD40	-2.551156812032917
GSE162463	Gpr135	Gpr135_sg2	PDL1	3.644476203110044
GSE162463	Usp22	Usp22_sg3	MHCII	0.7355392076049955
GSE162463	Usp22	Usp22_sg3	CD40	-0.22503617257065495
GSE162463	Usp22	Usp22_sg3	PDL1	0.0
GSE162463	Hps6	Hps6_sg4	MHCII	3.218298627642077
GSE162463	Hps6	Hps6_sg4	CD40	-0.9656089436248966
GSE162463	Hps6	Hps6_sg4	PDL1	-1.6388276802437176
GSE162463	Cyp3a25	Cyp3a25_sg4	MHCII	1.9612669687464457
GSE162463	Cyp3a25	Cyp3a25_sg4	CD40	-1.8725137822620694
GSE162463	Cyp3a25	Cyp3a25_sg4	PDL1	-0.3502429144932059
GSE162463	Control	BRDN0000737637	MHCII	0.7803787682646092
GSE162463	Control	BRDN0000737637	CD40	-2.1341517019254916
GSE162463	Control	BRDN0000737637	PDL1	1.1882005094669477
GSE162463	Atp9b	Atp9b_sg3	MHCII	1.5488921073462432
GSE162463	Atp9b	Atp9b_sg3	CD40	0.07038717222115912
GSE162463	Atp9b	Atp9b_sg3	PDL1	0.8886252574533383
GSE162463	Spag1	Spag1_sg1	MHCII	-0.9191738327214845
GSE162463	Spag1	Spag1_sg1	CD40	0.7108749015939887
GSE162463	Spag1	Spag1_sg1	PDL1	0.6282474737586593
GSE162463	Control	BRDN0000737693	MHCII	-0.36793987844861215
GSE162463	Control	BRDN0000737693	CD40	-2.128048740412117
GSE162463	Control	BRDN0000737693	PDL1	1.3743794480477272
GSE162463	Rcn2	Rcn2_sg3	MHCII	-5.436903181720301
GSE162463	Rcn2	Rcn2_sg3	CD40	-1.0416974835711599
GSE162463	Rcn2	Rcn2_sg3	PDL1	-0.9079511838906139
GSE162463	Kpna3	Kpna3_sg2	MHCII	1.2781337136797042
GSE162463	Kpna3	Kpna3_sg2	CD40	0.8118173401203305
GSE162463	Kpna3	Kpna3_sg2	PDL1	0.4407655492733753
GSE162463	Eps8l1	Eps8l1_sg3	MHCII	-1.6662055792586103
GSE162463	Eps8l1	Eps8l1_sg3	CD40	-1.404170616665845
GSE162463	Eps8l1	Eps8l1_sg3	PDL1	-1.6200298264299837
GSE162463	Igfbp2	Igfbp2_sg3	MHCII	0.4362202577929051
GSE162463	Igfbp2	Igfbp2_sg3	CD40	-1.8447863253166241
GSE162463	Igfbp2	Igfbp2_sg3	PDL1	-0.8418276419721722
GSE162463	Chfr	Chfr_sg1	MHCII	-1.2382122665003275
GSE162463	Chfr	Chfr_sg1	CD40	-1.066099401937709
GSE162463	Chfr	Chfr_sg1	PDL1	-0.4519998562252875
GSE162463	Tnf	Tnf_sg4	MHCII	-0.588424971147612
GSE162463	Tnf	Tnf_sg4	CD40	-0.4042406293789832
GSE162463	Tnf	Tnf_sg4	PDL1	-1.3805665092950958
GSE162463	Zfp786	Zfp786_sg4	MHCII	0.38908560189544905
GSE162463	Zfp786	Zfp786_sg4	CD40	1.8580187378928825
GSE162463	Zfp786	Zfp786_sg4	PDL1	-3.151653421774319
GSE162463	2210016F16Rik	2210016F16Rik_sg2	MHCII	1.7750569515770094
GSE162463	2210016F16Rik	2210016F16Rik_sg2	CD40	-0.37224886541437385
GSE162463	2210016F16Rik	2210016F16Rik_sg2	PDL1	-0.9091349277479555
GSE162463	Dsn1	Dsn1_sg1	MHCII	1.5476777440136005
GSE162463	Dsn1	Dsn1_sg1	CD40	-0.5116838734111218
GSE162463	Dsn1	Dsn1_sg1	PDL1	0.25905526648485977
GSE162463	Gnb5	Gnb5_sg2	MHCII	0.1825028666574301
GSE162463	Gnb5	Gnb5_sg2	CD40	-0.10911044494721224
GSE162463	Gnb5	Gnb5_sg2	PDL1	0.7876980756170521
GSE162463	Pomgnt2	Pomgnt2_sg3	MHCII	0.460419871320949
GSE162463	Pomgnt2	Pomgnt2_sg3	CD40	-1.003186343971403
GSE162463	Pomgnt2	Pomgnt2_sg3	PDL1	0.08511384650496534
GSE162463	Nicn1	Nicn1_sg1	MHCII	-0.9133735025189826
GSE162463	Nicn1	Nicn1_sg1	CD40	-2.6193862259075327
GSE162463	Nicn1	Nicn1_sg1	PDL1	-3.3173852979977614
GSE162463	Aph1a	Aph1a_sg4	MHCII	0.03174153716219185
GSE162463	Aph1a	Aph1a_sg4	CD40	-2.377536931010086
GSE162463	Aph1a	Aph1a_sg4	PDL1	-0.7652244012403933
GSE162463	Rtf1	Rtf1_sg2	MHCII	-0.6278212292610199
GSE162463	Rtf1	Rtf1_sg2	CD40	-0.28226623780586485
GSE162463	Rtf1	Rtf1_sg2	PDL1	0.17142471603779727
GSE162463	Zc4h2	Zc4h2_sg2	MHCII	-2.16587973226122
GSE162463	Zc4h2	Zc4h2_sg2	CD40	0.6058802213316317
GSE162463	Zc4h2	Zc4h2_sg2	PDL1	0.0008573800992076916
GSE162463	Rnf113a1	Rnf113a1_sg2	MHCII	0.10735853725051017
GSE162463	Rnf113a1	Rnf113a1_sg2	CD40	-1.3658542041085882
GSE162463	Rnf113a1	Rnf113a1_sg2	PDL1	0.5932175383999345
GSE162463	Nckap5l	Nckap5l_sg4	MHCII	-0.6957234657235357
GSE162463	Nckap5l	Nckap5l_sg4	CD40	-1.5277078147069991
GSE162463	Nckap5l	Nckap5l_sg4	PDL1	-0.00034126932433289523
GSE162463	Nmrk1	Nmrk1_sg1	MHCII	-0.08207591429296547
GSE162463	Nmrk1	Nmrk1_sg1	CD40	0.31717902784124763
GSE162463	Nmrk1	Nmrk1_sg1	PDL1	2.0805302422875402
GSE162463	Pcca	Pcca_sg4	MHCII	0.4313371536588567
GSE162463	Pcca	Pcca_sg4	CD40	-0.09936419312452224
GSE162463	Pcca	Pcca_sg4	PDL1	0.5910208366599501
GSE162463	Hyal1	Hyal1_sg1	MHCII	6.001175053940885
GSE162463	Hyal1	Hyal1_sg1	CD40	0.7902145838931901
GSE162463	Hyal1	Hyal1_sg1	PDL1	4.272145210544445
GSE162463	Spdya	Spdya_sg4	MHCII	-0.8646575292987676
GSE162463	Spdya	Spdya_sg4	CD40	1.4018027812730889
GSE162463	Spdya	Spdya_sg4	PDL1	-0.214809539991236
GSE162463	Pced1b	Pced1b_sg1	MHCII	0.3868410648240491
GSE162463	Pced1b	Pced1b_sg1	CD40	0.1259518868992938
GSE162463	Pced1b	Pced1b_sg1	PDL1	1.0252276522940258
GSE162463	Ctr9	Ctr9_sg1	MHCII	-1.0239802528587403
GSE162463	Ctr9	Ctr9_sg1	CD40	-2.6935229896396518
GSE162463	Ctr9	Ctr9_sg1	PDL1	-2.222780278229333
GSE162463	Nptxr	Nptxr_sg4	MHCII	0.1411356014155007
GSE162463	Nptxr	Nptxr_sg4	CD40	0.7463752760179662
GSE162463	Nptxr	Nptxr_sg4	PDL1	1.6978528309938252
GSE162463	Slc19a2	Slc19a2_sg2	MHCII	1.8707334463107976
GSE162463	Slc19a2	Slc19a2_sg2	CD40	-0.7166836510858833
GSE162463	Slc19a2	Slc19a2_sg2	PDL1	-3.755554584859992
GSE162463	Samsn1	Samsn1_sg4	MHCII	-0.9016676711087696
GSE162463	Samsn1	Samsn1_sg4	CD40	-1.640696023103976
GSE162463	Samsn1	Samsn1_sg4	PDL1	0.13808147716887895
GSE162463	Bag4	Bag4_sg3	MHCII	0.4363713187070362
GSE162463	Bag4	Bag4_sg3	CD40	-2.1619579175791888
GSE162463	Bag4	Bag4_sg3	PDL1	0.9062590700752624
GSE162463	Bend3	Bend3_sg3	MHCII	-0.047085756510474024
GSE162463	Bend3	Bend3_sg3	CD40	1.4609625311560563
GSE162463	Bend3	Bend3_sg3	PDL1	0.7417787666473691
GSE162463	Qdpr	Qdpr_sg3	MHCII	-0.809964298106982
GSE162463	Qdpr	Qdpr_sg3	CD40	-1.3605803138254087
GSE162463	Qdpr	Qdpr_sg3	PDL1	0.07163423425686033
GSE162463	Alpl	Alpl_sg1	MHCII	-0.9152167931085605
GSE162463	Alpl	Alpl_sg1	CD40	-0.07101204390268888
GSE162463	Alpl	Alpl_sg1	PDL1	0.5578476338853406
GSE162463	Nfya	Nfya_sg2	MHCII	-0.43543020500689156
GSE162463	Nfya	Nfya_sg2	CD40	0.282753005630652
GSE162463	Nfya	Nfya_sg2	PDL1	-0.5406123990482272
GSE162463	Zfp212	Zfp212_sg4	MHCII	-0.6780758342523592
GSE162463	Zfp212	Zfp212_sg4	CD40	-1.0822497478710988
GSE162463	Zfp212	Zfp212_sg4	PDL1	0.17671897654084032
GSE162463	Map3k8	Map3k8_sg1	MHCII	-0.13014974015880537
GSE162463	Map3k8	Map3k8_sg1	CD40	0.434595868720179
GSE162463	Map3k8	Map3k8_sg1	PDL1	0.16070401566247144
GSE162463	Inpp1	Inpp1_sg2	MHCII	-0.2830020984121266
GSE162463	Inpp1	Inpp1_sg2	CD40	1.0124782362213367
GSE162463	Inpp1	Inpp1_sg2	PDL1	-0.3250733659248111
GSE162463	Tmem115	Tmem115_sg1	MHCII	-0.10137959451254283
GSE162463	Tmem115	Tmem115_sg1	CD40	-0.6039600504890899
GSE162463	Tmem115	Tmem115_sg1	PDL1	1.2715731812683937
GSE162463	Pacsin2	Pacsin2_sg4	MHCII	0.7808583616909036
GSE162463	Pacsin2	Pacsin2_sg4	CD40	0.16655164527446162
GSE162463	Pacsin2	Pacsin2_sg4	PDL1	-1.161814251256933
GSE162463	Zbtb14	Zbtb14_sg4	MHCII	-0.5784157892228021
GSE162463	Zbtb14	Zbtb14_sg4	CD40	-0.5065172728783166
GSE162463	Zbtb14	Zbtb14_sg4	PDL1	-0.5338424478052941
GSE162463	Armc6	Armc6_sg4	MHCII	-0.46860304137057934
GSE162463	Armc6	Armc6_sg4	CD40	-3.891573530606994
GSE162463	Armc6	Armc6_sg4	PDL1	5.5113471730811785
GSE162463	Nenf	Nenf_sg4	MHCII	1.5767354714748492
GSE162463	Nenf	Nenf_sg4	CD40	0.12018989499734117
GSE162463	Nenf	Nenf_sg4	PDL1	0.80432790771662
GSE162463	Gba	Gba_sg1	MHCII	0.5960546389737095
GSE162463	Gba	Gba_sg1	CD40	-0.5895476529111676
GSE162463	Gba	Gba_sg1	PDL1	-0.7781558158461274
GSE162463	Plbd2	Plbd2_sg3	MHCII	-0.03514539983355944
GSE162463	Plbd2	Plbd2_sg3	CD40	-0.912173308615146
GSE162463	Plbd2	Plbd2_sg3	PDL1	-3.631331339340566
GSE162463	Gm4951	Gm4951_sg4	MHCII	-0.9508981186261439
GSE162463	Gm4951	Gm4951_sg4	CD40	1.1710181639818156
GSE162463	Gm4951	Gm4951_sg4	PDL1	1.1017150350622047
GSE162463	Pgam5	Pgam5_sg2	MHCII	-0.8926312013235741
GSE162463	Pgam5	Pgam5_sg2	CD40	0.2275330639004998
GSE162463	Pgam5	Pgam5_sg2	PDL1	1.4428111629927822
GSE162463	Cyp4f18	Cyp4f18_sg2	MHCII	-0.6201153583637156
