dataset	organism	contrast	gene	n_case	n_control	mean_case_log2	mean_control_log2	log2fc	hedges_g	welch_t	p	fdr
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Atf4	3	3	14.03925918271206	13.216197373901132	0.8230618088109285	2.168319439554004	3.3195476414155642	0.06995636535042316	0.11045741897435235
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Bax	3	3	12.675194960481754	12.53315675625577	0.14203820422598312	0.39150476707909143	0.5993668195068448	0.6015759343997152	0.6445456439996949
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Casp3	3	3	11.459112040120162	11.177331805718394	0.2817802344017686	0.7897043692289158	1.2089829701608055	0.3363935967198902	0.40900854783384144
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Cd74	3	3	15.448672872200161	10.220430944667466	5.228241927532695	15.140535877018857	23.179117081873997	0.0007166260778169127	0.0026873477918134226
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Ciita	3	3	11.594113977366165	3.3974309381569223	8.196683039209242	19.848659727847405	30.386930257097347	1.6488592896485436e-05	0.00016488592896485435
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Ctss	3	3	14.96849038120338	13.536115054249754	1.4323753269536255	3.7758925098072695	5.78063123289046	0.02196845389330544	0.04393690778661088
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Cxcl10	3	3	11.008073558350283	4.5380832425631334	6.4699903157871494	12.077321238526798	18.48954655879301	5.1453997761275216e-05	0.0003859049832095641
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Ddit3	3	3	9.025589972578537	7.723190912656894	1.302399059921643	3.591865505794042	5.498898571187011	0.030859819689895557	0.05664762404417074
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Dnajb1	3	3	10.741500748124603	10.448713256880945	0.2927874912436579	0.8442251663802884	1.2924505535299613	0.31453743182909827	0.40900854783384144
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Fos	3	3	7.521438141320229	7.477426285980321	0.04401185533990848	0.10020220426430282	0.15340266971854657	0.8855492399697441	0.8855492399697441
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Gadd45a	3	3	8.29737150693438	7.704831364759404	0.5925401421749763	1.830183430138002	2.801884712209231	0.10555577283338285	0.15079396119054694
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Gbp2	3	3	16.26597427112128	7.384510334489054	8.881463936632226	23.395652423474317	35.81713164813796	0.00018268195301202584	0.0010960917180721551
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	H2-Aa	3	3	12.681130094112158	3.7097610056483217	8.971369088463836	20.337482408489848	31.135284096018253	6.364198885232929e-06	0.00016488592896485435
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	H2-Ab1	3	3	13.202407557944674	5.805511220066528	7.396896337878147	16.625829700298926	25.452999572588837	1.4588221463762058e-05	0.00016488592896485435
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	H2-DMa	3	3	11.169573269531144	6.194870079083176	4.9747031904479675	16.565477584299792	25.36060464190437	0.000841804006395431	0.0028060133546514367
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	H2-DMb1	3	3	11.34392337032446	6.87801331550176	4.465910054822699	11.203330045749667	17.151526270049	0.00022548108796270657	0.0011274054398135328
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	H2-DMb2	3	3	6.355482207889096	3.3589385323502774	2.996543675538818	4.763580572266355	7.292713594179785	0.0019290843946827654	0.004822710986706913
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	H2-Eb1	3	3	12.629978958551789	3.2604532378415527	9.369525720710236	11.34720380587991	17.37178708235817	0.0007075368903679615	0.0026873477918134226
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Hmox1	3	3	12.375499057242061	12.183987357006659	0.19151170023540232	0.5246287250952951	0.8031704255564632	0.4965372588514882	0.5517080653905424
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Hsp90aa1	3	3	15.922024802734255	15.843546857039499	0.07847794569475575	0.21124498076369563	0.3234015084969389	0.7746815370393293	0.8013946934889613
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Hspa1a	3	3	6.625163298625886	6.044066155769083	0.5810971428568035	2.062002361247814	3.1567835209195083	0.08433135321834935	0.12649702982752403
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Hspa1b	3	3	8.50362732409493	7.482712830785005	1.0209144933099257	2.6916448033950062	4.120722710707319	0.049524439450844546	0.08254073241807425
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Ifi30	3	3	12.346640612266071	12.062189256690589	0.2844513555754826	0.7875362849867414	1.2056637825903704	0.3408404565282012	0.40900854783384144
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Ifit1	3	3	9.314306470109697	3.2134149787407815	6.100891491368916	7.030058610275507	10.76253528564651	0.0026749856556956392	0.005732112119347798
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Irf1	3	3	13.549513863974733	9.413378378647463	4.136135485327269	10.997144891529958	16.83587100731441	0.0015299320333308723	0.004172541909084198
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Isg15	3	3	9.299819317419875	4.431683808519203	4.8681355089006715	11.880918590429655	18.188867638812134	0.0009602758303783292	0.0028808274911349876
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Jun	3	3	11.299189244874233	11.669927073591081	-0.37073782871684813	-1.0524559970771934	-1.6112376059820173	0.24558149117452058	0.334883851601619
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Klf6	3	3	12.800316965151472	11.723417931600517	1.076899033550955	3.117540277175536	4.772739332284313	0.03210032029169675	0.05664762404417074
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Rfx5	3	3	9.962062826583253	9.74777202840932	0.21429079817393237	0.5351499588473367	0.8192777094046194	0.48028916113698145	0.5517080653905424
GSE162464	Mus musculus	NTC_IFNg_vs_NTC_US	Stat1	3	3	14.728168109092389	10.151947233550155	4.576220875542234	13.18362270395364	20.183217866286167	0.0022358950911632466	0.005159757902684415
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Atf4	3	3	12.538359189346053	14.03925918271206	-1.5008999933660068	-3.8094877234818023	-5.832063189954446	0.01597688653126177	0.059913324492231634
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Bax	3	3	12.269752575015188	12.675194960481754	-0.4054423854665661	-1.1263998986167854	-1.7244406237086423	0.2107616470260505	0.27490649612093543
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Casp3	3	3	11.187584106663621	11.459112040120162	-0.27152793345654125	-0.7109027452201477	-1.0883431140832216	0.3591085070129169	0.4157874314481224
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Cd74	3	3	14.528518334236551	15.448672872200161	-0.9201545379636098	-2.7081441324413653	-4.145982046495983	0.0434496794002058	0.09310645585758386
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Ciita	3	3	9.803430814136261	11.594113977366165	-1.7906831632299038	-5.249188375338207	-8.036145677079771	0.01224801777330137	0.05249150474272016
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Ctss	3	3	14.393113956466479	14.96849038120338	-0.5753764247369002	-1.4815483309735153	-2.2681484000982266	0.1283615128579257	0.20267607293356693
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Cxcl10	3	3	9.556028515444549	11.008073558350283	-1.452045042905734	-3.183297061899123	-4.873408438346081	0.01024050986930126	0.051202549346506296
GSE162464	Mus musculus	Gsk3b_IFNg_vs_NTC_IFNg	Ddit3	3	3	8.588373112781397	9.025589972578537	-0.43721685979713953	-1.1318391759775026	-1.7327677825231604	0.19743307436512458	0.27156197769844015
