pert_id	cmap_name	target	moa	target_antigen_presentation_best_rank	target_antigen_presentation_min_qval	target_antigen_presentation_max_reversal_strength	target_antigen_presentation_n_signatures	generic_ifn_jak_best_rank	generic_ifn_jak_min_qval	generic_ifn_jak_max_reversal_strength	generic_ifn_jak_n_signatures	l1000_target_minus_generic_reversal_strength	l1000_selectivity_call
BRD-A39996500	radicicol			1.0	2.902412705272e-11	25.436513674297146	1			0.0	0	25.436513674297146	target_opposite_hit_absent_from_generic_top50
BRD-K33583600	BRD-K33583600			5.0	5.80977152544833e-10	23.215496126639767	1			0.0	0	23.215496126639767	target_opposite_hit_absent_from_generic_top50
BRD-K64890080	BI-2536	PLK1	PLK inhibitor	2.0	5.93137893210366e-10	20.839945176805728	2			0.0	0	20.839945176805728	target_opposite_hit_absent_from_generic_top50
BRD-K01436366	XMD-1150	LRRK2	Leucine rich repeat kinase inhibitor	4.0	8.02398541407672e-10	20.268036448597787	1			0.0	0	20.268036448597787	target_opposite_hit_absent_from_generic_top50
BRD-K82109576	vincristine	TUBB	Tubulin inhibitor	7.0	1.6383192693224e-08	19.51984664751406	1			0.0	0	19.51984664751406	target_opposite_hit_absent_from_generic_top50
BRD-K81473043	tanespimycin	HSP90AA1	HSP inhibitor	8.0	1.6383192693224e-08	19.454917654309323	1			0.0	0	19.454917654309323	target_opposite_hit_absent_from_generic_top50
BRD-K30707190	PNU-74654	CTNNB1	Beta-catenin inhibitor	10.0	1.75367878889045e-08	19.32263013487157	1			0.0	0	19.32263013487157	target_opposite_hit_absent_from_generic_top50
BRD-K92301463	BRD-K92301463			6.0	1.76565345626072e-08	19.253125522260582	1			0.0	0	19.253125522260582	target_opposite_hit_absent_from_generic_top50
BRD-K99530743	BRD-K99530743			9.0	1.653175632409e-08	18.87555906462776	1			0.0	0	18.87555906462776	target_opposite_hit_absent_from_generic_top50
BRD-A56020723	CA-074-Me	CTSB	Cathepsin inhibitor	13.0	4.02605924679944e-07	16.993630126263277	1			0.0	0	16.993630126263277	target_opposite_hit_absent_from_generic_top50
BRD-K37865504	LY-2183240	FAAH	FAAH inhibitor	19.0	4.02605924679944e-07	16.384458896893634	1			0.0	0	16.384458896893634	target_opposite_hit_absent_from_generic_top50
BRD-K75999307	BRD-K75999307			16.0	4.02605924679944e-07	15.955076762203806	1			0.0	0	15.955076762203806	target_opposite_hit_absent_from_generic_top50
BRD-A20131130	BRD-A20131130			14.0	4.02605924679944e-07	15.869414075873902	1			0.0	0	15.869414075873902	target_opposite_hit_absent_from_generic_top50
BRD-K20032655	BRD-K20032655			17.0	4.02605924679944e-07	15.74613727257605	1			0.0	0	15.74613727257605	target_opposite_hit_absent_from_generic_top50
BRD-K35024477	BRD-K35024477			11.0	4.02605924679944e-07	15.678153650350401	1			0.0	0	15.678153650350401	target_opposite_hit_absent_from_generic_top50
BRD-K42500029	CGP-57380	MKNK1	MAP kinase inhibitor	12.0	4.02605924679944e-07	15.415784461775669	1			0.0	0	15.415784461775669	target_opposite_hit_absent_from_generic_top50
BRD-K48950795	BRD-K48950795			20.0	4.37996184874656e-07	15.042718176045385	1			0.0	0	15.042718176045385	target_opposite_hit_absent_from_generic_top50
BRD-K50204028	BRD-K50204028			18.0	4.02605924679944e-07	15.006588596511758	1			0.0	0	15.006588596511758	target_opposite_hit_absent_from_generic_top50
BRD-K41859756	NVP-AUY922	HSP90AA1	HSP inhibitor	15.0	4.02605924679944e-07	14.607758850456218	2			0.0	0	14.607758850456218	target_opposite_hit_absent_from_generic_top50
BRD-K47659338	EMD-386088	HTR6	Serotonin receptor agonist	35.0	8.11131886327998e-06	13.778203108246144	1			0.0	0	13.778203108246144	target_opposite_hit_absent_from_generic_top50
BRD-K60870698	BRD-K60870698			27.0	8.11131886327998e-06	13.437059290176718	1			0.0	0	13.437059290176718	target_opposite_hit_absent_from_generic_top50
BRD-A01643550	prednisolone-acetate	NR3C1	Glucocorticoid receptor agonist	34.0	8.53026975405682e-06	13.010852628909019	1			0.0	0	13.010852628909019	target_opposite_hit_absent_from_generic_top50
BRD-K54095730	CMPD-1	MAPK14	P38 MAPK inhibitor	31.0	8.29616302467671e-06	12.905873356000102	1			0.0	0	12.905873356000102	target_opposite_hit_absent_from_generic_top50
BRD-A72711497	lasalocid			42.0	8.56575657431508e-06	12.852265422536625	1			0.0	0	12.852265422536625	target_opposite_hit_absent_from_generic_top50
BRD-A68739437	NPK76-II-72-1			32.0	8.11131886327998e-06	12.846696867449449	2			0.0	0	12.846696867449449	target_opposite_hit_absent_from_generic_top50
BRD-K61323504	SB-225002	CXCR2	CCK receptor antagonist	28.0	8.22156671099179e-06	12.830082394918492	1			0.0	0	12.830082394918492	target_opposite_hit_absent_from_generic_top50
BRD-K69023402	thapsigargin	ATP2A1	ATPase inhibitor	25.0	9.49690051214448e-06	12.782452707189144	1			0.0	0	12.782452707189144	target_opposite_hit_absent_from_generic_top50
BRD-K69516039	BRD-K69516039			23.0	8.19840637673327e-06	12.771228213212705	1			0.0	0	12.771228213212705	target_opposite_hit_absent_from_generic_top50
BRD-A19633847	perhexiline	CPT1A	Carnitine palmitoyltransferase inhibitor	37.0	8.56575657431508e-06	12.762065064690525	1			0.0	0	12.762065064690525	target_opposite_hit_absent_from_generic_top50
