gene	call	ms_nominal	ms_fdr	broad_positive_disease_count	broad_negative_disease_count	strict_core_residual_surviving_analysis_count	non_ibd_residual_positive_disease_count	target_resolution_signal_count	controller91_call	route92_call	blockers
FABP5	CLOSE_AS_MARKER_OR_READOUT	True	0.8344760564031432	2	1	0	0	0	PARK_CONTROLLER_FOR_DEEP_VALIDATION		insufficient_broad_disease_breadth;negative_context_present;no_fdr_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;no_target_resolved_genetics
CHI3L1	CLOSE_AS_MARKER_OR_READOUT	True	0.8344760564031432	3	0	0	1	0			no_clear_modality;no_fdr_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;no_target_resolved_genetics
APOC1	CLOSE_AS_MARKER_OR_READOUT	True	0.8506970233122761	3	1	0	0	0			negative_context_present;no_clear_modality;no_fdr_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;no_target_resolved_genetics
SNX10	CLOSE_AS_MARKER_OR_READOUT	True	0.8349413280632139	3	0	0	0	0			no_clear_modality;no_fdr_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;no_target_resolved_genetics
GPNMB	CLOSE_AS_MARKER_OR_READOUT	True	0.8344760564031432	1	2	0	0	0	PARK_MARKER_OR_WEAK_CONTROLLER		insufficient_broad_disease_breadth;negative_context_present;no_fdr_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;no_target_resolved_genetics;prior_no_go_or_blocker
SCARB2	CLOSE_AS_MARKER_OR_READOUT	True	0.8344760564031432	0	1	0	0	0			insufficient_broad_disease_breadth;negative_context_present;no_clear_modality;no_fdr_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;no_target_resolved_genetics
MSR1	CLOSE_AS_MARKER_OR_READOUT	True	0.8506970233122761	0	0	0	0	0	NO_GO_LIPID_NEIGHBORHOOD_NODE		insufficient_broad_disease_breadth;no_clear_modality;no_fdr_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;no_target_resolved_genetics;prior_no_go_or_blocker
LIPA	CLOSE_AS_MARKER_OR_READOUT	False	0.9049965616313804	3	1	0	2	0	NO_GO_LIPID_NEIGHBORHOOD_NODE	NO_GO_NO_MS_WHITE_MATTER_ROUTE_ANCHOR	negative_context_present;no_clear_modality;no_fdr_ms_anchor;no_nominal_ms_anchor;no_strict_core_residual_survival;no_target_resolved_genetics;prior_no_go_or_blocker
NPC1	CLOSE_AS_MARKER_OR_READOUT	False	0.8993702893651148	2	0	0	0	0		PARK_DIRECTION_ONLY_UNDERPOWERED_RESPONSE_ROUTE	insufficient_broad_disease_breadth;no_fdr_ms_anchor;no_nominal_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;no_target_resolved_genetics
NPC2	CLOSE_AS_MARKER_OR_READOUT	False	0.9090398989124008	1	0	0	0	0		PARK_DIRECTION_ONLY_UNDERPOWERED_RESPONSE_ROUTE	insufficient_broad_disease_breadth;no_fdr_ms_anchor;no_nominal_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;no_target_resolved_genetics
IFI30	GENETICS_COMPARATOR_NOT_TARGET	False	0.9141270983319502	3	0	0	0	4			no_clear_modality;no_fdr_ms_anchor;no_nominal_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;prior_no_go_or_blocker
SP140	GENETICS_COMPARATOR_NOT_TARGET	False	0.9677805697088556	4	0	0	0	6			no_fdr_ms_anchor;no_nominal_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;prior_no_go_or_blocker
GALC	GENETICS_COMPARATOR_NOT_TARGET	False	0.9234563450681982	3	0	0	0	5			no_fdr_ms_anchor;no_nominal_ms_anchor;no_non_ibd_residual_breadth;no_strict_core_residual_survival;prior_no_go_or_blocker
