seed	donors	minority_donors	effect_scale	method	prob_any_uniform_rescue	prob_any_subgroup_reversal	prob_any_other_false	uniform_rescue_recall	selection_precision	mean_n_selected
57101	12	4	0.80	pooled_replicated_gate	0.933000	0.000000	0.000000	0.525500	1.000000	2.102000
57101	12	4	0.80	context_safe_gate	0.004000	0.000000	0.000000	0.001000	1.000000	0.004000
57101	12	4	1.00	pooled_replicated_gate	0.936000	0.000000	0.000000	0.542500	1.000000	2.170000
57101	12	4	1.00	context_safe_gate	0.004000	0.000000	0.000000	0.001000	1.000000	0.004000
57101	16	5	0.80	pooled_replicated_gate	0.992000	0.003000	0.000000	0.760250	0.999014	3.044000
57101	16	5	0.80	context_safe_gate	0.045000	0.000000	0.000000	0.011750	1.000000	0.047000
57101	16	5	1.00	pooled_replicated_gate	0.992000	0.000000	0.000000	0.757000	1.000000	3.028000
57101	16	5	1.00	context_safe_gate	0.073000	0.000000	0.000000	0.018500	1.000000	0.074000
57101	24	8	0.80	pooled_replicated_gate	1.000000	0.010000	0.000000	0.944750	0.997361	3.789000
57101	24	8	0.80	context_safe_gate	0.375000	0.000000	0.000000	0.117500	1.000000	0.470000
57101	24	8	1.00	pooled_replicated_gate	1.000000	0.003000	0.000000	0.942250	0.999205	3.772000
57101	24	8	1.00	context_safe_gate	0.390000	0.000000	0.000000	0.116250	1.000000	0.465000
57102	12	4	0.80	pooled_replicated_gate	0.911000	0.000000	0.000000	0.510000	1.000000	2.040000
57102	12	4	0.80	context_safe_gate	0.009000	0.000000	0.000000	0.002250	1.000000	0.009000
57102	12	4	1.00	pooled_replicated_gate	0.950000	0.000000	0.000000	0.549250	1.000000	2.197000
57102	12	4	1.00	context_safe_gate	0.005000	0.000000	0.000000	0.001250	1.000000	0.005000
57102	16	5	0.80	pooled_replicated_gate	0.992000	0.000000	0.000000	0.758250	1.000000	3.033000
57102	16	5	0.80	context_safe_gate	0.048000	0.000000	0.000000	0.012000	1.000000	0.048000
57102	16	5	1.00	pooled_replicated_gate	0.993000	0.000000	0.000000	0.759000	1.000000	3.036000
57102	16	5	1.00	context_safe_gate	0.048000	0.000000	0.000000	0.012500	1.000000	0.050000
57102	24	8	0.80	pooled_replicated_gate	1.000000	0.011000	0.001000	0.944250	0.996833	3.789000
57102	24	8	0.80	context_safe_gate	0.401000	0.000000	0.000000	0.124000	1.000000	0.496000
57102	24	8	1.00	pooled_replicated_gate	1.000000	0.003000	0.000000	0.946250	0.999208	3.788000
57102	24	8	1.00	context_safe_gate	0.420000	0.000000	0.000000	0.129000	1.000000	0.516000
57103	12	4	0.80	pooled_replicated_gate	0.932000	0.000000	0.000000	0.528000	1.000000	2.112000
57103	12	4	0.80	context_safe_gate	0.004000	0.000000	0.000000	0.001000	1.000000	0.004000
57103	12	4	1.00	pooled_replicated_gate	0.946000	0.000000	0.000000	0.551750	1.000000	2.207000
57103	12	4	1.00	context_safe_gate	0.005000	0.000000	0.000000	0.001250	1.000000	0.005000
57103	16	5	0.80	pooled_replicated_gate	0.996000	0.000000	0.001000	0.763750	0.999673	3.056000
57103	16	5	0.80	context_safe_gate	0.051000	0.000000	0.000000	0.013750	1.000000	0.055000
57103	16	5	1.00	pooled_replicated_gate	0.996000	0.000000	0.000000	0.772250	1.000000	3.089000
57103	16	5	1.00	context_safe_gate	0.061000	0.000000	0.000000	0.015750	1.000000	0.063000
57103	24	8	0.80	pooled_replicated_gate	1.000000	0.010000	0.000000	0.944250	0.997359	3.787000
57103	24	8	0.80	context_safe_gate	0.395000	0.000000	0.000000	0.124250	1.000000	0.497000
57103	24	8	1.00	pooled_replicated_gate	1.000000	0.004000	0.001000	0.943500	0.998677	3.779000
57103	24	8	1.00	context_safe_gate	0.380000	0.000000	0.000000	0.117750	1.000000	0.471000
