seed	donors	effect_scale	method	truth_class	candidate_selection_probability
57101	12	0.80	pooled_replicated_gate	null	0.000000
57101	12	0.80	pooled_replicated_gate	subgroup_reversal	0.000000
57101	12	0.80	pooled_replicated_gate	toxic_pseudorescue	0.000000
57101	12	0.80	pooled_replicated_gate	tradeoff	0.000000
57101	12	0.80	pooled_replicated_gate	uniform_broad_rescue	0.525500
57101	12	0.80	context_safe_gate	null	0.000000
57101	12	0.80	context_safe_gate	subgroup_reversal	0.000000
57101	12	0.80	context_safe_gate	toxic_pseudorescue	0.000000
57101	12	0.80	context_safe_gate	tradeoff	0.000000
57101	12	0.80	context_safe_gate	uniform_broad_rescue	0.001000
57101	12	1.00	pooled_replicated_gate	null	0.000000
57101	12	1.00	pooled_replicated_gate	subgroup_reversal	0.000000
57101	12	1.00	pooled_replicated_gate	toxic_pseudorescue	0.000000
57101	12	1.00	pooled_replicated_gate	tradeoff	0.000000
57101	12	1.00	pooled_replicated_gate	uniform_broad_rescue	0.542500
57101	12	1.00	context_safe_gate	null	0.000000
57101	12	1.00	context_safe_gate	subgroup_reversal	0.000000
57101	12	1.00	context_safe_gate	toxic_pseudorescue	0.000000
57101	12	1.00	context_safe_gate	tradeoff	0.000000
57101	12	1.00	context_safe_gate	uniform_broad_rescue	0.001000
57101	16	0.80	pooled_replicated_gate	null	0.000000
57101	16	0.80	pooled_replicated_gate	subgroup_reversal	0.000750
57101	16	0.80	pooled_replicated_gate	toxic_pseudorescue	0.000000
57101	16	0.80	pooled_replicated_gate	tradeoff	0.000000
57101	16	0.80	pooled_replicated_gate	uniform_broad_rescue	0.760250
57101	16	0.80	context_safe_gate	null	0.000000
57101	16	0.80	context_safe_gate	subgroup_reversal	0.000000
57101	16	0.80	context_safe_gate	toxic_pseudorescue	0.000000
57101	16	0.80	context_safe_gate	tradeoff	0.000000
57101	16	0.80	context_safe_gate	uniform_broad_rescue	0.011750
57101	16	1.00	pooled_replicated_gate	null	0.000000
57101	16	1.00	pooled_replicated_gate	subgroup_reversal	0.000000
57101	16	1.00	pooled_replicated_gate	toxic_pseudorescue	0.000000
57101	16	1.00	pooled_replicated_gate	tradeoff	0.000000
57101	16	1.00	pooled_replicated_gate	uniform_broad_rescue	0.757000
57101	16	1.00	context_safe_gate	null	0.000000
57101	16	1.00	context_safe_gate	subgroup_reversal	0.000000
57101	16	1.00	context_safe_gate	toxic_pseudorescue	0.000000
57101	16	1.00	context_safe_gate	tradeoff	0.000000
57101	16	1.00	context_safe_gate	uniform_broad_rescue	0.018500
57101	24	0.80	pooled_replicated_gate	null	0.000000
57101	24	0.80	pooled_replicated_gate	subgroup_reversal	0.002500
57101	24	0.80	pooled_replicated_gate	toxic_pseudorescue	0.000000
57101	24	0.80	pooled_replicated_gate	tradeoff	0.000000
57101	24	0.80	pooled_replicated_gate	uniform_broad_rescue	0.944750
57101	24	0.80	context_safe_gate	null	0.000000
57101	24	0.80	context_safe_gate	subgroup_reversal	0.000000
57101	24	0.80	context_safe_gate	toxic_pseudorescue	0.000000
57101	24	0.80	context_safe_gate	tradeoff	0.000000
57101	24	0.80	context_safe_gate	uniform_broad_rescue	0.117500
57101	24	1.00	pooled_replicated_gate	null	0.000000
57101	24	1.00	pooled_replicated_gate	subgroup_reversal	0.000750
57101	24	1.00	pooled_replicated_gate	toxic_pseudorescue	0.000000
57101	24	1.00	pooled_replicated_gate	tradeoff	0.000000
57101	24	1.00	pooled_replicated_gate	uniform_broad_rescue	0.942250
57101	24	1.00	context_safe_gate	null	0.000000
57101	24	1.00	context_safe_gate	subgroup_reversal	0.000000
57101	24	1.00	context_safe_gate	toxic_pseudorescue	0.000000
57101	24	1.00	context_safe_gate	tradeoff	0.000000
57101	24	1.00	context_safe_gate	uniform_broad_rescue	0.116250
57102	12	0.80	pooled_replicated_gate	null	0.000000
57102	12	0.80	pooled_replicated_gate	subgroup_reversal	0.000000
57102	12	0.80	pooled_replicated_gate	toxic_pseudorescue	0.000000
57102	12	0.80	pooled_replicated_gate	tradeoff	0.000000
57102	12	0.80	pooled_replicated_gate	uniform_broad_rescue	0.510000
57102	12	0.80	context_safe_gate	null	0.000000
57102	12	0.80	context_safe_gate	subgroup_reversal	0.000000
57102	12	0.80	context_safe_gate	toxic_pseudorescue	0.000000
57102	12	0.80	context_safe_gate	tradeoff	0.000000
57102	12	0.80	context_safe_gate	uniform_broad_rescue	0.002250
57102	12	1.00	pooled_replicated_gate	null	0.000000
57102	12	1.00	pooled_replicated_gate	subgroup_reversal	0.000000
57102	12	1.00	pooled_replicated_gate	toxic_pseudorescue	0.000000
57102	12	1.00	pooled_replicated_gate	tradeoff	0.000000
57102	12	1.00	pooled_replicated_gate	uniform_broad_rescue	0.549250
57102	12	1.00	context_safe_gate	null	0.000000
57102	12	1.00	context_safe_gate	subgroup_reversal	0.000000
57102	12	1.00	context_safe_gate	toxic_pseudorescue	0.000000
57102	12	1.00	context_safe_gate	tradeoff	0.000000
57102	12	1.00	context_safe_gate	uniform_broad_rescue	0.001250
57102	16	0.80	pooled_replicated_gate	null	0.000000
57102	16	0.80	pooled_replicated_gate	subgroup_reversal	0.000000
57102	16	0.80	pooled_replicated_gate	toxic_pseudorescue	0.000000
57102	16	0.80	pooled_replicated_gate	tradeoff	0.000000
57102	16	0.80	pooled_replicated_gate	uniform_broad_rescue	0.758250
57102	16	0.80	context_safe_gate	null	0.000000
57102	16	0.80	context_safe_gate	subgroup_reversal	0.000000
57102	16	0.80	context_safe_gate	toxic_pseudorescue	0.000000
57102	16	0.80	context_safe_gate	tradeoff	0.000000
57102	16	0.80	context_safe_gate	uniform_broad_rescue	0.012000
57102	16	1.00	pooled_replicated_gate	null	0.000000
57102	16	1.00	pooled_replicated_gate	subgroup_reversal	0.000000
57102	16	1.00	pooled_replicated_gate	toxic_pseudorescue	0.000000
57102	16	1.00	pooled_replicated_gate	tradeoff	0.000000
57102	16	1.00	pooled_replicated_gate	uniform_broad_rescue	0.759000
57102	16	1.00	context_safe_gate	null	0.000000
57102	16	1.00	context_safe_gate	subgroup_reversal	0.000000
57102	16	1.00	context_safe_gate	toxic_pseudorescue	0.000000
57102	16	1.00	context_safe_gate	tradeoff	0.000000
57102	16	1.00	context_safe_gate	uniform_broad_rescue	0.012500
57102	24	0.80	pooled_replicated_gate	null	0.000125
57102	24	0.80	pooled_replicated_gate	subgroup_reversal	0.002750
57102	24	0.80	pooled_replicated_gate	toxic_pseudorescue	0.000000
57102	24	0.80	pooled_replicated_gate	tradeoff	0.000000
57102	24	0.80	pooled_replicated_gate	uniform_broad_rescue	0.944250
57102	24	0.80	context_safe_gate	null	0.000000
57102	24	0.80	context_safe_gate	subgroup_reversal	0.000000
57102	24	0.80	context_safe_gate	toxic_pseudorescue	0.000000
57102	24	0.80	context_safe_gate	tradeoff	0.000000
57102	24	0.80	context_safe_gate	uniform_broad_rescue	0.124000
57102	24	1.00	pooled_replicated_gate	null	0.000000
57102	24	1.00	pooled_replicated_gate	subgroup_reversal	0.000750
57102	24	1.00	pooled_replicated_gate	toxic_pseudorescue	0.000000
57102	24	1.00	pooled_replicated_gate	tradeoff	0.000000
57102	24	1.00	pooled_replicated_gate	uniform_broad_rescue	0.946250
57102	24	1.00	context_safe_gate	null	0.000000
57102	24	1.00	context_safe_gate	subgroup_reversal	0.000000
57102	24	1.00	context_safe_gate	toxic_pseudorescue	0.000000
57102	24	1.00	context_safe_gate	tradeoff	0.000000
57102	24	1.00	context_safe_gate	uniform_broad_rescue	0.129000
57103	12	0.80	pooled_replicated_gate	null	0.000000
57103	12	0.80	pooled_replicated_gate	subgroup_reversal	0.000000
57103	12	0.80	pooled_replicated_gate	toxic_pseudorescue	0.000000
57103	12	0.80	pooled_replicated_gate	tradeoff	0.000000
57103	12	0.80	pooled_replicated_gate	uniform_broad_rescue	0.528000
57103	12	0.80	context_safe_gate	null	0.000000
57103	12	0.80	context_safe_gate	subgroup_reversal	0.000000
57103	12	0.80	context_safe_gate	toxic_pseudorescue	0.000000
57103	12	0.80	context_safe_gate	tradeoff	0.000000
57103	12	0.80	context_safe_gate	uniform_broad_rescue	0.001000
57103	12	1.00	pooled_replicated_gate	null	0.000000
