gene	broad_tested_contexts	broad_positive_contexts	broad_negative_contexts	broad_positive_disease_count	broad_negative_disease_count	myeloid_positive_contexts	myeloid_positive_disease_count	tissue_resident_positive_contexts	positive_diseases_broad	negative_diseases_broad	best_positive_context	best_negative_context
ABHD13	17	4	1	3	1	2	2	2	Crohn disease;psoriasis;ulcerative colitis	type 1 diabetes mellitus	psoriasis_skin_apc|psoriasis|skin APC|role=myeloid_apc|delta=1.22|p=0.0525	t1d_endothelial_cell|type 1 diabetes mellitus|pancreatic endothelial cell|role=tissue_resident|delta=-0.622|p=0.0408
ADM	17	4	1	4	1	2	2	2	Crohn disease;Sjogren syndrome;psoriasis;ulcerative colitis	type 1 diabetes mellitus	ibd_crohn_myeloid|Crohn disease|colon myeloid|role=myeloid_apc|delta=2.45|p=0.0165	t1d_ductal_cell|type 1 diabetes mellitus|pancreatic ductal cell|role=tissue_resident|delta=-0.644|p=0.0809
APOC1	17	4	2	3	2	0	0	4	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	psoriasis;ulcerative colitis	t1d_acinar_cell|type 1 diabetes mellitus|pancreatic acinar cell|role=tissue_resident|delta=1.51|p=0.00775	psoriasis_keratinocyte|psoriasis|skin keratinocyte|role=tissue_resident|delta=-2.23|p=0.0574
APOE	17	0	1	0	1	0	0	0		psoriasis		psoriasis_keratinocyte|psoriasis|skin keratinocyte|role=tissue_resident|delta=-3.24|p=0.00168
BTN2A2	17	4	0	3	0	1	1	3	Crohn disease;psoriasis;ulcerative colitis		ibd_uc_epithelial|ulcerative colitis|colon epithelial|role=tissue_resident|delta=1.74|p=0.0102	
BTN3A1	17	4	0	3	0	0	0	4	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		t1d_ductal_cell|type 1 diabetes mellitus|pancreatic ductal cell|role=tissue_resident|delta=1.75|p=0.0318	
C15ORF48	17	7	0	4	0	3	3	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_myeloid|ulcerative colitis|colon myeloid|role=myeloid_apc|delta=4.45|p=2.95e-05	
CCL20	16	9	0	4	0	2	2	7	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_myeloid|ulcerative colitis|colon myeloid|role=myeloid_apc|delta=6.09|p=0.00167	
CD200	17	7	1	4	1	3	3	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Sjogren syndrome	t1d_endothelial_cell|type 1 diabetes mellitus|pancreatic endothelial cell|role=tissue_resident|delta=2.22|p=0.0191	sjogren_gland_stromal|Sjogren syndrome|salivary gland stromal/endothelial|role=tissue_resident|delta=-0.564|p=0.064
CD74	17	7	1	4	1	0	0	7	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	ibd_uc_epithelial|ulcerative colitis|colon epithelial|role=tissue_resident|delta=3.49|p=0.0052	ibd_uc_myeloid|ulcerative colitis|colon myeloid|role=myeloid_apc|delta=-0.846|p=0.0287
