gene	genetic_disease_count_max	genetic_disease_text	target_resolution_sources	chembl_or_druggable_activity_count_max
APOC1	0		wave62	0
APOE	1	Crohn	wave55;wave62	0
CCL20	5	AS;Crohn;Psoriasis;RA;UC	wave55;wave62	0
CD200	2	Crohn;UC	wave55	0
CXCL1	0		wave55	0
CXCL11	0		wave55	0
CXCL9	0		wave55	0
HLA-DRB1	0		wave55	0
IL15	0		wave55	0
IL23A	1	Psoriasis	wave55;wave62	0
LITAF	2	Crohn;UC	wave55	0
LPL	0		wave55	0
LRIG3	1	Celiac	wave55;wave62	0
MMP7	0		wave55	0
NDUFA11	0		wave55	0
PPP3CA	0		wave55	0
RYR2	1	MS	wave55	0
SCD	0		wave55	0
SEL1L3	1	RA	wave55;wave62	0
SPNS1	0		wave62	0
