analysis	dataset_path	disease_name	compartment	role	gene	n_case_donors	n_control_donors	mean_case_log2_cpm	mean_control_log2_cpm	delta_log2_cpm	hedges_g	welch_t	p	mean_case_detection_fraction	mean_control_detection_fraction	detected_donor_fraction	mean_log2_cpm	in_lipid_lysosomal_myeloid_neighborhood	fdr	positive_nominal	negative_nominal	positive_fdr10	negative_fdr10	positive_trend	negative_trend
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	ABHD13	6	6	4.382703894326131	3.435394447048919	0.947309447277212	1.5348108953104085	2.8799013215785623	0.0164921394636003	0.0726914136472359	0.0358772110066608	1.0	3.909049170687525	False	0.2745740097037469	True	False	False	False	True	False
psoriasis_skin_stromal	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin stromal	tissue_resident	ABHD13	3	3	2.302413973238038	1.8447051593141175	0.4577088139239209	2.4749548732960873	3.7889853599937537	0.0193505642366979	0.0406468019472581	0.0216621237813878	1.0	2.0735595662760784	False	0.5477745773655467	True	False	False	False	True	False
ibd_crohn_epithelial	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon epithelial	tissue_resident	ABHD13	6	6	3.723233930866335	3.180700535389374	0.5425333954769611	1.3354480052996611	2.505819112382651	0.0312626575354403	0.0402065497127983	0.0239350587692417	1.0	3.4519672331278546	False	0.2424874251669218	True	False	False	False	True	False
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	ABHD13	5	17	5.863072783857186	6.484795224074386	-0.6217224402171997	-0.940790522476365	-2.362112024423238	0.0407966899954278	0.157263354638252	0.220263118724884	1.0	6.3434946694795675	False	0.4005358973040809	False	True	False	False	False	True
psoriasis_skin_apc	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin APC	myeloid_apc	ABHD13	3	3	2.575316354358535	1.351719376075802	1.223596978282733	2.2555489103131894	3.4530899500987076	0.0525084416952439	0.0357577972709551	0.0132601156069364	1.0	1.9635178652171683	False	0.7297013371935511	False	False	False	False	True	False
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	ABHD13	6	6	4.005073024895545	3.435394447048919	0.5696785778466258	0.7803879496311747	1.464310876573671	0.1753702960146038	0.0582364612220343	0.0358772110066608	1.0	3.720233735972231	False	0.5681680358317014	False	False	False	False	False	False
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	ABHD13	9	13	5.2005968412934855	5.490424958954167	-0.2898281176606812	-0.4638933398514333	-1.166797527758015	0.2572410670273017	0.0495727836795474	0.1011803812963356	1.0	5.371858910820252	False	0.958344072074493	False	False	False	False	False	False
sjogren_gland_epithelial	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland epithelial	tissue_resident	ABHD13	11	14	4.612168595799076	5.032207654154943	-0.4200390583558668	-0.3647007357982257	-0.8355024632779151	0.4214728881590184	0.0678036763122493	0.097877687153021	0.96	4.847390468478363	False	0.8443031767323348	False	False	False	False	False	False
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	ABHD13	10	14	5.448518702266712	5.590450715844514	-0.1419320135778017	-0.3348986092593066	-0.7559327942131864	0.4638305480871505	0.0696159833753514	0.085873070879493	1.0	5.531312376853763	False	0.9093948019040048	False	False	False	False	False	False
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	ABHD13	3	3	2.010097999238669	1.7697823241357349	0.2403156751029345	0.5233342140497123	0.8011886183514164	0.4953983269955267	0.0389558240312914	0.0295082950260306	1.0	1.8899401616872025	False	0.7464341796104421	False	False	False	False	False	False
