contrast	feature	feature_type	n_case_samples	n_control_samples	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
Hashimoto thyroiditis_vs_control	hla_ii_apc	module	3	2	0.2025992607070092	0.041130452221060064	0.16146880848594913	1.9306667867554115	3.7525588208469833	0.06397553957021954	0.21309125802682297
Hashimoto thyroiditis_vs_control	ifn_apc	module	3	2	0.4211396971714548	0.08632315767313319	0.3348165394983216	4.087653685518872	7.456768927563458	0.0069951631742211215	0.0629564685679901
Hashimoto thyroiditis_vs_control	lysosomal_apc	module	3	2	0.936913010080911	0.5578527487350465	0.37906026134586446	1.886170668684657	3.6439039781598868	0.06392521104077867	0.21309125802682297
Hashimoto thyroiditis_vs_control	mif_cd74_receptor_state	module	3	2	0.6246720756777544	0.14213565624347357	0.4825364194342808	1.9146040619006852	3.716227172062558	0.06429969857739685	0.21309125802682297
Hashimoto thyroiditis_vs_control	CD44	gene	3	2	0.5334204806205921	0.2291911635977048	0.3042293170228873	1.6083821954141562	3.1222275226405958	0.08794343750745146	0.23556654369976052
Hashimoto thyroiditis_vs_control	CIITA	gene	3	2	0.22297489700032128	0.01791207109594665	0.20506282590437463	1.7981433532899769	3.4695065010897355	0.06928695614586891	0.21309125802682297
Hashimoto thyroiditis_vs_control	CTSB	gene	3	2	2.7717064304791594	2.1405485139745934	0.631157916504566	0.9240160357079807	1.7929986218529916	0.21325838234511976	0.3120486325805568
Hashimoto thyroiditis_vs_control	CTSD	gene	3	2	1.4799011268618203	0.3781237938166425	1.1017773330451779	3.240638252805033	5.433968382265939	0.012611807028709138	0.09080501060670579
Hashimoto thyroiditis_vs_control	CTSS	gene	3	2	0.5974555430646178	0.06671767951841139	0.5307378635462064	22.502637330799658	42.97796935391635	0.00027837212892900656	0.005781730693663061
Hashimoto thyroiditis_vs_control	CXCL10	gene	3	2	0.3074512010945765	0.0026464271424106118	0.30480477395216593	1.5798852037162547	3.0720670288519907	0.09160921143879576	0.23556654369976052
Hashimoto thyroiditis_vs_control	CXCR4	gene	3	2	0.7159236707349166	0.05508014888924237	0.6608435218456742	1.964281570502549	3.7907816551233036	0.05879517311089819	0.21309125802682297
Hashimoto thyroiditis_vs_control	GBP1	gene	3	2	0.2816255268651211	0.178107324266496	0.1035182025986251	1.0142334669088813	1.1701286291292092	0.44185310850845616	0.467844467832483
Hashimoto thyroiditis_vs_control	IRF1	gene	3	2	0.42171492611937317	0.05088673206520314	0.37082819405417	11.331107873994076	19.146667164171717	0.00032120726075905893	0.005781730693663061
Hashimoto thyroiditis_vs_control	LAMP1	gene	3	2	0.4276872186527865	0.5470181176012063	-0.1193308989484198	-0.46562847712231614	-0.8895727354880048	0.4596853684641945	0.4728192361346001
