event_rate_target	odds_ratio_per_latent_sd	missing_rate	molecular_repeats	measurement_reliability_per_repeat	label_noise	alpha	minimum_n_reaching_80pct	power_at_largest_n	largest_n_simulated
0.15	1.25	0.0	1	0.7	0.0	0.05	not_reached	0.16666666666666666	240
0.15	1.25	0.0	2	0.7	0.0	0.05	not_reached	0.18933333333333333	240
0.15	1.25	0.2	1	0.7	0.0	0.05	not_reached	0.13933333333333334	240
0.15	1.25	0.2	2	0.7	0.0	0.05	not_reached	0.15466666666666667	240
0.15	1.5	0.0	1	0.7	0.0	0.05	not_reached	0.44533333333333336	240
0.15	1.5	0.0	2	0.7	0.0	0.05	not_reached	0.5086666666666667	240
0.15	1.5	0.2	1	0.7	0.0	0.05	not_reached	0.35733333333333334	240
0.15	1.5	0.2	2	0.7	0.0	0.05	not_reached	0.43866666666666665	240
0.15	2.0	0.0	1	0.7	0.0	0.05	240	0.8746666666666667	240
0.15	2.0	0.0	2	0.7	0.0	0.05	240	0.9026666666666666	240
0.15	2.0	0.2	1	0.7	0.0	0.05	not_reached	0.7586666666666667	240
0.15	2.0	0.2	2	0.7	0.0	0.05	240	0.834	240
0.3	1.25	0.0	1	0.7	0.0	0.05	not_reached	0.24066666666666667	240
0.3	1.25	0.0	2	0.7	0.0	0.05	not_reached	0.2833333333333333	240
0.3	1.25	0.2	1	0.7	0.0	0.05	not_reached	0.212	240
0.3	1.25	0.2	2	0.7	0.0	0.05	not_reached	0.254	240
0.3	1.5	0.0	1	0.7	0.0	0.05	not_reached	0.6513333333333333	240
0.3	1.5	0.0	2	0.7	0.0	0.05	not_reached	0.7233333333333334	240
0.3	1.5	0.2	1	0.7	0.0	0.05	not_reached	0.5553333333333333	240
0.3	1.5	0.2	2	0.7	0.0	0.05	not_reached	0.608	240
0.3	2.0	0.0	1	0.7	0.0	0.05	160	0.97	240
0.3	2.0	0.0	2	0.7	0.0	0.05	120	0.9753333333333334	240
0.3	2.0	0.2	1	0.7	0.0	0.05	160	0.9313333333333333	240
0.3	2.0	0.2	2	0.7	0.0	0.05	160	0.9573333333333334	240
