seed	n_requested	event_rate_target	odds_ratio_per_latent_sd	missing_rate	molecular_repeats	measurement_reliability_per_repeat	label_noise	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	median_usable_n	median_events	conclusive_count	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	median_fitted_log_odds_per_observed_sd
54701	40	0.15	1.0	0.0	1	0.7	0.0	0.05	500	375	0.75	40.0	6.0	9	0.018	0.009498193296197078	0.033851670908739286	0.008232130960500388
54701	40	0.15	1.0	0.0	2	0.7	0.0	0.05	500	357	0.714	40.0	6.0	11	0.022	0.012328008269927582	0.03896086121131637	-0.03604503901424584
54701	40	0.15	1.0	0.2	1	0.7	0.0	0.05	500	246	0.492	32.0	4.0	9	0.018	0.009498193296197078	0.033851670908739286	-0.04769506069443176
54701	40	0.15	1.0	0.2	2	0.7	0.0	0.05	500	280	0.56	32.0	5.0	10	0.02	0.010899183596210813	0.036420183246879345	0.019344698072766956
54701	40	0.15	1.25	0.0	1	0.7	0.0	0.05	500	352	0.704	40.0	6.0	20	0.04	0.026040797389777257	0.060973595834850805	0.1809303823372347
54701	40	0.15	1.25	0.0	2	0.7	0.0	0.05	500	383	0.766	40.0	6.0	18	0.036	0.02289106098029272	0.056184326968027755	0.17930895300960695
54701	40	0.15	1.25	0.2	1	0.7	0.0	0.05	500	258	0.516	32.0	5.0	10	0.02	0.010899183596210813	0.036420183246879345	0.201891724559548
54701	40	0.15	1.25	0.2	2	0.7	0.0	0.05	500	263	0.526	32.0	5.0	9	0.018	0.009498193296197078	0.033851670908739286	0.23002714114464173
54701	40	0.15	1.5	0.0	1	0.7	0.0	0.05	500	382	0.764	40.0	6.0	39	0.078	0.05758139347616159	0.10485354987338852	0.3725816430029826
54701	40	0.15	1.5	0.0	2	0.7	0.0	0.05	500	366	0.732	40.0	6.0	39	0.078	0.05758139347616159	0.10485354987338852	0.39357909431856164
54701	40	0.15	1.5	0.2	1	0.7	0.0	0.05	500	268	0.536	32.0	5.0	22	0.044	0.02923395562860718	0.06571944287232845	0.39340987182295695
54701	40	0.15	1.5	0.2	2	0.7	0.0	0.05	500	277	0.554	32.0	5.0	20	0.04	0.026040797389777257	0.060973595834850805	0.3475789343579936
54701	40	0.15	2.0	0.0	1	0.7	0.0	0.05	500	370	0.74	40.0	6.0	79	0.158	0.1286526978644355	0.19256235101126623	0.634238836268295
54701	40	0.15	2.0	0.0	2	0.7	0.0	0.05	500	363	0.726	40.0	6.0	78	0.156	0.126830791403845	0.19041475483370296	0.6261171677326017
54701	40	0.15	2.0	0.2	1	0.7	0.0	0.05	500	252	0.504	32.0	5.0	48	0.096	0.07317350466541904	0.12498696242751521	0.6276148606200386
54701	40	0.15	2.0	0.2	2	0.7	0.0	0.05	500	253	0.506	32.0	5.0	43	0.086	0.06447314240360771	0.11383981149855754	0.6783036696524888
54701	40	0.3	1.0	0.0	1	0.7	0.0	0.05	500	499	0.998	40.0	12.0	17	0.034	0.02133451980853219	0.053771365501634506	-0.014610884265359482
54701	40	0.3	1.0	0.0	2	0.7	0.0	0.05	500	499	0.998	40.0	12.0	22	0.044	0.02923395562860718	0.06571944287232845	0.0066476612840401786
54701	40	0.3	1.0	0.2	1	0.7	0.0	0.05	500	489	0.978	32.0	9.0	16	0.032	0.019791513626571118	0.051344869045441784	-0.032624973374606916
54701	40	0.3	1.0	0.2	2	0.7	0.0	0.05	500	487	0.974	32.0	9.0	24	0.048	0.03246520694135317	0.07042719683589006	0.03535200460208582
54701	40	0.3	1.25	0.0	1	0.7	0.0	0.05	500	498	0.996	40.0	12.0	31	0.062	0.044019209142681565	0.08665971310163822	0.18243975956327751
54701	40	0.3	1.25	0.0	2	0.7	0.0	0.05	500	499	0.998	40.0	12.0	31	0.062	0.044019209142681565	0.08665971310163822	0.19895759645496622
54701	40	0.3	1.25	0.2	1	0.7	0.0	0.05	500	486	0.972	32.0	9.0	18	0.036	0.02289106098029272	0.056184326968027755	0.20859707413155432
54701	40	0.3	1.25	0.2	2	0.7	0.0	0.05	500	491	0.982	32.0	10.0	24	0.048	0.03246520694135317	0.07042719683589006	0.19501477990568825
