n_requested	event_rate_target	odds_ratio_per_latent_sd	missing_rate	molecular_repeats	measurement_reliability_per_repeat	label_noise	alpha	n_simulated_cohorts	n_valid_fits	valid_fit_rate	median_usable_n_across_seeds	median_events_across_seeds	conclusive_probability	conclusive_probability_ci_low	conclusive_probability_ci_high	minimum_seed_probability	maximum_seed_probability
40	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1102	0.7346666666666667	40.0	6.0	0.020666666666666667	0.014597274166911008	0.029184906750169652	0.016	0.028
40	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1116	0.744	40.0	6.0	0.024666666666666667	0.017948070059721124	0.033813675411598076	0.022	0.03
40	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	776	0.5173333333333333	32.0	5.0	0.017333333333333333	0.011855871598742648	0.02527667218980588	0.016	0.018
40	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	802	0.5346666666666666	32.0	5.0	0.014	0.009174941314692178	0.02130796534532423	0.01	0.02
40	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1495	0.9966666666666667	40.0	12.0	0.036	0.027695588043697456	0.04667492366463097	0.03	0.044
40	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1496	0.9973333333333333	40.0	12.0	0.04733333333333333	0.03769502441859292	0.059284253526744726	0.044	0.054
40	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1473	0.982	32.0	10.0	0.037333333333333336	0.028861071509391153	0.04816929505035013	0.032	0.04
40	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1467	0.978	32.0	9.0	0.036	0.027695588043697456	0.04667492366463097	0.026	0.048
60	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1433	0.9553333333333334	60.0	9.0	0.04	0.031201530510343935	0.05114854575222304	0.036	0.044
60	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1448	0.9653333333333334	60.0	9.0	0.043333333333333335	0.03414340356776986	0.054856309823329244	0.034	0.052
60	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1294	0.8626666666666667	48.0	7.0	0.030666666666666665	0.02306947388821145	0.04066161841446556	0.028	0.032
60	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1323	0.882	48.0	7.0	0.034666666666666665	0.026533490787242278	0.0451771660696733	0.026	0.04
60	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	60.0	18.0	0.04133333333333333	0.032376206722410705	0.05263372439156912	0.03	0.058
60	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	60.0	18.0	0.03666666666666667	0.028277917491892006	0.04742252164214284	0.032	0.046
60	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1499	0.9993333333333333	48.0	14.0	0.04666666666666667	0.03710158016621855	0.05854777035341267	0.036	0.054
60	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	48.0	14.0	0.042	0.03296459689144124	0.05337526164824502	0.03	0.05
80	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1487	0.9913333333333333	80.0	12.0	0.04666666666666667	0.03710158016621855	0.05854777035341267	0.036	0.062
80	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1492	0.9946666666666667	80.0	12.0	0.038	0.029445029308207155	0.04891526467724054	0.036	0.04
80	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1456	0.9706666666666667	64.0	9.0	0.04066666666666666	0.031788512536601546	0.05189149115167184	0.038	0.044
80	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1437	0.958	64.0	10.0	0.04066666666666666	0.031788512536601546	0.05189149115167184	0.036	0.046
80	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	80.0	24.0	0.043333333333333335	0.03414340356776986	0.054856309823329244	0.032	0.058
80	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	80.0	24.0	0.035333333333333335	0.027114104896545657	0.045926479386076344	0.032	0.04
80	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	64.0	19.0	0.046	0.03650872245690122	0.05781070063702358	0.044	0.05
80	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	64.0	19.0	0.03866666666666667	0.030029770987519036	0.049660450423635094	0.036	0.042
120	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	120.0	18.0	0.05333333333333334	0.04306062753158088	0.0658879972451146	0.052	0.056
120	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	120.0	18.0	0.05	0.040074440990789065	0.062224546657374286	0.046	0.056
120	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1499	0.9993333333333333	96.0	14.0	0.05333333333333334	0.04306062753158088	0.0658879972451146	0.046	0.058
120	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1499	0.9993333333333333	96.0	14.0	0.04733333333333333	0.03769502441859292	0.059284253526744726	0.042	0.054
120	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	120.0	36.0	0.042	0.03296459689144124	0.05337526164824502	0.036	0.052
120	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	120.0	36.0	0.04466666666666667	0.03532481507788357	0.05633475316462838	0.03	0.062
120	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	96.0	29.0	0.043333333333333335	0.03414340356776986	0.054856309823329244	0.034	0.052
120	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	96.0	29.0	0.034666666666666665	0.026533490787242278	0.0451771660696733	0.026	0.046
160	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	160.0	24.0	0.048666666666666664	0.03888362661591451	0.06075550618083598	0.048	0.05
160	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	160.0	24.0	0.038	0.029445029308207155	0.04891526467724054	0.032	0.048
160	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	128.0	19.0	0.048	0.03828904363175826	0.06002016173928581	0.038	0.06
160	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	128.0	19.0	0.05266666666666667	0.042462382108623964	0.06515631524236508	0.038	0.068
160	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	160.0	48.0	0.042666666666666665	0.03355366749284015	0.054116118472552516	0.036	0.048
160	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	160.0	48.0	0.048666666666666664	0.03888362661591451	0.06075550618083598	0.038	0.06
160	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	128.0	38.0	0.037333333333333336	0.028861071509391153	0.04816929505035013	0.034	0.04
160	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	128.0	38.0	0.04933333333333333	0.03947876255528736	0.061490297667169555	0.044	0.056
240	0.15	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	240.0	35.0	0.044	0.03473379071821657	0.055595850098588945	0.036	0.048
240	0.15	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	240.0	36.0	0.05333333333333334	0.04306062753158088	0.0658879972451146	0.046	0.06
240	0.15	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	192.0	28.5	0.04666666666666667	0.03710158016621855	0.05854777035341267	0.042	0.054
240	0.15	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	192.0	29.0	0.04	0.031201530510343935	0.05114854575222304	0.028	0.046
240	0.3	1.0	0.0	1	0.7	0.0	0.05	1500	1500	1.0	240.0	72.0	0.05	0.040074440990789065	0.062224546657374286	0.046	0.054
240	0.3	1.0	0.0	2	0.7	0.0	0.05	1500	1500	1.0	240.0	72.0	0.06	0.04906852936100265	0.07317936967275707	0.056	0.064
240	0.3	1.0	0.2	1	0.7	0.0	0.05	1500	1500	1.0	193.0	58.0	0.05533333333333333	0.04485824885472669	0.06808015819908805	0.038	0.066
240	0.3	1.0	0.2	2	0.7	0.0	0.05	1500	1500	1.0	192.0	57.0	0.04733333333333333	0.03769502441859292	0.059284253526744726	0.038	0.058
