resource	label	query	status	count	top_hits	url
NCBI pubmed	FXYD5_perturbation_pubmed	FXYD5[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	200	40	40972883: USP11 stabilizes RALY to promote FXYD5-mediated aerobic glycolysis and aggravate pancreatic cancer progression. (Exp Cell Res) | 40912610: Fxyd5 downregulation protects the heart from ischemia/reperfusion injury by suppressing myocardial inflammation. (Transpl Immunol) | 39613801: The dysadherin/MMP9 axis modifies the extracellular matrix to accelerate colorectal cancer progression. (Nat Commun) | 39532790: Circ_0001068 accelerates the development of ovarian cancer by promoting FXYD5 expression through inhibiting mir-149-5p activity. (Discov Oncol) | 38155284: miR-1180 Targets FXYD5 to Regulate Pancreatic Cancer Cells Migration and Invasion. (Mol Biotechnol)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=FXYD5%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=5
NCBI pubmed	FXYD5_perturbation_immune_pubmed	FXYD5[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation) AND (immune OR macrophage OR monocyte OR stromal OR epithelial OR autoimmune OR inflammation OR inflammatory)	200	18	40912610: Fxyd5 downregulation protects the heart from ischemia/reperfusion injury by suppressing myocardial inflammation. (Transpl Immunol) | 38155284: miR-1180 Targets FXYD5 to Regulate Pancreatic Cancer Cells Migration and Invasion. (Mol Biotechnol) | 36621663: Generation of the novel anti-FXYD5 monoclonal antibody and its application to the diagnosis of pancreatic and lung cancer. (Biochimie) | 35191523: Fxyd5 activates the NF‑κB pathway and is involved in chondrocytes inflammation and extracellular matrix degradation. (Mol Med Rep) | 35042436: FXYD domain containing ion transport regulator 5 (FXYD5) silencing promotes cell viability and alleviates inflammatory response in cerulein-induced AR42J cells by blocking JAK2/STAT3 signaling pathway. (Bioengineered)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=FXYD5%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29+AND+%28immune+OR+macrophage+OR+monocyte+OR+stromal+OR+epithelial+OR+autoimmune+OR+inflammation+OR+inflammatory%29&retmode=json&retmax=5
Europe PMC	FXYD5_perturbation_europepmc	"""FXYD5"" AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	200	413	41457101: Dysadherin/YAP axis fuels stem plasticity and immune escape in liver cancer. (2025) | PMC12910405: SIX2‐Mediated Microglial M2 Polarization and Exosomal miR‐3470b Delivery Protect Dopaminergic Neurons in Parkinson's Disease (2026) | 41535258: The dysadherin/carbonic anhydrase 9 axis shapes an acidic tumor microenvironment to promote colorectal cancer progression. (2026) | 40972883: USP11 stabilizes RALY to promote FXYD5-mediated aerobic glycolysis and aggravate pancreatic cancer progression. (2025) | PPR1054220: FXYD5 promotes the growth of glioblastoma by targeting the PI3K/AKT/ACSL4 signaling axis (2025)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22FXYD5%22+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=5&resultType=lite
Europe PMC	FXYD5_immune_perturbation_europepmc	"""FXYD5"" AND (immune OR macrophage OR monocyte OR stromal OR epithelial OR autoimmune OR inflammation OR inflammatory) AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	200	366	41457101: Dysadherin/YAP axis fuels stem plasticity and immune escape in liver cancer. (2025) | 41630949: The functions of FXYD family members in human health and disease. (2026) | 41704487: Integrative multi-omics Mendelian randomization and functional validation identifies RNASET2 as a novel therapeutic target for autoimmune thyroiditis. (2026) | 41535258: The dysadherin/carbonic anhydrase 9 axis shapes an acidic tumor microenvironment to promote colorectal cancer progression. (2026) | PMC12910405: SIX2‐Mediated Microglial M2 Polarization and Exosomal miR‐3470b Delivery Protect Dopaminergic Neurons in Parkinson's Disease (2026)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22FXYD5%22+AND+%28immune+OR+macrophage+OR+monocyte+OR+stromal+OR+epithelial+OR+autoimmune+OR+inflammation+OR+inflammatory%29+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=5&resultType=lite
LINCS Data Portal entity API	FXYD5_entity_search	FXYD5	200	0		https://lincsportal.ccs.miami.edu/dcic/api/fetchentities?searchTerm=FXYD5
SigCom LINCS metadata API	FXYD5_entity_find	FXYD5	500	0	"{""error"":{""statusCode"":500,""message"":""Internal Server Error""}}"	https://maayanlab.cloud/sigcom-lincs/metadata-api/entities/find?search=FXYD5
ChEMBL target search	FXYD5_target	FXYD5	200	0		https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=FXYD5&limit=10
NCBI gds	dysadherin_perturbation_geo	dysadherin[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	200	0		https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=dysadherin%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=5
NCBI pubmed	dysadherin_perturbation_pubmed	dysadherin[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	200	24	41457101: Dysadherin/YAP axis fuels stem plasticity and immune escape in liver cancer. (Signal Transduct Target Ther) | 39613801: The dysadherin/MMP9 axis modifies the extracellular matrix to accelerate colorectal cancer progression. (Nat Commun) | 35673579: Dysadherin awakens mechanical forces and promotes colorectal cancer progression. (Theranostics) | 35371992: Displacement of Native FXYD Protein From Na(+)/K(+)-ATPase With Novel FXYD Peptide Derivatives: Effects on Doxorubicin Cytotoxicity. (Front Oncol) | 31867269: FXYD5/Dysadherin, a Biomarker of Endometrial Cancer Myometrial Invasion and Aggressiveness: Its Relationship With TGF-β1 and NF-κB Pathways. (Front Oncol)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=dysadherin%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=5
Europe PMC	dysadherin_perturbation_europepmc	"""dysadherin"" AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	200	121	41457101: Dysadherin/YAP axis fuels stem plasticity and immune escape in liver cancer. (2025) | 41535258: The dysadherin/carbonic anhydrase 9 axis shapes an acidic tumor microenvironment to promote colorectal cancer progression. (2026) | 39613801: The dysadherin/MMP9 axis modifies the extracellular matrix to accelerate colorectal cancer progression. (2024) | 38725858: The dysadherin/FAK axis promotes individual cell migration in colon cancer. (2024) | 40292544: Dysadherin expression in prostatic adenocarcinoma and its relationship with E-cadherin and β-catenin. (2025)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22dysadherin%22+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=5&resultType=lite
NCBI gds	RIC_perturbation_geo	RIC[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	200	25	200255527: Remote limb ischemic conditioning alleviates nonalcoholic steatohepatitis via extracellular vesicle-mediated muscle-liver crosstalk [hEV_RNAseq] | 200255526: Remote limb ischemic conditioning alleviates nonalcoholic steatohepatitis via extracellular vesicle-mediated muscle-liver crosstalk [miR_181_RNAseq] | 200255525: Remote limb ischemic conditioning alleviates nonalcoholic steatohepatitis via extracellular vesicle-mediated muscle-liver crosstalk [EV miRNA] | 200255524: Remote limb ischemic conditioning alleviates nonalcoholic steatohepatitis via extracellular vesicle-mediated muscle-liver crosstalk [RIC Sham] | 200243723: mTORC2-mediated cell-cell interaction promote BMP4-induced WNT activation and mesoderm differentiation	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=gds&term=RIC%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=5
NCBI pubmed	RIC_perturbation_pubmed	RIC[All Fields] AND (knockdown OR knockout OR knock-out OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)	200	131	41904951: RNA binding as an emerging regulatory dimension in the type I IFN response. (Cell Rep) | 41899479: Human Endogenous Retroviruses and Epigenetic Regulators Are Dysregulated in Beckwith-Wiedemann Syndrome. (Curr Issues Mol Biol) | 41873761: Unraveling the molecular mechanisms of vimentin interaction with G-quadruplex repeats. (Nucleic Acids Res) | 41841563: N4-acetylcytidine in LncRNA Gm26917 Promotes Translation in Female Germline Stem Cells by Recruiting Ribosomal Protein mRNA via EEF1A1. (Adv Sci (Weinh)) | 41828687: One-Step Multiplex PCR Reveals Selective Activation of Immunostimulatory Human Endogenous Retroviruses and Epigenetic Imbalance in Systemic Lupus Erythematosus. (Int J Mol Sci)	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=RIC%5BAll+Fields%5D+AND+%28knockdown+OR+knockout+OR+knock-out+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&retmode=json&retmax=5
Europe PMC	RIC_perturbation_europepmc	"""RIC"" AND (knockdown OR knockout OR CRISPR OR siRNA OR shRNA OR overexpression OR perturbation)"	200	3642	41547689: Long non-coding RNAs and therapeutic resistance in multiple myeloma: from molecular insights to clinical applications. (2026) | 41858895: JAK/STAT-mediated regulation of PD-L1 expression in breast cancer: Molecular mechanisms and implications for immunotherapy. (2026) | 39236288: Nicotine-Induced Endoplasmic Reticulum Stress and Airway Smooth Muscle Cell Proliferation Is Mediated by α7nAChR and Chaperones-RIC-3 and TMEM35. (2025) | 42038368: AMPK/mTORC2/AKT-473/RUNX2 signaling axis modulates epithelial-mesenchymal transition and bone tropism in breast cancer. (2026) | 40102876: Lactate accumulation induces H4K12la to activate super-enhancer-driven RAD23A expression and promote niraparib resistance in ovarian cancer. (2025)	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22RIC%22+AND+%28knockdown+OR+knockout+OR+CRISPR+OR+siRNA+OR+shRNA+OR+overexpression+OR+perturbation%29&format=json&pageSize=5&resultType=lite
