path	check_type	pattern	status	detail
docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md	required_guard	may_score_now=no	PASS	found
docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md	required_guard	Do not open expression matrices	PASS	found
docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md	required_guard	Stop before scoring	PASS	found
docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md	required_guard	no validation has occurred until	PASS	found
docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md	forbidden_shortcut	\bscore immediately\b	PASS	absent
docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md	forbidden_shortcut	\brun (?:the )?harness immediately\b	PASS	absent
docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md	forbidden_shortcut	\bskip (?:the )?(?:preflight|checksum|subject-map|subject map|terms|gate|gates)\b	PASS	absent
docs/validation/FIRST_24H_RECEIVED_DATA_OPERATOR_CHECKLIST_V45.md	forbidden_shortcut	\bbypass (?:the )?(?:preflight|checksum|subject-map|subject map|terms|gate|gates)\b	PASS	absent
docs/validation/HARNESS_READY_DECISION_TEMPLATE_V45.md	required_guard	The harness may run only if every required gate	PASS	found
docs/validation/HARNESS_READY_DECISION_TEMPLATE_V45.md	required_guard	harness_ready=no	PASS	found
docs/validation/HARNESS_READY_DECISION_TEMPLATE_V45.md	required_guard	no validation has occurred	PASS	found
docs/validation/HARNESS_READY_DECISION_TEMPLATE_V45.md	forbidden_shortcut	\bscore immediately\b	PASS	absent
docs/validation/HARNESS_READY_DECISION_TEMPLATE_V45.md	forbidden_shortcut	\brun (?:the )?harness immediately\b	PASS	absent
docs/validation/HARNESS_READY_DECISION_TEMPLATE_V45.md	forbidden_shortcut	\bskip (?:the )?(?:preflight|checksum|subject-map|subject map|terms|gate|gates)\b	PASS	absent
docs/validation/HARNESS_READY_DECISION_TEMPLATE_V45.md	forbidden_shortcut	\bbypass (?:the )?(?:preflight|checksum|subject-map|subject map|terms|gate|gates)\b	PASS	absent
docs/validation/VALIDATION_COMMAND_RUNNER_V45.md	required_guard	does not open quarantined data	PASS	found
docs/validation/VALIDATION_COMMAND_RUNNER_V45.md	required_guard	before any frozen harness can run	PASS	found
docs/validation/VALIDATION_COMMAND_RUNNER_V45.md	required_guard	A cohort remains blocked if any generated command fails	PASS	found
docs/validation/VALIDATION_COMMAND_RUNNER_V45.md	forbidden_shortcut	\bscore immediately\b	PASS	absent
docs/validation/VALIDATION_COMMAND_RUNNER_V45.md	forbidden_shortcut	\brun (?:the )?harness immediately\b	PASS	absent
