score	genes	auc	exact_p
full_ifn_stat	STAT1,IRF1,GBP1,ISG15	0.95	0.031746031746031744
omit_STAT1	IRF1,GBP1,ISG15	0.95	0.031746031746031744
omit_IRF1	STAT1,GBP1,ISG15	0.85	0.1111111111111111
omit_GBP1	STAT1,IRF1,ISG15	0.95	0.031746031746031744
omit_ISG15	STAT1,IRF1,GBP1	0.95	0.031746031746031744
single_STAT1	STAT1	1.0	0.015873015873015872
single_IRF1	IRF1	0.9	0.06349206349206349
single_GBP1	GBP1	0.85	0.1111111111111111
single_ISG15	ISG15	0.85	0.1111111111111111
