compartment	feature	n	responders	nonresponders	oriented_auc	exact_p
epithelial_like	delta_CD74	9	5	4	1.0	0.015873015873015872
t_cell_like	delta_CD74	9	5	4	1.0	0.015873015873015872
b_plasma_like	delta_CD74	9	5	4	0.8	0.19047619047619047
stromal_endothelial_like	delta_CD74	9	5	4	0.65	0.5555555555555556
myeloid_apc_like	delta_CD74	9	5	4	0.5	1.0
b_plasma_like	delta_GBP1	9	5	4	0.85	0.1111111111111111
epithelial_like	delta_GBP1	9	5	4	0.8	0.19047619047619047
myeloid_apc_like	delta_GBP1	9	5	4	0.8	0.19047619047619047
stromal_endothelial_like	delta_GBP1	9	5	4	0.75	0.2857142857142857
t_cell_like	delta_GBP1	9	5	4	0.7	0.4126984126984127
epithelial_like	delta_HLA-DRA	9	5	4	0.9	0.06349206349206349
b_plasma_like	delta_HLA-DRA	9	5	4	0.7	0.4126984126984127
myeloid_apc_like	delta_HLA-DRA	9	5	4	0.6	0.7301587301587301
stromal_endothelial_like	delta_HLA-DRA	9	5	4	0.6	0.7301587301587301
t_cell_like	delta_HLA-DRA	9	5	4	0.5	1.0
epithelial_like	delta_HLAII	9	5	4	0.8	0.19047619047619047
b_plasma_like	delta_HLAII	9	5	4	0.7	0.4126984126984127
myeloid_apc_like	delta_HLAII	9	5	4	0.6	0.7301587301587301
stromal_endothelial_like	delta_HLAII	9	5	4	0.55	0.9047619047619048
t_cell_like	delta_HLAII	9	5	4	0.55	0.9047619047619048
t_cell_like	delta_IFN_APC	9	5	4	1.0	0.015873015873015872
b_plasma_like	delta_IFN_APC	9	5	4	0.95	0.031746031746031744
epithelial_like	delta_IFN_APC	9	5	4	0.9	0.06349206349206349
myeloid_apc_like	delta_IFN_APC	9	5	4	0.8	0.19047619047619047
stromal_endothelial_like	delta_IFN_APC	9	5	4	0.75	0.2857142857142857
epithelial_like	delta_IRF1	9	5	4	1.0	0.015873015873015872
b_plasma_like	delta_IRF1	9	5	4	0.9	0.06349206349206349
myeloid_apc_like	delta_IRF1	9	5	4	0.9	0.06349206349206349
stromal_endothelial_like	delta_IRF1	9	5	4	0.75	0.2857142857142857
t_cell_like	delta_IRF1	9	5	4	0.7	0.4126984126984127
stromal_endothelial_like	delta_ISG15	9	5	4	0.95	0.031746031746031744
b_plasma_like	delta_ISG15	9	5	4	0.85	0.1111111111111111
myeloid_apc_like	delta_ISG15	9	5	4	0.85	0.1111111111111111
epithelial_like	delta_ISG15	9	5	4	0.8	0.19047619047619047
t_cell_like	delta_ISG15	9	5	4	0.6	0.7301587301587301
b_plasma_like	delta_STAT1	9	5	4	1.0	0.015873015873015872
myeloid_apc_like	delta_STAT1	9	5	4	1.0	0.015873015873015872
epithelial_like	delta_STAT1	9	5	4	0.95	0.031746031746031744
stromal_endothelial_like	delta_STAT1	9	5	4	0.9	0.06349206349206349
t_cell_like	delta_STAT1	9	5	4	0.9	0.06349206349206349
t_cell_like	locked_signed_score	9	5	4	1.0	0.015873015873015872
b_plasma_like	locked_signed_score	9	5	4	0.95	0.031746031746031744
epithelial_like	locked_signed_score	9	5	4	0.9	0.06349206349206349
myeloid_apc_like	locked_signed_score	9	5	4	0.8	0.19047619047619047
stromal_endothelial_like	locked_signed_score	9	5	4	0.75	0.2857142857142857
