gene	wave	channel	source_path	source_row_index	call_text	status	source_numeric_score	source_score_percentile	channel_points	blocker_text	evidence_text
4732456N10RIK	wave38	crispr_state_druggability	results_v3/wave38_crispr_state_druggability_rescue/crispr_state_druggability_rescue_rank.tsv	65	NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	hard_no	0.674675914375128	0.07065217391304347	-0.34793478260869565	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	inhibit_or_reduce; 0.0; 0.9971256078463696
A4GNT	wave38	crispr_state_druggability	results_v3/wave38_crispr_state_druggability_rescue/crispr_state_druggability_rescue_rank.tsv	164	NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	hard_no	1.2692881251523025	0.28804347826086957	-0.12619565217391301	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;prior_art_or_trial_crowded;screen_wilcoxon_fdr_not_significant	inhibit_or_reduce; 0.0; 0.0; -0.3152428595482235; 1.0
ABCA1	wave25	causal_proxy	results_v3/wave25_causal_genetics_module_proxy/causal_proxy_candidate_matrix.tsv	163	NO_GO_CAUSAL_PROXY	hard_no	0.0	0.03640776699029126	-0.35095873786407766	no_target_resolved_coloc_or_mr; Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	0; 0; 0; 0; 0
ABCA1	wave38	crispr_state_druggability	results_v3/wave38_crispr_state_druggability_rescue/crispr_state_druggability_rescue_rank.tsv	92	NO_GO_CRISPR_RESCUE; UNRESOLVED	hard_no	3.0	0.4320652173913043	0.020706521739130457	screen_direction_unresolved;insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	unresolved; 0.0; 0.0; 0.6056046515502906; 0.9971256078463696
ABCG1	wave25	causal_proxy	results_v3/wave25_causal_genetics_module_proxy/causal_proxy_candidate_matrix.tsv	198	NO_GO_CAUSAL_PROXY	hard_no	2.0	0.24757281553398058	-0.15351941747572817	no_target_resolved_coloc_or_mr; Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates.	0; 0; 0; 0; 0
ABCG1	wave38	crispr_state_druggability	results_v3/wave38_crispr_state_druggability_rescue/crispr_state_druggability_rescue_rank.tsv	72	NO_GO_CRISPR_RESCUE; UNRESOLVED	hard_no	6.0	0.7554347826086957	0.3505434782608696	screen_direction_unresolved;insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	unresolved; 0.0; 0.0; 0.8150581476256988; 0.920009505703422
ABCG2	wave61	perturbation_guardrail	results_v3/wave61_perturbation_first_guardrail/intervention_evidence_tiers.tsv	311	PARK_L1000_ONLY_NEEDS_REAL_PERTURBATION; l1000_reversal_support_only; L1000FWD	parked	4.080928585016225	0.7215189873417721	1.3291139240506329	non-obvious target requires prior-art and safety review	LINCS/L1000FWD; cell-line transcriptomic reversal
ABTB2	wave38	crispr_state_druggability	results_v3/wave38_crispr_state_druggability_rescue/crispr_state_druggability_rescue_rank.tsv	5	NO_GO_CRISPR_RESCUE; KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	hard_no	8.0	0.8369565217391305	0.43369565217391304	insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	inhibit_or_reduce; 2.0; 2.0; type 1 diabetes mellitus;ulcerative colitis; -0.1477415366285122; 0.920009505703422
ACSL1	wave25	causal_proxy	results_v3/wave25_causal_genetics_module_proxy/causal_proxy_candidate_matrix.tsv	162	NO_GO_CAUSAL_PROXY	hard_no	2.5	0.308252427184466	-0.09678398058252427	no_target_resolved_coloc_or_mr; Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	0; 0; 0; 0; 2
ACSL3	wave25	causal_proxy	results_v3/wave25_causal_genetics_module_proxy/causal_proxy_candidate_matrix.tsv	108	NO_GO_CAUSAL_PROXY	hard_no	4.5	0.691747572815534	0.2617839805825244	no_target_resolved_coloc_or_mr; Does not pass broad genetics, target-resolved causality, module-state, and perturbation gates. Perturbation/foundation evidence is contradicted or marked do-not-promote.	0; 0; 0; 2; 3
