allocation	site_shares	gross_total	inflation_over_450	minimum_seed_probability	minimum_seed_ci_low	reference_counts_reached	transport_reference_status	verdict
balanced_in_expectation	0.33/0.33/0.33	690	1.5333333333333334	0.9308	0.9234295221569059	True	BALANCED_IN_EXPECTATION_NOT_FIXED_QUOTA	ARITHMETIC_FLOORS_REACHED_BUT_TRANSPORT_NOT_ESTABLISHED
moderate_45_35_20	0.45/0.35/0.20	1035	2.3	0.9326	0.9253133309704897	True	OUTSIDE_TESTED_BALANCED_REFERENCE	ARITHMETIC_FLOORS_REACHED_BUT_TRANSPORT_NOT_ESTABLISHED
severe_60_30_10	0.60/0.30/0.10	2055	4.566666666666666	0.9126	0.9044516951132003	True	OUTSIDE_TESTED_BALANCED_REFERENCE	ARITHMETIC_FLOORS_REACHED_BUT_TRANSPORT_NOT_ESTABLISHED
