followup_loss	score_missing	confirmation_loss	event_probability	gross_per_site	gross_total	inflation_over_450	expected_analyzable_total	expected_confirmed_events_total	minimum_seed_probability	minimum_seed_ci_low	reference_counts_reached	verdict
0.0	0.0	0.0	0.15	335	1005	2.2333333333333334	1005.0	150.75	0.924	0.9163248647722884	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.0	0.0	0.3	165	495	1.1	495.0	148.5	0.914	0.9059075036390422	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.0	0.1	0.15	375	1125	2.5	1125.0	151.875	0.9316	0.9242665987345867	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.0	0.1	0.3	185	555	1.2333333333333334	555.0	149.85000000000002	0.9304	0.9230110854228204	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.0	0.2	0.15	420	1260	2.8	1260.0	151.2	0.9268	0.9192481072008191	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.0	0.2	0.3	210	630	1.4	630.0	151.2	0.9356	0.9284561911432091	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.1	0.0	0.15	370	1110	2.466666666666667	999.0	149.85	0.9108	0.9025808223141376	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.1	0.0	0.3	185	555	1.2333333333333334	499.5	149.85	0.9268	0.9192481072008191	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.1	0.1	0.15	415	1245	2.7666666666666666	1120.5	151.2675	0.9276	0.9200838747620169	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.1	0.1	0.3	205	615	1.3666666666666667	553.5	149.44500000000002	0.9176	0.9096538645554316	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.1	0.2	0.15	465	1395	3.1	1255.5	150.66	0.9198	0.91194541020641	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.1	0.2	0.3	230	690	1.5333333333333334	621.0	149.04	0.9084	0.9000878237859453	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.2	0.0	0.15	420	1260	2.8	1008.0	151.2	0.9242	0.9165335695999792	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.2	0.0	0.3	210	630	1.4	504.0	151.2	0.9354	0.9282465394943835	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.2	0.1	0.15	465	1395	3.1	1116.0	150.66	0.9178	0.9098621195881682	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.2	0.1	0.3	235	705	1.5666666666666667	564.0	152.28	0.9442	0.9374900221191309	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.2	0.2	0.15	525	1575	3.5	1260.0	151.2	0.9216	0.9138215488513559	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.0	0.2	0.2	0.3	260	780	1.7333333333333334	624.0	149.76	0.916	0.9079882987757564	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.0	0.0	0.15	370	1110	2.466666666666667	999.0	149.85	0.9156	0.9075720375618348	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.0	0.0	0.3	185	555	1.2333333333333334	499.5	149.85	0.9254	0.9177861131143722	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.0	0.1	0.15	415	1245	2.7666666666666666	1120.5	151.2675	0.9282	0.9207108667371624	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.0	0.1	0.3	205	615	1.3666666666666667	553.5	149.44500000000002	0.9198	0.91194541020641	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
0.1	0.0	0.2	0.15	465	1395	3.1	1255.5	150.66	0.9168	0.9088209768009481	True	REFERENCE_COUNTS_REACHED_WITHIN_GRID
