followup_loss	score_missing	confirmation_loss	event_probability	seed	gross_per_site	gross_total	n_replicates	joint_target_count	joint_target_probability	joint_target_ci_low	joint_target_ci_high
0.0	0.0	0.0	0.15	54071	150	450	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	155	465	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	160	480	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	165	495	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	170	510	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	175	525	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	180	540	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	185	555	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	190	570	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	195	585	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	200	600	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	205	615	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	210	630	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	215	645	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	220	660	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	225	675	5000	0	0.0	0.0	0.0007677019450571244
0.0	0.0	0.0	0.15	54071	230	690	5000	5	0.001	0.00042721349110879964	0.002338953050058211
0.0	0.0	0.0	0.15	54071	235	705	5000	8	0.0016	0.0008109751397282834	0.0031542701591046594
0.0	0.0	0.0	0.15	54071	240	720	5000	21	0.0042	0.002748774410314672	0.006412478838403972
0.0	0.0	0.0	0.15	54071	245	735	5000	40	0.008	0.005880681725099648	0.010874736988836564
0.0	0.0	0.0	0.15	54071	250	750	5000	66	0.0132	0.010389448801641138	0.016757985812066483
0.0	0.0	0.0	0.15	54071	255	765	5000	117	0.0234	0.01956139679590935	0.027970376698119106
0.0	0.0	0.0	0.15	54071	260	780	5000	214	0.0428	0.03753187129513541	0.048770115363424835
0.0	0.0	0.0	0.15	54071	265	795	5000	323	0.0646	0.058115054348139225	0.07175346050561653
0.0	0.0	0.0	0.15	54071	270	810	5000	472	0.0944	0.08660417615817814	0.10281858365965219
0.0	0.0	0.0	0.15	54071	275	825	5000	726	0.1452	0.13570718619095035	0.15523757510926223
0.0	0.0	0.0	0.15	54071	280	840	5000	1037	0.2074	0.1963885570128633	0.2188607021653842
0.0	0.0	0.0	0.15	54071	285	855	5000	1392	0.2784	0.26615016999798924	0.2909900755040601
0.0	0.0	0.0	0.15	54071	290	870	5000	1694	0.3388	0.3258091918614725	0.352038315245614
0.0	0.0	0.0	0.15	54071	295	885	5000	2148	0.4296	0.4159382322204595	0.4433698602134046
0.0	0.0	0.0	0.15	54071	300	900	5000	2572	0.5144	0.5005409698681563	0.528236920315826
0.0	0.0	0.0	0.15	54071	305	915	5000	3010	0.602	0.5883590823008823	0.615484306502326
0.0	0.0	0.0	0.15	54071	310	930	5000	3369	0.6738	0.6606760481554435	0.6866570986484546
0.0	0.0	0.0	0.15	54071	315	945	5000	3737	0.7474	0.7351695966792693	0.7592505443983164
0.0	0.0	0.0	0.15	54071	320	960	5000	3995	0.799	0.7876643842477545	0.8098765299891014
0.0	0.0	0.0	0.15	54071	325	975	5000	4275	0.855	0.8449678488332374	0.8644870827857721
0.0	0.0	0.0	0.15	54071	330	990	5000	4518	0.9036	0.8951067425362234	0.9114735684537265
0.0	0.0	0.0	0.15	54071	335	1005	5000	4660	0.932	0.9246852396744477	0.938651465845023
0.0	0.0	0.0	0.15	54071	340	1020	5000	4769	0.9538	0.9476249036383626	0.9592783300763037
0.0	0.0	0.0	0.15	54071	345	1035	5000	4836	0.9672	0.9618932650037165	0.9717893942988222
0.0	0.0	0.0	0.15	54071	350	1050	5000	4884	0.9768	0.9722469007540413	0.9806210186711524
0.0	0.0	0.0	0.15	54071	355	1065	5000	4929	0.9858	0.9821277080958729	0.9887263926943096
0.0	0.0	0.0	0.15	54071	360	1080	5000	4958	0.9916	0.9886658498349266	0.9937793456126935
0.0	0.0	0.0	0.15	54071	365	1095	5000	4978	0.9956	0.9933466185850587	0.9970924352470009
0.0	0.0	0.0	0.15	54071	370	1110	5000	4990	0.998	0.996322115723667	0.9989132531390561
0.0	0.0	0.0	0.15	54071	375	1125	5000	4991	0.9982	0.9965823552896264	0.9990527064923188
0.0	0.0	0.0	0.15	54071	380	1140	5000	4997	0.9994	0.9982372939514713	0.9997959253458056
0.0	0.0	0.0	0.15	54071	385	1155	5000	4997	0.9994	0.9982372939514713	0.9997959253458056
0.0	0.0	0.0	0.15	54071	390	1170	5000	4997	0.9994	0.9982372939514713	0.9997959253458056
0.0	0.0	0.0	0.15	54071	395	1185	5000	4998	0.9996	0.9985426134985768	0.9998902987179225
0.0	0.0	0.0	0.15	54071	400	1200	5000	4999	0.9998	0.9988679109191605	0.9999646942165608
0.0	0.0	0.0	0.15	54071	405	1215	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	410	1230	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	415	1245	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	420	1260	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	425	1275	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	430	1290	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	435	1305	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	440	1320	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	445	1335	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	450	1350	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	455	1365	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	460	1380	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	465	1395	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	470	1410	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	475	1425	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	480	1440	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	485	1455	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	490	1470	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	495	1485	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	500	1500	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	505	1515	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	510	1530	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	515	1545	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	520	1560	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	525	1575	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	530	1590	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	535	1605	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	540	1620	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	545	1635	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	550	1650	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	555	1665	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	560	1680	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	565	1695	5000	5000	1.0	0.9992322980549431	1.0
0.0	0.0	0.0	0.15	54071	570	1710	5000	5000	1.0	0.9992322980549431	1.0
