gene	broad_tested_contexts	broad_positive_contexts	broad_positive_disease_count	broad_positive_diseases	broad_negative_contexts	broad_negative_disease_count	broad_specific_positive_contexts	broad_specific_positive_disease_count	best_broad_context	best_broad_delta	best_broad_p	best_broad_fdr
LILRA5	3	2	2	Crohn disease;ulcerative colitis	0	0	0	0	ulcerative colitis|colon myeloid	3.823198311319704	5.063652233345163e-06	0.0138257960579256
LILRB2	4	2	2	Crohn disease;ulcerative colitis	0	0	0	0	Crohn disease|colon myeloid	1.382927902896547	0.0003013440684522	0.0707039508712539
LILRA1	3	2	2	Crohn disease;ulcerative colitis	0	0	0	0	ulcerative colitis|colon myeloid	2.8814252489046344	0.0026135583331527	0.1444546492477762
LILRA2	10	2	2	Crohn disease;ulcerative colitis	0	0	0	0	ulcerative colitis|colon myeloid	2.6296235138601056	0.0063479330067912	0.1957964163758104
LILRB1	11	2	2	Crohn disease;ulcerative colitis	0	0	0	0	Crohn disease|colon myeloid	1.2685207059737822	0.0067444519845198	0.2022841929409326
LILRB3	14	2	2	Crohn disease;ulcerative colitis	0	0	0	0	ulcerative colitis|colon myeloid	1.687098638235085	0.0067757516671768	0.2006216494656879
LAIR1	14	2	1	type 1 diabetes mellitus	2	2	0	0	Crohn disease|colon myeloid	-0.8834440086786666	0.0046514946993377	0.173821630796644
LILRA6	3	1	1	Crohn disease	0	0	0	0	Crohn disease|colon myeloid	2.4197267311888675	0.0097940014978522	0.226244220983193
LILRA4	3	1	1	Sjogren syndrome	0	0	0	0	Sjogren syndrome|salivary gland APC	2.381846980674716	0.0109611062682423	0.941417255008202
CD300LF	8	1	1	psoriasis	0	0	0	0	psoriasis|skin APC	2.2457988966876004	0.0329241262330017	0.7297013371935511
SIGLEC10	12	0	0		0	0	0	0	type 1 diabetes mellitus|pancreatic beta cell	-0.2580292810238161	0.0070007835281223	0.2368293228537662
FCGR2B	12	0	0		1	1	0	0	ulcerative colitis|colon stromal	-1.9336392204694344	0.0088692330685497	0.2054788347710989
LILRB5	6	0	0		1	1	0	0	ulcerative colitis|colon myeloid	-3.2371692085789165	0.0169885057443839	0.2764327537810835
LILRB4	10	0	0		0	0	0	0	type 1 diabetes mellitus|pancreatic ductal cell	0.3284962767241583	0.0459972007873847	0.4707506789833656
CD300A	13	0	0		0	0	0	0	psoriasis|skin keratinocyte	-0.279963990845793	0.0803941779377561	0.4327782574887212
