axis	gate	passed	value_context
IFNG_IFNGR_JAK_STAT1_CIITA	cross_disease_support_gate	True	"{""best_genetics"": 1.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 2.0, ""best_residual_or_state"": 8.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
IFNG_IFNGR_JAK_STAT1_CIITA	residual_or_state_gate	True	"{""best_genetics"": 1.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 2.0, ""best_residual_or_state"": 8.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
IFNG_IFNGR_JAK_STAT1_CIITA	upstream_non_marker_gate	True	"{""best_genetics"": 1.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 2.0, ""best_residual_or_state"": 8.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
IFNG_IFNGR_JAK_STAT1_CIITA	target_causality_gate	True	"{""best_genetics"": 1.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 2.0, ""best_residual_or_state"": 8.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
IFNG_IFNGR_JAK_STAT1_CIITA	perturbation_or_model_gate	True	"{""best_genetics"": 1.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 2.0, ""best_residual_or_state"": 8.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
IFNG_IFNGR_JAK_STAT1_CIITA	druggable_correct_direction_gate	True	"{""best_genetics"": 1.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 2.0, ""best_residual_or_state"": 8.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
IFNG_IFNGR_JAK_STAT1_CIITA	selectivity_window_gate	False	"{""best_genetics"": 1.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 2.0, ""best_residual_or_state"": 8.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
IFNG_IFNGR_JAK_STAT1_CIITA	prior_art_not_blocking_gate	False	"{""best_genetics"": 1.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 2.0, ""best_residual_or_state"": 8.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
IFNG_IFNGR_JAK_STAT1_CIITA	low_directional_contradiction_gate	True	"{""best_genetics"": 1.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 2.0, ""best_residual_or_state"": 8.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
TNF_TNFR_NFKB	cross_disease_support_gate	False	"{""best_genetics"": 0.0, ""best_local_breadth"": 14.0, ""best_perturbation"": 0.9683862679530189, ""best_residual_or_state"": 0.0, ""manual_druggability"": 3.0, ""manual_prior_risk"": ""blocking"", ""manual_selectivity"": 0.0, ""surface_plus_accessible_negatives"": 0.0}"
