axis	public_query_term	europepmc_hit_count	europepmc_url	clinicaltrials_hit_count	clinicaltrials_url	max_chembl_activity_records	example_chembl_target	example_chembl_pref_name
IFNG_IFNGR_JAK_STAT1_CIITA	IFNGR1 OR IFNGR2 OR JAK1 OR JAK2	28324	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28IFNGR1+OR+IFNGR2+OR+JAK1+OR+JAK2%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	49	https://clinicaltrials.gov/api/v2/studies?query.term=IFNGR1+OR+IFNGR2+OR+JAK1+OR+JAK2&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	19794.0	CHEMBL2364171	Interferon gamma receptor
TNF_TNFR_NFKB	TNF OR TNFRSF1A OR TNFRSF1B	266755	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TNF+OR+TNFRSF1A+OR+TNFRSF1B%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	1511	https://clinicaltrials.gov/api/v2/studies?query.term=TNF+OR+TNFRSF1A+OR+TNFRSF1B&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	133.0	CHEMBL2523	Disintegrin and metalloproteinase domain-containing protein 17
OSM_OSMR_IL6ST_STAT3	OSM OR OSMR OR IL6ST	8314	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28OSM+OR+OSMR+OR+IL6ST%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	6	https://clinicaltrials.gov/api/v2/studies?query.term=OSM+OR+OSMR+OR+IL6ST&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	18.0	CHEMBL2412949	Uncharacterized protein
MIF_CD74_CXCR4_CD44	MIF OR CD74 OR CXCR4 OR CD44	53296	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28MIF+OR+CD74+OR+CXCR4+OR+CD44%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	730	https://clinicaltrials.gov/api/v2/studies?query.term=MIF+OR+CD74+OR+CXCR4+OR+CD44&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	753.0	CHEMBL2085	Macrophage migration inhibitory factor
SPP1_CD44_INTEGRIN_RETENTION	SPP1 OR CD44 OR ITGAV OR ITGB1	34238	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28SPP1+OR+CD44+OR+ITGAV+OR+ITGB1%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	18	https://clinicaltrials.gov/api/v2/studies?query.term=SPP1+OR+CD44+OR+ITGAV+OR+ITGB1&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	58.0	CHEMBL1741309	Osteopontin
CXCL10_CXCR3_RECRUITMENT	CXCL10 OR CXCR3	32886	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CXCL10+OR+CXCR3%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	48	https://clinicaltrials.gov/api/v2/studies?query.term=CXCL10+OR+CXCR3&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	92.0	CHEMBL3712964	C-X-C motif chemokine 10
CCL2_CCR2_MONOCYTE_RECRUITMENT	CCL2 OR CCR2	39080	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CCL2+OR+CCR2%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	73	https://clinicaltrials.gov/api/v2/studies?query.term=CCL2+OR+CCR2&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	77.0	CHEMBL1649052	C-C motif chemokine 2
CD40_CD40LG_APC_LICENSING	CD40 OR CD40LG	29938	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28CD40+OR+CD40LG%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	33	https://clinicaltrials.gov/api/v2/studies?query.term=CD40+OR+CD40LG&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	3.0	CHEMBL1250358	Tumor necrosis factor receptor superfamily member 5
TREM1_TYROBP_AMPLIFICATION	TREM1	2065	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28TREM1%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	3	https://clinicaltrials.gov/api/v2/studies?query.term=TREM1&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	0.0	CHEMBL1697674	Triggering receptor expressed on myeloid cells 1
SLC15A4_TASL_IRF5_ENDOLYSOSOMAL_TLR	SLC15A4 OR IRF5	4572	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28SLC15A4+OR+IRF5%29+AND+%28%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune%29&format=json&pageSize=1	1	https://clinicaltrials.gov/api/v2/studies?query.term=SLC15A4+OR+IRF5&query.cond=%22multiple+sclerosis%22+OR+%22rheumatoid+arthritis%22+OR+lupus+OR+Crohn+OR+%22ulcerative+colitis%22+OR+psoriasis+OR+Sjogren+OR+%22type+1+diabetes%22+OR+celiac+OR+%22autoimmune+thyroid%22+OR+autoimmune&pageSize=1&countTotal=true&format=json	0.0		
